Precinct,Registered Voters,Ballots Cast,Barack Obama,Mitt Romney,Gary Johnson,Jill Stein,Total Votes
Barrington 1,845,675,267,390,7,9,673
Barrington 2,813,608,317,274,13,2,606
Barrington 3,"1,057",820,227,583,5,1,816
Barrington 4,"1,203",908,291,606,7,0,904
Barrington 5,994,790,186,590,7,3,786
Barrington 6,"1,075",842,354,465,17,3,839
Barrington 7,338,259,74,179,2,1,256
Barrington 8,"1,358","1,012",308,699,2,2,"1,011"
Barrington 9,697,539,214,318,3,3,538
Barrington 10,544,404,193,205,5,1,404
Barrington 11,746,538,151,380,5,1,537
Hanover 1,"1,201",828,483,328,8,2,821
Hanover 2,"1,002",699,391,301,5,0,697
Hanover 3,524,286,192,85,4,1,282
Hanover 4,"1,059",668,393,261,8,1,663
Hanover 5,"1,038",673,404,255,8,3,670
Hanover 6,955,565,375,178,5,3,561
Hanover 7,"1,003",602,346,233,16,5,600
Hanover 8,861,563,305,240,14,2,561
Hanover 9,927,678,330,335,8,1,674
Hanover 10,610,381,221,151,4,2,378
Hanover 11,"1,042",631,429,182,9,7,627
Hanover 12,725,406,286,113,4,0,403
Hanover 13,697,456,276,168,7,1,452
Hanover 14,"1,044",737,421,304,3,3,731
Hanover 15,956,533,386,139,5,1,531
Hanover 16,"1,188",878,413,448,10,1,872
Hanover 17,814,482,307,160,9,1,477
Hanover 18,987,610,411,186,6,5,608
Hanover 19,739,575,249,317,3,2,571
Hanover 20,"1,442",994,562,411,12,3,988
Hanover 21,618,416,193,219,1,1,414
Hanover 22,956,630,383,233,7,2,625
Hanover 23,926,657,384,261,9,1,655
Hanover 24,999,569,413,144,3,2,562
Hanover 25,750,510,297,203,6,3,509
Hanover 26,"1,333",847,471,353,12,5,841
Hanover 27,"2,465","1,797",939,835,13,3,"1,790"
Hanover 28,"1,251",891,518,354,11,3,886
Hanover 29,797,444,334,101,5,3,443
Hanover 30,"1,047",718,426,279,10,2,717
Hanover 31,749,542,226,311,3,2,542
Hanover 32,835,461,321,128,6,0,455
Hanover 33,"1,065",671,414,247,2,6,669
Hanover 34,"1,268",792,503,265,17,3,788
Hanover 35,"1,093",646,420,210,4,6,640
Hanover 36,689,477,308,156,8,0,472
Hanover 37,"1,227",849,502,331,10,4,847
Hanover 38,"1,066",714,386,310,10,4,710
Hanover 39,"1,144",679,418,240,7,4,669
Hanover 40,980,672,387,266,7,5,665
Hanover 41,"1,221",934,526,388,10,7,931
Hanover 42,903,639,323,306,5,5,639
Hanover 43,"1,102",681,423,243,7,1,674
Hanover 44,"1,214",850,444,386,7,11,848
Lemont 1,"1,098",765,221,525,12,2,760
Lemont 2,787,552,209,331,5,0,545
Lemont 3,"1,146",844,269,561,4,6,840
Lemont 4,933,709,256,440,11,0,707
Lemont 5,"1,011",705,364,319,10,4,697
Lemont 6,"1,028",757,293,441,15,3,752
Lemont 7,787,551,251,291,5,3,550
Lemont 8,"1,143",871,386,462,13,6,867
Lemont 9,676,518,152,358,6,1,517
Lemont 10,779,528,262,249,9,6,526
Lemont 11,"1,283",973,354,608,8,3,973
Lemont 12,"1,034",749,214,530,2,3,749
Lemont 13,"1,162",865,268,584,5,4,861
Lemont 14,931,703,202,489,8,2,701
Lyons 1,85,69,34,33,1,1,69
Lyons 2,689,494,307,170,9,3,489
Lyons 3,782,511,313,185,6,3,507
Lyons 4,"1,202",869,541,294,14,15,864
Lyons 5,763,557,339,208,6,2,555
Lyons 6,582,392,233,149,2,3,387
Lyons 7,825,572,471,88,6,4,569
Lyons 8,620,381,220,150,4,2,376
Lyons 9,886,707,434,254,9,6,703
Lyons 10,732,542,328,206,4,1,539
Lyons 11,596,476,234,230,6,4,474
Lyons 12,624,458,144,309,2,0,455
Lyons 13,388,346,342,3,0,1,346
Lyons 14,"1,016",833,398,429,3,2,832
Lyons 15,937,750,387,348,9,6,750
Lyons 16,"1,233","1,005",602,388,7,8,"1,005"
Lyons 17,549,408,166,239,2,1,408
Lyons 18,663,552,295,241,7,3,546
Lyons 19,954,607,392,195,5,3,595
Lyons 20,"1,220","1,028",458,547,16,6,"1,027"
Lyons 21,"1,232","1,064",461,579,10,4,"1,054"
Lyons 22,630,390,276,107,2,2,387
Lyons 23,955,694,330,343,12,5,690
Lyons 24,650,566,233,319,6,4,562
Lyons 25,861,593,316,257,9,4,586
Lyons 26,563,426,183,240,1,2,426
Lyons 27,813,622,156,461,2,1,620
Lyons 28,894,688,309,374,2,3,688
Lyons 29,894,522,271,243,2,4,520
Lyons 30,172,124,66,52,0,0,118
Lyons 31,764,603,237,355,5,2,599
Lyons 32,386,292,137,144,5,5,291
Lyons 33,387,243,134,98,6,2,240
Lyons 34,422,290,168,114,3,2,287
Lyons 35,958,561,294,255,6,2,557
Lyons 36,814,605,192,403,4,2,601
Lyons 37,629,396,244,136,6,3,389
Lyons 38,528,281,178,89,2,5,274
Lyons 39,795,662,310,349,2,0,661
Lyons 40,644,521,240,274,5,2,521
Lyons 41,585,433,173,247,6,4,430
Lyons 42,807,641,236,400,5,0,641
Lyons 43,655,555,251,297,4,1,553
Lyons 44,"1,295","1,047",406,622,12,3,"1,043"
Lyons 45,"1,156",824,464,332,17,9,822
Lyons 46,736,517,232,278,2,3,515
Lyons 47,763,606,284,314,4,2,604
Lyons 48,909,582,345,223,5,5,578
Lyons 49,602,404,184,208,4,7,403
Lyons 50,930,695,410,269,8,5,692
Lyons 51,921,550,315,222,7,3,547
Lyons 52,951,723,372,334,8,4,718
Lyons 53,894,658,286,357,5,4,652
Lyons 54,454,324,187,129,3,2,321
Lyons 55,899,739,309,409,9,4,731
Lyons 56,"1,343",754,521,215,3,3,742
Lyons 57,"1,051",577,433,126,4,6,569
Lyons 58,987,522,306,203,6,3,518
Lyons 59,835,492,336,143,4,7,490
Lyons 60,"1,413",928,826,74,10,3,913
Lyons 61,823,692,300,383,5,1,689
Lyons 62,427,319,103,212,3,1,319
Lyons 63,"1,067",821,274,537,7,0,818
Lyons 64,857,527,335,182,3,1,521
Lyons 65,"1,279",778,424,336,7,2,769
Lyons 66,628,383,255,122,4,1,382
Lyons 67,916,613,382,220,6,3,611
Lyons 68,685,466,306,150,3,6,465
Lyons 69,"1,056",862,361,483,6,5,855
Lyons 70,656,541,531,9,0,0,540
Lyons 71,498,281,208,67,2,2,279
Lyons 72,980,816,349,449,11,5,814
Lyons 73,782,623,297,316,4,2,619
Lyons 74,500,313,184,118,6,2,310
Lyons 75,793,430,257,161,6,1,425
Lyons 76,745,465,264,191,1,1,457
Lyons 77,930,450,255,182,6,1,444
Lyons 78,632,459,217,233,2,2,454
Palatine 1,661,476,229,231,8,3,471
Palatine 2,"1,074",829,370,442,8,3,823
Palatine 3,796,596,163,423,7,3,596
Palatine 4,682,459,325,124,3,4,456
