Precinct,Registered Voters,Ballots Cast,Leslie Coolidge,Geoffrey Petzel,Maureen E. Yates,Total Votes
Barrington 1,804,54,30,3,15,48
Barrington 2,785,67,39,6,15,60
Barrington 3,"1,010",42,17,6,17,40
Barrington 5,988,38,25,3,8,36
Barrington 6,"1,062",81,62,3,14,79
Barrington 7,339,9,6,0,2,8
Barrington 8,"1,288",30,18,2,7,27
Barrington 9,682,47,30,4,11,45
Hanover 9,932,60,25,6,15,46
Hanover 26,"1,286",63,31,11,15,57
Hanover 31,719,44,27,6,8,41
Hanover 42,873,44,17,7,17,41
Hanover 44,"1,195",111,25,4,20,49
Lyons 12,617,36,21,4,8,33
Lyons 27,781,31,1,1,3,5
Palatine 1,667,30,15,3,9,27
Palatine 2,"1,063",52,23,8,12,43
Palatine 3,801,12,9,2,1,12
Palatine 6,959,45,20,3,16,39
Palatine 7,983,57,21,6,17,44
Palatine 8,943,57,28,10,14,52
Palatine 9,871,50,27,2,14,43
Palatine 10,"1,003",43,19,2,18,39
Palatine 11,789,40,20,6,13,39
Palatine 12,811,40,22,2,13,37
Palatine 14,807,56,26,6,17,49
Palatine 15,846,50,24,4,15,43
Palatine 17,806,68,33,3,20,56
Palatine 18,598,53,34,2,12,48
Palatine 19,893,55,31,5,11,47
Palatine 20,687,33,20,4,6,30
Palatine 23,637,32,16,6,7,29
Palatine 25,691,44,26,5,12,43
Palatine 28,614,44,22,6,9,37
Palatine 29,"1,179",71,47,8,11,66
Palatine 30,665,41,18,4,14,36
Palatine 31,590,48,32,7,7,46
Palatine 32,859,32,18,2,10,30
Palatine 33,620,19,9,4,3,16
Palatine 34,"1,112",63,35,8,15,58
Palatine 35,773,56,34,2,16,52
Palatine 36,807,35,18,2,9,29
Palatine 37,"1,030",43,24,7,5,36
Palatine 38,784,41,27,2,11,40
Palatine 40,"1,228",63,41,6,10,57
Palatine 41,"1,116",72,46,7,16,69
Palatine 42,995,79,45,11,19,75
Palatine 43,733,52,39,3,5,47
Palatine 44,"1,125",27,13,4,7,24
Palatine 45,621,38,26,3,9,38
Palatine 46,937,71,34,6,24,64
Palatine 48,700,40,25,1,10,36
Palatine 49,682,33,20,4,6,30
Palatine 50,"1,255",74,44,10,16,70
Palatine 52,898,26,16,6,3,25
Palatine 54,"1,053",78,49,12,13,74
Palatine 55,662,39,15,12,9,36
Palatine 56,903,37,20,5,9,34
Palatine 57,"1,085",64,37,7,15,59
Palatine 63,910,51,26,8,11,45
Palatine 64,855,40,12,7,14,33
Palatine 65,728,37,16,7,7,30
Palatine 67,761,23,17,1,5,23
Palatine 68,744,47,21,3,14,38
Palatine 69,855,47,25,4,16,45
