Precinct,Peter J. Roskam,Total
Cuba 64,58,58
Cuba 65,141,141
Cuba 66,110,110
Cuba 67,95,95
Cuba 68,175,175
Cuba 69,198,198
Cuba 70,84,84
Cuba 71,109,109
Cuba 72,105,105
Cuba 73,137,137
Cuba 74,150,150
Cuba 75,106,106
Cuba 76,111,111
Cuba 77,174,174
Ela 100,134,134
Ela 101,277,277
Ela 102,202,202
Ela 103,110,110
Ela 104,135,135
Ela 105,154,154
Ela 78,76,76
Ela 79,116,116
Ela 80,135,135
Ela 81,210,210
Ela 82,131,131
Ela 83,113,113
Ela 84,66,66
Ela 85,77,77
Ela 86,150,150
Ela 87,123,123
Ela 88,114,114
Ela 89,159,159
Ela 90,91,91
Ela 91,86,86
Ela 92,83,83
Ela 93,95,95
Ela 94,102,102
Ela 95,97,97
Ela 96,139,139
Ela 97,99,99
Ela 98,100,100
Ela 99,158,158
