County,Precinct,Peter J. Roskam,Gordon (Jay) Kinzler,Robert Marshall,Amanda Howland
cook,8700040,221,85,70,132
cook,8700068,164,65,49,82
cook,8700034,222,80,72,130
cook,8700044,282,79,32,73
cook,8700054,201,83,74,148
cook,8700020,62,39,81,120
cook,8700028,101,42,47,100
cook,8700008,148,58,64,137
cook,8700009,195,69,43,93
cook,8700042,161,87,77,147
cook,8700025,142,43,47,87
cook,7600031,156,60,31,69
cook,8700029,160,58,80,124
cook,8700002,199,84,67,127
cook,8700003,177,66,29,63
cook,8700001,92,40,49,99
cook,8700006,149,59,66,130
cook,8700007,159,63,69,114
cook,8700048,203,61,38,73
cook,8700049,136,43,23,61
cook,8700041,204,92,53,152
cook,8700069,137,49,55,105
cook,8700064,106,64,66,130
cook,8700065,123,52,49,87
cook,7900027,104,36,18,30
cook,8700067,218,56,33,64
cook,8700045,185,68,51,71
cook,8700063,123,63,67,110
cook,7000008,297,95,57,93
cook,7000009,148,51,26,80
cook,7000001,201,59,30,96
cook,7000002,133,51,45,119
cook,7000003,232,84,38,52
cook,7000005,244,91,22,60
cook,7000006,226,73,56,122
cook,7000007,70,25,12,30
cook,7600042,121,53,55,72
cook,7600044,100,42,44,75
cook,8700033,51,29,39,94
cook,8700032,180,66,53,91
cook,7600026,124,79,111,116
cook,8700030,108,39,51,87
cook,8700019,189,67,57,100
cook,8700018,100,36,61,74
cook,8700035,145,51,52,113
cook,7600009,167,59,63,132
cook,8700015,127,54,67,128
cook,8700014,102,50,52,116
cook,8700017,146,50,61,125
cook,8700038,212,51,36,77
cook,8700011,116,37,55,101
cook,8700010,253,97,38,84
cook,8700012,166,81,31,85
cook,8700046,171,70,77,113
cook,7900012,153,33,44,38
cook,8700043,130,44,54,78
cook,8700050,266,83,75,162
cook,8700052,182,73,40,73
cook,8700055,114,45,31,69
cook,8700031,138,47,30,85
cook,8700057,184,74,84,163
cook,8700056,137,66,68,107
cook,8700051,2,0,0,0
cook,8700023,149,50,18,55
cook,8700037,124,69,79,122
cook,7000010,119,53,55,92
cook,8700036,133,38,48,103
mchenry,Algonquin 46,205,101,49,108
mchenry,Algonquin 47,221,108,60,128
mchenry,Algonquin 44,125,49,36,97
mchenry,Algonquin 45,168,82,41,73
mchenry,Algonquin 42,193,89,45,115
mchenry,Algonquin 43,151,104,59,105
mchenry,Algonquin 40,82,41,41,108
mchenry,Algonquin 41,155,133,44,126
mchenry,Algonquin 60,78,42,32,48
mchenry,Algonquin 61,100,53,33,56
mchenry,Algonquin 62,168,92,61,94
mchenry,Algonquin 63,160,79,61,151
mchenry,Algonquin 64,100,48,34,66
mchenry,Algonquin 65,285,103,34,93
mchenry,Algonquin 48,214,94,58,116
mchenry,Algonquin 49,137,72,28,53
mchenry,Algonquin 24,101,69,42,93
mchenry,Algonquin 25,80,39,27,75
mchenry,Algonquin 26,81,57,40,66
mchenry,Algonquin 27,110,64,36,86
mchenry,Algonquin 20,66,31,17,47
mchenry,Algonquin 21,120,71,58,85
mchenry,Algonquin 22,84,50,26,64
mchenry,Algonquin 23,176,108,38,84
mchenry,Algonquin 55,170,87,58,95
mchenry,Algonquin 28,108,95,51,94
mchenry,Algonquin 29,73,39,29,62
mchenry,Algonquin 54,159,72,43,105
mchenry,Algonquin 68,190,132,50,120
mchenry,Algonquin 1,69,39,36,81
mchenry,Algonquin 59,131,71,76,141
mchenry,Algonquin 3,87,62,33,74
mchenry,Algonquin 2,135,59,56,106
mchenry,Algonquin 5,186,98,53,112
mchenry,Algonquin 4,121,58,40,116
mchenry,Algonquin 7,114,46,23,40
mchenry,Algonquin 6,119,69,40,66
mchenry,Algonquin 9,157,55,32,80
mchenry,Algonquin 8,125,69,39,109
mchenry,Algonquin 51,207,107,62,147
mchenry,Algonquin 50,169,94,21,79
mchenry,Algonquin 53,66,51,36,89
mchenry,Algonquin 52,120,74,60,109
mchenry,Algonquin 19,102,49,30,64
mchenry,Algonquin 18,106,52,22,51
mchenry,Algonquin 57,156,80,66,153
mchenry,Algonquin 56,91,41,35,57
mchenry,Algonquin 15,93,44,54,65
mchenry,Algonquin 14,152,72,47,82
mchenry,Algonquin 17,263,111,37,104
mchenry,Algonquin 16,210,96,20,61
mchenry,Algonquin 11,117,83,63,99
mchenry,Algonquin 10,128,66,46,128
mchenry,Algonquin 13,101,64,37,89
mchenry,Algonquin 12,139,75,36,82
mchenry,Algonquin 37,31,23,16,30
mchenry,Algonquin 36,146,79,33,74
mchenry,Algonquin 35,155,72,59,84
mchenry,Algonquin 34,85,57,50,100
mchenry,Algonquin 33,175,101,56,95
mchenry,Algonquin 32,100,55,41,68
mchenry,Algonquin 31,185,111,46,106
mchenry,Algonquin 30,184,105,46,98
mchenry,Algonquin 67,187,77,41,72
mchenry,Algonquin 39,99,59,40,93
mchenry,Algonquin 38,119,65,51,80
mchenry,Algonquin 58,135,107,42,89
mchenry,Algonquin 66,116,61,37,74
kane,SC0016,212,75,38,86
kane,EL0036,109,41,69,101
kane,DU0028,271,114,66,124
kane,EL0016,146,70,44,97
kane,SC0030,201,98,31,86
kane,EL0058,214,99,108,163
kane,EL0015,93,41,53,95
kane,EL0010,100,39,39,72
kane,EL0053,223,104,106,185
kane,EL0038,100,37,49,53
kane,EL0039,90,41,31,57
kane,EL0050,56,24,31,61
kane,EL0051,143,65,58,71
kane,EL0056,108,38,63,101
kane,EL0057,6,0,0,2
kane,EL0054,107,33,63,91
kane,EL0055,173,63,77,106
kane,DU0034,156,73,78,117
kane,DU0035,133,67,110,159
kane,DU0032,175,59,101,133
kane,DU0033,175,78,98,157
kane,DU0016,104,51,73,122
kane,DU0031,97,50,40,54
kane,DU0018,248,126,75,134
kane,SC0017,82,67,52,70
kane,SC0029,162,80,53,104
kane,SC0033,144,72,29,76
kane,SC0001,140,60,23,50
kane,RU0005,187,99,95,146
kane,RU0006,129,51,29,54
kane,RU0001,238,130,77,115
kane,EL0047,227,98,84,149
kane,SC0012,125,54,54,79
kane,SC0011,116,72,56,81
kane,SC0032,155,64,18,41
kane,SC0007,197,85,22,55
kane,SC0022,192,71,32,69
kane,EL0048,126,79,80,106
kane,EL0007,165,76,36,83
kane,SC0008,212,99,59,110
kane,SC0027,225,105,37,82
kane,SC0024,306,143,69,140
kane,DU0030,197,88,76,111
kane,SC0028,185,79,34,75
kane,EL0024,255,126,60,142
kane,EL0008,82,26,48,84
kane,EL0021,65,36,49,58
kane,SC0003,181,81,51,105
kane,DU0025,135,61,13,59
kane,DU0024,124,54,52,77
kane,DU0027,67,46,39,67
kane,DU0026,99,61,40,73
kane,DU0020,239,70,51,87
kane,DU0023,81,30,32,73
kane,DU0022,133,73,42,65
kane,DU0004,152,75,46,76
kane,DU0029,132,63,36,82
kane,DU0002,81,47,33,65
kane,DU0001,139,60,53,97
kane,SC0031,267,123,38,72
kane,EL0059,375,178,132,231
kane,SC0026,247,108,39,72
kane,SC0002,159,92,36,78
lake,Ela 86,194,95,38,105
lake,Ela 87,181,65,56,145
lake,Ela 84,166,56,36,96
lake,Ela 85,141,60,28,69
lake,Ela 82,194,89,38,110
