County,Precinct,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,Peter J. Roskam,Dem Turnout,Dem Percent
cook,8700040,59,20,73,10,5,10,43,142,15.793251974156497,60.773480662983424
cook,8700068,28,12,27,1,5,5,32,95,12.987012987012985,53.65853658536586
cook,8700034,61,15,46,9,7,7,33,135,14.93288590604027,56.86900958466453
cook,8700044,29,21,29,5,3,5,32,190,10.281923714759536,39.490445859872615
cook,8700054,80,32,50,9,5,10,59,143,21.662245800176834,63.144329896907216
cook,8700020,38,18,30,8,6,5,14,48,11.655239960822723,71.25748502994011
cook,8700028,27,21,27,4,7,1,29,56,16.714697406340058,67.44186046511628
cook,8700008,51,28,47,6,7,7,34,95,16.289592760180994,65.45454545454545
cook,8700009,45,14,42,4,2,3,34,111,16.089385474860336,56.470588235294116
cook,8700042,62,28,51,2,7,5,42,130,16.852010265183917,60.24464831804281
cook,8700025,36,14,44,5,4,12,28,88,19.402985074626866,61.904761904761905
cook,7600031,33,19,16,6,4,4,19,81,12.438423645320198,55.494505494505496
cook,8700029,58,25,52,9,6,12,41,106,15.49618320610687,65.69579288025889
cook,8700002,51,17,53,12,5,15,49,147,17.32418524871355,57.879656160458445
cook,8700003,24,6,16,5,2,9,27,107,11.209068010075567,45.40816326530612
cook,8700001,35,15,28,3,5,4,19,68,14.100905562742561,61.5819209039548
cook,8700006,44,24,55,12,7,10,30,91,16.063548102383056,66.66666666666666
cook,8700007,42,18,56,5,5,9,36,86,16.897233201581027,66.53696498054474
cook,8700048,37,20,33,2,5,4,37,128,19.3006993006993,51.8796992481203
cook,8700049,39,5,22,4,1,4,22,83,13.896848137535816,53.888888888888886
cook,8700041,46,18,57,9,6,8,47,116,14.852255054432348,62.21498371335505
cook,8700069,36,18,40,7,4,5,23,82,12.85024154589372,61.86046511627907
cook,8700064,37,19,42,3,6,7,22,76,12.420091324200913,64.15094339622641
cook,8700065,34,19,27,8,2,7,25,86,15.193026151930262,58.65384615384615
cook,7900027,14,5,16,2,0,1,10,54,5.536332179930796,47.05882352941176
cook,8700067,24,13,17,3,4,3,13,147,9.447852760736195,34.375
cook,8700045,27,8,24,7,1,8,41,107,15.243101182654403,52.01793721973094
cook,8700063,36,16,41,5,5,9,31,82,14.14441147378833,63.55555555555556
cook,7000008,45,15,28,9,5,5,28,151,8.426966292134832,47.2027972027972
cook,7000009,44,8,33,3,4,5,30,111,17.812061711079945,53.36134453781513
cook,7000001,44,16,25,3,2,6,26,139,13.480662983425415,46.74329501915709
cook,7000002,70,27,34,5,2,12,27,90,18.991416309012877,66.29213483146067
cook,7000003,30,4,20,2,1,9,29,147,8.253692441355343,39.25619834710744
cook,7000005,54,6,13,2,2,2,16,160,8.837209302325581,37.254901960784316
cook,7000006,57,14,44,5,5,4,42,136,14.454775993237531,55.700325732899024
cook,7000007,19,3,6,8,1,1,5,38,11.944444444444445,53.086419753086425
cook,7600042,49,17,29,3,3,6,20,92,11.662075298438934,57.99086757990868
cook,7600044,35,23,21,6,1,5,26,80,8.856926570779713,59.390862944162436
cook,8700033,24,20,21,1,2,3,17,39,11.733333333333333,69.29133858267717
cook,8700032,21,16,35,8,4,4,32,99,13.2890365448505,54.794520547945204
cook,7600026,52,29,40,12,7,7,18,122,10.286783042394015,57.491289198606275
cook,8700030,42,14,36,5,7,9,24,74,17.746113989637305,64.92890995260665
cook,8700019,45,19,34,7,6,12,32,126,15.816326530612246,55.16014234875445
cook,8700018,34,25,37,6,3,5,23,63,18.945868945868945,67.85714285714286
cook,8700035,35,23,50,5,5,4,40,93,19.588875453446192,63.52941176470588
cook,7600009,81,21,28,14,4,6,29,108,17.99410029498525,62.88659793814433
cook,8700015,45,24,42,12,2,8,31,78,14.922656960873521,67.76859504132231
cook,8700014,38,18,51,8,4,6,29,90,16.488222698072803,63.114754098360656
cook,8700017,51,25,68,6,5,8,31,83,20.770877944325484,70.03610108303249
cook,8700038,21,3,40,4,10,3,41,123,13.911060433295324,49.795918367346935
cook,8700011,40,23,33,1,4,2,19,58,13.034188034188036,67.77777777777779
cook,8700010,54,12,21,4,4,12,37,137,12.489158716392021,51.245551601423486
cook,8700012,36,15,22,4,1,3,30,123,12.570781426953568,47.43589743589743
cook,8700046,42,34,42,4,3,9,46,114,16.574585635359114,61.224489795918366
cook,7900012,19,5,29,10,1,2,24,85,14.77832512315271,51.42857142857142
cook,8700043,64,16,27,10,7,10,30,77,20.0734394124847,68.04979253112033
cook,8700050,69,28,54,20,5,10,50,160,17.151162790697676,59.59595959595959
cook,8700052,28,14,25,8,5,8,38,135,13.291139240506327,48.275862068965516
cook,8700055,31,8,29,3,3,5,19,75,14.000000000000002,56.64739884393064
cook,8700031,33,24,31,2,4,8,30,102,20.276497695852534,56.41025641025641
cook,8700057,60,40,68,16,3,8,39,122,17.80821917808219,65.73033707865169
cook,8700056,51,24,30,4,5,6,36,98,13.600697471665214,61.417322834645674
cook,8700051,0,0,1,0,0,0,0,2,0.15723270440251574,33.33333333333333
cook,8700023,19,4,19,3,1,3,35,100,12.785388127853881,45.65217391304348
cook,8700037,53,31,45,6,4,4,31,110,15.156794425087108,61.267605633802816
cook,7000010,45,12,19,5,4,4,26,67,8.081517919887562,63.18681318681318
cook,8700036,40,12,21,5,3,8,39,64,13.91304347826087,66.66666666666666
kane,SC0016,42,11,37,6,3,0,12,154,8.558211256746338,41.88679245283019
kane,EL0036,38,24,25,4,6,4,11,103,8.974358974358974,52.093023255813954
kane,DU0028,55,21,36,11,15,4,28,162,8.966244725738397,51.204819277108435
kane,EL0016,47,15,20,2,6,5,20,115,11.6751269035533,50.0
kane,SC0030,35,11,15,11,5,3,28,162,9.6,40.0
kane,EL0058,75,33,41,5,14,6,35,144,7.385159010600708,59.20679886685553
kane,EL0015,35,11,19,5,7,7,20,70,13.214739517153747,59.77011494252874
kane,EL0010,28,21,27,4,6,8,12,69,13.572343149807939,60.57142857142858
kane,EL0053,51,20,38,9,12,16,33,142,8.070333633904418,55.7632398753894
kane,EL0038,25,8,17,3,3,8,12,94,8.315098468271334,44.70588235294118
kane,EL0039,27,18,24,6,6,3,5,82,9.632034632034632,52.046783625730995
kane,EL0050,19,13,21,5,4,5,8,28,14.82213438735178,72.81553398058253
kane,EL0051,37,16,26,7,9,6,13,95,11.242603550295858,54.54545454545454
kane,EL0056,45,20,28,7,12,7,17,78,10.625,63.55140186915887
kane,EL0057,4,0,0,1,0,0,1,3,11.320754716981133,66.66666666666666
kane,EL0054,51,26,22,4,6,10,18,72,13.470993117010815,65.55023923444976
kane,EL0055,34,20,30,3,8,14,13,145,8.7018544935806,45.69288389513109
kane,DU0034,54,16,29,5,7,9,17,67,9.737029140014215,67.15686274509804
kane,DU0035,53,23,23,7,8,10,13,81,7.0764462809917354,62.84403669724771
kane,DU0032,46,28,23,5,9,11,14,79,7.083333333333333,63.25581395348837
kane,DU0033,37,33,35,10,11,5,11,103,8.372641509433961,57.95918367346938
kane,DU0016,41,13,18,5,7,6,16,61,8.631921824104234,63.47305389221557
kane,DU0031,21,6,18,4,5,5,12,48,9.633649932157395,59.66386554621849
kane,DU0018,56,20,35,5,7,12,38,131,10.785536159600998,56.9078947368421
kane,SC0017,32,24,36,5,7,7,11,97,12.695109261186262,55.70776255707762
kane,SC0029,36,23,42,4,16,4,19,133,9.95162404975812,51.985559566786996
kane,SC0033,22,7,36,5,5,5,20,111,10.309278350515463,47.39336492890995
kane,SC0001,34,4,23,1,8,4,22,146,12.121212121212121,39.66942148760331
kane,RU0005,55,33,44,10,11,11,17,92,8.973723351512147,66.30036630036629
kane,RU0006,24,7,10,5,2,7,10,88,7.198228128460686,42.48366013071895
kane,RU0001,38,28,38,5,10,11,27,160,6.965394853593611,49.52681388012618
kane,EL0047,55,27,22,9,9,11,32,158,7.805108798486282,51.08359133126935
kane,SC0012,22,18,21,3,8,5,21,90,8.649602824360105,52.12765957446809
kane,SC0011,27,21,38,5,7,8,16,103,11.423220973782772,54.22222222222223
kane,SC0032,21,7,7,4,5,2,19,127,7.445589919816724,33.85416666666667
kane,SC0007,19,14,19,6,2,2,15,188,6.796116504854369,29.056603773584904
kane,SC0022,28,10,31,4,5,7,32,163,10.985915492957748,41.785714285714285
kane,EL0048,51,27,20,8,7,5,34,98,12.530915086562242,60.8
kane,EL0007,35,13,18,4,9,10,20,118,12.763466042154567,48.01762114537445
kane,SC0008,54,12,35,3,14,6,48,157,14.297589359933498,52.27963525835866
kane,SC0027,43,15,19,4,12,1,32,188,9.62566844919786,40.12738853503185
kane,SC0024,45,34,44,9,3,6,28,206,7.9156908665105385,45.06666666666666
kane,DU0030,42,12,17,3,4,4,14,138,7.6069730586370845,41.02564102564102
