Precinct,Registered Voters,Peter J. Roskam,
Cuba 64,797,74,
Cuba 65,998,150,
Cuba 66,958,98,
Cuba 67,745,89,
Cuba 68,896,146,
Cuba 69,1108,166,
Cuba 70,795,87,
Cuba 71,984,111,
Cuba 72,802,97,
Cuba 73,1080,119,
Cuba 74,1082,134,
Cuba 75,832,111,
Cuba 76,1060,92,
Cuba 77,1245,166,
Ela 78,826,121,
Ela 79,1211,141,
Ela 80,1030,95,
Ela 81,1294,97,
Ela 82,1193,112,
Ela 83,1180,118,
Ela 84,988,117,
Ela 85,902,79,
Ela 86,1066,162,
Ela 87,1288,121,
Ela 88,965,130,
Ela 89,1058,129,
Ela 90,974,133,
Ela 91,872,97,
Ela 92,1092,110,
Ela 93,906,105,
Ela 94,1041,121,
Ela 95,1133,125,
Ela 96,1097,156,
Ela 97,964,112,
Ela 98,885,139,
Ela 99,1500,203,
Ela 100,1402,125,
Ela 101,1415,134,
Ela 102,1337,187,
Ela 103,1098,141,
Ela 104,1114,118,
Ela 105,1313,180,
