Precinct,Registered Voters,Vote For,Times Counted,Total Votes,Kelly Mazeski Number,Kelly Mazeski Percent,Amanda Howland Number,Amanda Howland Percent,Sean Casten Number,Sean Casten Percent,Jennifer Zordani Number,Jennifer Zordani Percent,Becky Anderson Wilkins Number,Becky Anderson Wilkins Percent,Ryan Huffman Number,Ryan Huffman Percent,Carole Cheney Number,Carole Cheney Percent,
Algonquin 1,632,6,85,80,29,36.25,11,13.75,23,28.75,2,2.50,1,1.25,4,5.00,10,12.50,
Algonquin 2,830,6,158,148,32,21.62,26,17.57,53,35.81,4,2.70,10,6.76,8,5.41,15,10.14,
Algonquin 3,727,6,90,84,29,34.52,7,8.33,27,32.14,6,7.14,1,1.19,5,5.95,9,10.71,
Algonquin 4,1000,6,166,157,46,29.30,30,19.11,34,21.66,3,1.91,1,0.64,9,5.73,34,21.66,
Algonquin 5,1168,6,140,134,31,23.13,30,22.39,43,32.09,4,2.99,1,0.75,9,6.72,16,11.94,
Algonquin 6,787,6,107,98,28,28.57,16,16.33,35,35.71,2,2.04,5,5.10,5,5.10,7,7.14,
Algonquin 7,468,6,60,56,29,51.79,5,8.93,18,32.14,0,0.00,1,1.79,0,0.00,3,5.36,
Algonquin 8,958,6,117,105,35,33.33,15,14.29,24,22.86,4,3.81,3,2.86,3,2.86,21,20.00,
Algonquin 9,824,6,112,106,31,29.25,24,22.64,22,20.75,3,2.83,5,4.72,6,5.66,15,14.15,
Algonquin 10,947,6,145,136,45,33.09,21,15.44,44,32.35,3,2.21,4,2.94,3,2.21,16,11.76,
Algonquin 11,1219,6,108,102,33,32.35,20,19.61,20,19.61,8,7.84,2,1.96,6,5.88,13,12.75,
Algonquin 12,926,6,132,125,45,36.00,22,17.60,35,28.00,4,3.20,4,3.20,2,1.60,13,10.40,
Algonquin 13,865,6,95,92,27,29.35,16,17.39,29,31.52,5,5.43,3,3.26,3,3.26,9,9.78,
Algonquin 14,883,6,103,94,37,39.36,8,8.51,30,31.91,3,3.19,5,5.32,2,2.13,9,9.57,
Algonquin 15,801,6,79,76,25,32.89,14,18.42,26,34.21,6,7.89,2,2.63,1,1.32,2,2.63,
