Township,Registered Voters,Republican Votes,Dem Votes,Vote Count,% Republican,% Dem,% Turnout,High Spanish Speaking?,Priority
ALG 1,,,,,,,,,
ALG 2,,,,,,,,,
ALG 3,,,,,,,,,
ALG 4,,,,,,,,,
ALG 5,,,,,,,,,
ALG 6,,,,,,,,,
ALG 7,,,,,,,,,
ALG 8,,,,,,,,,
ALG 9,,,,,,,,,
ALG 10,,,,,,,,,
ALG 11,,,,,,,,,
ALG 12,,,,,,,,,
ALG 13,,,,,,,,Yes,
ALG 14,,,,,,,,,
ALG 15,,,,,,,,,
ALG 16,,,,,,,,,
ALG 17,,,,,,,,,
ALG 18,,,,,,,,,
ALG 19,,,,,,,,,
ALG 20,,,,,,,,,
ALG 21,,,,,,,,,
ALG 22,,,,,,,,,
ALG 23,,,,,,,,,
ALG 24,,,,,,,,Yes,
ALG 25,,,,,,,,,
ALG 26,,,,,,,,Yes,
ALG 27,,,,,,,,Yes,
ALG 28,,,,,,,,,
ALG 29,,,,,,,,,
ALG 30,,,,,,,,,
ALG 31,,,,,,,,Yes,
ALG 32,,,,,,,,,
ALG 33,,,,,,,,,
ALG 34,,,,,,,,,
ALG 35,,,,,,,,Yes,
ALG 36,,,,,,,,,
ALG 37,,,,,,,,Yes,
ALG 38,,,,,,,,,
ALG 37,,,,,,,,,
ALG 38,,,,,,,,,
ALG 39,,,,,,,,,
ALG 40,,,,,,,,,
ALG 41,,,,,,,,,
ALG 42,,,,,,,,,
ALG 43,,,,,,,,,
ALG 44,,,,,,,,,
ALG 45,,,,,,,,,
ALG 46,,,,,,,,,
ALG 47,,,,,,,,Yes,
ALG 48,,,,,,,,Yes,
ALG 49,,,,,,,,,
ALG 50,,,,,,,,,
ALG 51,,,,,,,,,
ALG 52,,,,,,,,,
ALG 53,,,,,,,,,
ALG 54,,,,,,,,,
ALG 55,,,,,,,,Yes,
ALG 56,,,,,,,,,
ALG 57,,,,,,,,,
ALG 58,,,,,,,,,
ALG 59,,,,,,,,,
ALG 60,,,,,,,,Yes,
ALG 61,,,,,,,,,
ALG 62,,,,,,,,,
ALG 63,,,,,,,,,
ALG 64,,,,,,,,,
ALG 65,,,,,,,,,
ALG 66,,,,,,,,,
ALG 67,,,,,,,,,
ALG 68,,,,,,,,,
Lake County,,,,,,,,,
Cuba 64,797,74,60,134,55.22%,44.78%,16.81%,,
Cuba 65,998,150,100,250,60.00%,40.00%,25.05%,,
Cuba 66,958,98,141,239,41.00%,59.00%,24.95%,,
Cuba 67,745,89,83,172,51.74%,48.26%,23.09%,,
Cuba 68,896,146,135,281,51.96%,48.04%,31.36%,,
Cuba 69,1108,166,190,356,46.63%,53.37%,32.13%,,
Cuba 70,795,87,76,163,53.37%,46.63%,20.50%,,
Cuba 71,984,111,89,200,55.50%,44.50%,20.33%,,
Cuba 72,802,97,94,191,50.79%,49.21%,23.82%,,
Cuba 73,1080,119,119,238,50.00%,50.00%,22.04%,,
Cuba 74,1082,134,111,245,54.69%,45.31%,22.64%,,
Cuba 75,832,111,91,202,54.95%,45.05%,24.28%,,
Cuba 76,1060,92,165,257,35.80%,64.20%,24.25%,,
Cuba 77,1245,166,130,296,56.08%,43.92%,23.78%,,
Ela 78,826,121,105,226,53.54%,46.46%,27.36%,,
Ela 79,1211,141,133,274,51.46%,48.54%,22.63%,,
Ela 80,1030,95,136,231,41.13%,58.87%,22.43%,,
Ela 81,1294,97,122,219,44.29%,55.71%,16.92%,,
Ela 82,1193,112,127,239,46.86%,53.14%,20.03%,,
Ela 83,1180,118,189,307,38.44%,61.56%,26.02%,,
Ela 84,988,117,119,236,49.58%,50.42%,23.89%,,
Ela 85,902,79,119,198,39.90%,60.10%,21.95%,,
Ela 86,1066,162,167,329,49.24%,50.76%,30.86%,,
Ela 87,1288,121,165,286,42.31%,57.69%,22.20%,,
Ela 88,965,130,66,196,66.33%,33.67%,20.31%,,
Ela 89,1058,129,134,263,49.05%,50.95%,24.86%,,
Ela 90,974,133,171,304,43.75%,56.25%,31.21%,,
Ela 91,872,97,115,212,45.75%,54.25%,24.31%,,
Ela 92,1092,110,128,238,46.22%,53.78%,21.79%,,
Ela 93,906,105,158,263,39.92%,60.08%,29.03%,,
Ela 94,1041,121,177,298,40.60%,59.40%,28.63%,,
Ela 95,1133,125,174,299,41.81%,58.19%,26.39%,,
Ela 96,1097,156,153,309,50.49%,49.51%,28.17%,,
Ela 97,964,112,166,278,40.29%,59.71%,28.84%,,
Ela 98,885,139,158,297,46.80%,53.20%,33.56%,,
Ela 99,1500,203,156,359,56.55%,43.45%,23.93%,,
Ela 100,1402,125,134,259,48.26%,51.74%,18.47%,,
Ela 101,1415,134,139,273,49.08%,50.92%,19.29%,,
Ela 102,1337,187,140,327,57.19%,42.81%,24.46%,,
Ela 103,1098,141,180,321,43.93%,56.07%,29.23%,,
Ela 104,1114,118,128,246,47.97%,52.03%,22.08%,,
Ela 105,1313,180,168,348,51.72%,48.28%,26.50%,,
Barrington 1,905,139,122,261,53.26%,46.74%,28.84%,,
Barrington 2,932,90,177,267,33.71%,66.29%,28.65%,,
Barrington 3,1151,147,95,242,60.74%,39.26%,21.03%,,
Barrington 5,1075,160,95,255,62.75%,37.25%,23.72%,,
Barrington 6,1183,136,171,307,44.30%,55.70%,25.95%,,
Barrington 7,360,38,43,81,46.91%,53.09%,22.50%,,
Barrington 8,1602,151,135,286,52.80%,47.20%,17.85%,,
Barrington 9,713,111,127,238,46.64%,53.36%,33.38%,,
Barrington 10,1423,67,115,182,36.81%,63.19%,12.79%,,
Palatine 1,773,68,109,177,38.42%,61.58%,22.90%,,
Palatine 2,"1,166",147,202,349,42.12%,57.88%,29.93%,,
Palatine 3,794,107,89,196,54.59%,45.41%,24.69%,,
Palatine 6,"1,133",91,182,273,33.33%,66.67%,24.10%,,
Palatine 7,"1,012",86,171,257,33.46%,66.54%,25.40%,,
Palatine 8,"1,105",95,180,275,34.55%,65.45%,24.89%,,
Palatine 9,895,111,144,255,43.53%,56.47%,28.49%,,
Palatine 10,"1,153",137,144,281,48.75%,51.25%,24.37%,,
Palatine 11,936,58,122,180,32.22%,67.78%,19.23%,,
Palatine 12,883,123,111,234,52.56%,47.44%,26.50%,,
Palatine 14,934,90,154,244,36.89%,63.11%,26.12%,,
Palatine 15,"1,099",78,164,242,32.23%,67.77%,22.02%,,
Palatine 17,934,83,194,277,29.96%,70.04%,29.66%,,
Palatine 18,702,63,133,196,32.14%,67.86%,27.92%,,
Palatine 19,980,126,155,281,44.84%,55.16%,28.67%,,
Palatine 20,"1,021",48,119,167,28.74%,71.26%,16.36%,,
Palatine 23,657,100,84,184,54.35%,45.65%,28.01%,,
Palatine 25,737,88,143,231,38.10%,61.90%,31.34%,,
Palatine 28,694,56,116,172,32.56%,67.44%,24.78%,,
Palatine 29,"1,310",106,203,309,34.30%,65.70%,23.59%,,
Palatine 30,772,74,137,211,35.07%,64.93%,27.33%,,
Palatine 31,651,102,132,234,43.59%,56.41%,35.94%,,
Palatine 32,903,99,120,219,45.21%,54.79%,24.25%,,
Palatine 33,750,39,88,127,30.71%,69.29%,16.93%,,
Palatine 34,"1,192",135,178,313,43.13%,56.87%,26.26%,,
Palatine 35,827,93,162,255,36.47%,63.53%,30.83%,,
Palatine 36,920,64,128,192,33.33%,66.67%,20.87%,,
Palatine 37,"1,148",110,174,284,38.73%,61.27%,24.74%,,
Palatine 38,877,123,122,245,50.20%,49.80%,27.94%,,
Palatine 40,"1,393",142,220,362,39.23%,60.77%,25.99%,,
Palatine 41,"1,286",116,191,307,37.79%,62.21%,23.87%,,
Palatine 42,"1,169",130,197,327,39.76%,60.24%,27.97%,,
