Township,Registered Voters,Republican Votes,Dem Votes,Vote Count,% Republican,% Dem,% Turnout,Priority
Downers Grove 002,729,89,167,256,34.77%,65.23%,35.12%,
Downers Grove 003,858,105,170,275,38.18%,61.82%,32.05%,
Downers Grove 006,677,78,79,157,49.68%,50.32%,23.19%,
Downers Grove 007,876,101,93,194,52.06%,47.94%,22.15%,
Downers Grove 008,917,113,183,296,38.18%,61.82%,32.28%,
Downers Grove 009,683,61,166,227,26.87%,73.13%,33.24%,
Downers Grove 010,897,75,152,227,33.04%,66.96%,25.31%,
Downers Grove 011,872,80,135,215,37.21%,62.79%,24.66%,
Downers Grove 012,657,88,125,213,41.31%,58.69%,32.42%,
Downers Grove 014,929,91,121,212,42.92%,57.08%,22.82%,
Downers Grove 015,645,68,108,176,38.64%,61.36%,27.29%,
Downers Grove 016,616,63,68,131,48.09%,51.91%,21.27%,
Downers Grove 017,752,92,185,277,33.21%,66.79%,36.84%,
Downers Grove 018,902,70,165,235,29.79%,70.21%,26.05%,
Downers Grove 019,638,50,60,110,45.45%,54.55%,17.24%,
Downers Grove 020,595,75,143,218,34.40%,65.60%,36.64%,
Downers Grove 021,779,88,140,228,38.60%,61.40%,29.27%,
Downers Grove 026,785,118,186,304,38.82%,61.18%,38.73%,
Downers Grove 027,524,69,72,141,48.94%,51.06%,26.91%,
Downers Grove 028,576,93,81,174,53.45%,46.55%,30.21%,
Downers Grove 029,886,115,141,256,44.92%,55.08%,28.89%,
Downers Grove 030,641,74,117,191,38.74%,61.26%,29.80%,
Downers Grove 031,894,87,130,217,40.09%,59.91%,24.27%,
Downers Grove 032,677,67,82,149,44.97%,55.03%,22.01%,
Downers Grove 033,704,54,101,155,34.84%,65.16%,22.02%,
Downers Grove 034,792,95,192,287,33.10%,66.90%,36.24%,
Downers Grove 036,923,137,199,336,40.77%,59.23%,36.40%,
Downers Grove 037,905,109,120,229,47.60%,52.40%,25.30%,
Downers Grove 038,763,75,85,160,46.88%,53.13%,20.97%,
Downers Grove 039,807,76,133,209,36.36%,63.64%,25.90%,
Downers Grove 044,693,101,75,176,57.39%,42.61%,25.40%,
Downers Grove 045,539,104,108,212,49.06%,50.94%,39.33%,
Downers Grove 047,447,40,72,112,35.71%,64.29%,25.06%,
Downers Grove 048,572,56,85,141,39.72%,60.28%,24.65%,
Downers Grove 049,819,87,147,234,37.18%,62.82%,28.57%,
Downers Grove 050,875,103,186,289,35.64%,64.36%,33.03%,
Downers Grove 051,736,67,178,245,27.35%,72.65%,33.29%,
Downers Grove 052,652,112,122,234,47.86%,52.14%,35.89%,
Downers Grove 053,715,104,147,251,41.43%,58.57%,35.10%,
Downers Grove 054,520,79,101,180,43.89%,56.11%,34.62%,
Downers Grove 055,614,66,81,147,44.90%,55.10%,23.94%,
Downers Grove 056,516,63,79,142,44.37%,55.63%,27.52%,
Downers Grove 057,687,75,109,184,40.76%,59.24%,26.78%,
Downers Grove 059,753,9,234,243,3.70%,96.30%,32.27%,
Downers Grove 061,903,120,125,245,48.98%,51.02%,27.13%,
Downers Grove 063,615,60,92,152,39.47%,60.53%,24.72%,
Downers Grove 064,762,129,118,247,52.23%,47.77%,32.41%,
Downers Grove 065,803,98,133,231,42.42%,57.58%,28.77%,
Downers Grove 066,659,87,66,153,56.86%,43.14%,23.22%,
Downers Grove 067,495,46,66,112,41.07%,58.93%,22.63%,
Downers Grove 069,639,55,74,129,42.64%,57.36%,20.19%,
Downers Grove 070,530,86,90,176,48.86%,51.14%,33.21%,
Downers Grove 071,857,56,97,153,36.60%,63.40%,17.85%,
Downers Grove 073,585,71,72,143,49.65%,50.35%,24.44%,
Downers Grove 074,720,57,84,141,40.43%,59.57%,19.58%,
Downers Grove 075,546,74,117,191,38.74%,61.26%,34.98%,
Downers Grove 076,850,33,72,105,31.43%,68.57%,12.35%,
Downers Grove 078,613,90,84,174,51.72%,48.28%,28.38%,
Downers Grove 079,596,90,92,182,49.45%,50.55%,30.54%,
Downers Grove 082,952,101,125,226,44.69%,55.31%,23.74%,
Downers Grove 083,929,34,17,51,66.67%,33.33%,5.49%,
Downers Grove 084,790,74,120,194,38.14%,61.86%,24.56%,
Downers Grove 085,662,70,82,152,46.05%,53.95%,22.96%,
Downers Grove 087,961,191,151,342,55.85%,44.15%,35.59%,
Downers Grove 092,600,82,111,193,42.49%,57.51%,32.17%,
Downers Grove 094,887,100,157,257,38.91%,61.09%,28.97%,
Downers Grove 096,697,60,152,212,28.30%,71.70%,30.42%,
Downers Grove 097,700,81,122,203,39.90%,60.10%,29.00%,
Downers Grove 098,726,95,96,191,49.74%,50.26%,26.31%,
Downers Grove 102,601,91,65,156,58.33%,41.67%,25.96%,
Downers Grove 103,716,83,98,181,45.86%,54.14%,25.28%,
Downers Grove 105,931,85,162,247,34.41%,65.59%,26.53%,
Downers Grove 106,697,91,80,171,53.22%,46.78%,24.53%,
Downers Grove 107,814,113,102,215,52.56%,47.44%,26.41%,
Downers Grove 109,592,101,78,179,56.42%,43.58%,30.24%,
Downers Grove 112,801,79,110,189,41.80%,58.20%,23.60%,
Downers Grove 113,600,16,44,60,26.67%,73.33%,10.00%,
Downers Grove 115,731,91,88,179,50.84%,49.16%,24.49%,
Downers Grove 118,894,46,90,136,33.82%,66.18%,15.21%,
Downers Grove 119,621,62,19,81,76.54%,23.46%,13.04%,
Downers Grove 120,480,59,82,141,41.84%,58.16%,29.38%,
Downers Grove 121,599,101,111,212,47.64%,52.36%,35.39%,
Downers Grove 127,665,59,106,165,35.76%,64.24%,24.81%,
Downers Grove 129,776,74,121,195,37.95%,62.05%,25.13%,
Downers Grove 130,750,47,87,134,35.07%,64.93%,17.87%,
Downers Grove 131,792,72,117,189,38.10%,61.90%,23.86%,
Downers Grove 132,537,283,7,290,97.59%,2.41%,54.00%,
Downers Grove 140,630,79,96,175,45.14%,54.86%,27.78%,
Downers Grove 141,470,46,56,102,45.10%,54.90%,21.70%,
Downers Grove 142,550,28,62,90,31.11%,68.89%,16.36%,
Downers Grove 145,692,77,126,203,37.93%,62.07%,29.34%,
Downers Grove 146,822,75,123,198,37.88%,62.12%,24.09%,
Downers Grove 147,466,53,55,108,49.07%,50.93%,23.18%,
Downers Grove 148,527,63,75,138,45.65%,54.35%,26.19%,
Downers Grove 149,736,107,138,245,43.67%,56.33%,33.29%,
Downers Grove 151,521,68,63,131,51.91%,48.09%,25.14%,
Downers Grove 154,571,64,59,123,52.03%,47.97%,21.54%,
Lisle 001,626,40,96,136,29.41%,70.59%,21.73%,
Lisle 003,653,44,105,149,29.53%,70.47%,22.82%,
Lisle 004,837,58,139,197,29.44%,70.56%,23.54%,
Lisle 006,476,45,73,118,38.14%,61.86%,24.79%,
Lisle 007,635,75,75,150,50.00%,50.00%,23.62%,
Lisle 008,825,68,138,206,33.01%,66.99%,24.97%,
