Township,Registered Voters,Republican Votes,Dem Votes,Vote Count,% Republican,% Dem,% Turnout,Priority
Wayne 030,747,91,111,202,45.05%,54.95%,27.04%,1
Bloomingdale 058,818,83,109,192,43.23%,56.77%,23.47%,1
Wayne 017,692,74,104,178,41.57%,58.43%,25.72%,1
Wayne 020,693,76,102,178,42.70%,57.30%,25.69%,1
Wayne 006,653,79,97,176,44.89%,55.11%,26.95%,1
Wayne 025,609,78,88,166,46.99%,53.01%,27.26%,1
Wayne 013,886,69,96,165,41.82%,58.18%,18.62%,1
Bloomingdale 018,620,59,90,149,39.60%,60.40%,24.03%,1
Bloomingdale 077,634,62,86,148,41.89%,58.11%,23.34%,1
Wayne 042,777,58,78,136,42.65%,57.35%,17.50%,1
Wayne 068,542,53,82,135,39.26%,60.74%,24.91%,1
Wayne 054,785,51,83,134,38.06%,61.94%,17.07%,1
Wayne 053,826,57,75,132,43.18%,56.82%,15.98%,1
Wayne 015,802,51,76,127,40.16%,59.84%,15.84%,1
Wayne 019,714,37,78,115,32.17%,67.83%,16.11%,1
Wayne 055,660,105,90,195,53.85%,46.15%,29.55%,2
Wayne 050,588,79,77,156,50.64%,49.36%,26.53%,2
Bloomingdale 068,840,42,52,94,44.68%,55.32%,11.19%,2
Wayne 059,658,66,81,147,44.90%,55.10%,22.34%,2
Wayne 023,749,81,99,180,45.00%,55.00%,24.03%,2
Wayne 004,813,66,78,144,45.83%,54.17%,17.71%,2
Bloomingdale 043,746,70,82,152,46.05%,53.95%,20.38%,2
Wayne 012,609,63,73,136,46.32%,53.68%,22.33%,2
Wayne 067,745,57,66,123,46.34%,53.66%,16.51%,2
Wayne 040,691,79,90,169,46.75%,53.25%,24.46%,2
Wayne 046,660,61,64,125,48.80%,51.20%,18.94%,2
Wayne 044,561,62,65,127,48.82%,51.18%,22.64%,2
Wayne 005,713,74,77,151,49.01%,50.99%,21.18%,2
Wayne 021,697,75,78,153,49.02%,50.98%,21.95%,2
Wayne 047,561,36,37,73,49.32%,50.68%,13.01%,2
Wayne 033,738,73,73,146,50.00%,50.00%,19.78%,2
Wayne 052,580,69,69,138,50.00%,50.00%,23.79%,2
Wayne 057,705,81,79,160,50.63%,49.38%,22.70%,2
Wayne 058,510,55,49,104,52.88%,47.12%,20.39%,2
Wayne 026,583,64,57,121,52.89%,47.11%,20.75%,2
Wayne 039,903,104,91,195,53.33%,46.67%,21.59%,2
Wayne 043,493,55,48,103,53.40%,46.60%,20.89%,2
Wayne 032,681,83,72,155,53.55%,46.45%,22.76%,2
Wayne 060,603,44,43,87,50.57%,49.43%,14.43%,2
Wayne 049,810,89,71,160,55.63%,44.38%,19.75%,3
Bloomingdale 080,609,69,53,122,56.56%,43.44%,20.03%,3
Bloomingdale 089,614,77,59,136,56.62%,43.38%,22.15%,3
Wayne 002,819,105,78,183,57.38%,42.62%,22.34%,3
Wayne 011,440,92,64,156,58.97%,41.03%,35.45%,3
Wayne 009,750,109,74,183,59.56%,40.44%,24.40%,3
Wayne 035,521,59,39,98,60.20%,39.80%,18.81%,3
Wayne 036,541,53,35,88,60.23%,39.77%,16.27%,3
Wayne 008,611,63,41,104,60.58%,39.42%,17.02%,3
