County,Precinct,Obama,Romney
cook,8700020,351,152
cook,8700021,459,380
cook,8700022,350,303
cook,8700023,155,337
cook,8700024,417,397
cook,8700025,260,275
cook,8700026,458,375
cook,8700027,294,175
cook,8700028,209,240
cook,8700029,455,405
cook,7900069,361,483
cook,7900068,306,150
cook,7900061,300,383
cook,7900060,826,74
cook,7900063,274,537
cook,7900062,103,212
cook,7900065,424,336
cook,7900064,335,182
cook,7900067,382,220
cook,7900066,255,122
cook,7600042,323,306
cook,7600043,423,243
cook,7600040,387,266
cook,7600041,526,388
cook,7600044,444,386
cook,7900038,178,89
cook,7900039,310,349
cook,8700019,280,424
cook,8700018,245,199
cook,8700015,311,293
cook,8700014,331,272
cook,8700017,356,296
cook,8700016,297,144
cook,8700011,291,253
cook,8700010,236,580
cook,8700013,357,277
cook,8700012,227,391
cook,7900076,264,191
cook,7900077,255,182
cook,7900074,184,118
cook,7900075,257,161
cook,7900072,349,449
cook,7900073,297,316
cook,7900070,531,9
cook,7900071,208,67
cook,7900078,217,233
cook,7900032,137,144
cook,7900033,134,98
cook,7000011,151,380
cook,7000010,193,205
cook,8700053,284,259
cook,8700052,277,411
cook,8700055,211,292
cook,8700054,401,432
cook,7600037,502,331
cook,7600036,308,156
cook,7600035,420,210
cook,7600034,503,265
cook,7600033,414,247
cook,7600032,321,128
cook,7600031,226,311
cook,7600030,426,279
cook,8700002,370,442
cook,8700003,163,423
cook,8700001,229,231
cook,8700006,343,354
cook,8700007,332,334
cook,7600039,418,240
cook,7600038,386,310
cook,7900003,313,185
cook,7900002,307,170
cook,7900001,34,33
cook,7900007,471,88
cook,7900006,233,149
cook,7900005,339,208
cook,7900004,541,294
cook,7900009,434,254
cook,7900008,220,150
cook,8700050,478,500
cook,7000008,308,699
cook,7000009,214,318
cook,7000001,267,390
cook,7000002,317,274
cook,7000003,227,583
cook,7000004,291,606
cook,7000005,186,590
cook,7000006,354,465
cook,7000007,74,179
cook,7600024,413,144
cook,7600025,297,203
cook,7600026,471,353
cook,7600027,939,835
cook,7600020,562,411
cook,7600021,193,219
cook,7600022,383,233
cook,7600023,384,261
cook,8700068,251,334
cook,7600028,518,354
cook,7600029,334,101
cook,8700069,309,281
cook,7900010,328,206
cook,7900011,234,230
cook,7900012,144,309
cook,7900013,342,3
cook,7900014,398,429
cook,7900015,387,348
cook,7900016,602,388
cook,7900017,166,239
cook,7900018,295,241
cook,7900019,392,195
cook,8700064,312,293
cook,8700065,287,292
cook,8700066,517,228
cook,8700067,186,425
cook,8700035,295,310
cook,8700060,402,186
cook,8700061,263,142
cook,7600011,429,182
cook,7600010,221,151
cook,7600013,276,168
cook,7600012,286,113
cook,7600015,386,139
cook,7600014,421,304
cook,7600017,307,160
cook,7600016,413,448
cook,7600019,249,317
cook,7600018,411,186
cook,8700063,324,314
cook,8700038,256,379
cook,7900029,271,243
cook,7900028,309,374
cook,7900025,316,257
cook,7900024,233,319
cook,7900027,156,461
cook,7900026,183,240
cook,7900021,461,579
cook,7900020,458,547
cook,7900023,330,343
cook,7900022,276,107
cook,8700057,454,400
cook,7600008,305,240
cook,7600009,330,335
cook,7600006,375,178
cook,7600007,346,233
cook,7600004,393,261
cook,7600005,404,255
cook,7600002,391,301
cook,7600003,192,85
cook,7600001,483,328
cook,7700001,221,525
cook,8700058,330,216
cook,7700003,269,561
cook,7700002,209,331
cook,7700005,364,319
cook,7700004,256,440
cook,7700007,251,291
cook,7700006,293,441
cook,7700009,152,358
cook,7700008,386,462
cook,7900030,66,52
cook,7900031,237,355
cook,7900036,192,403
cook,7900037,244,136
cook,7900034,168,114
cook,7900035,294,255
cook,8700009,281,414
cook,8700046,366,357
cook,8700047,329,332
cook,8700044,269,618
cook,8700045,236,312
cook,8700042,398,369
cook,8700043,266,268
cook,8700040,419,512
cook,8700041,412,482
cook,8700048,227,326
cook,8700049,205,328
cook,8700059,463,438
cook,7700014,202,489
cook,7700012,214,530
cook,7700013,268,584
cook,7700010,262,249
cook,7700011,354,608
cook,8700062,318,173
cook,8700004,325,124
cook,7900049,184,208
cook,7900048,345,223
cook,7900047,284,314
cook,7900046,232,278
cook,7900045,464,332
cook,7900044,406,622
cook,7900043,251,297
cook,7900042,236,400
cook,7900041,173,247
cook,7900040,240,274
cook,8700051,223,196
cook,8700033,244,152
cook,8700032,308,343
cook,8700031,193,291
cook,8700030,250,217
cook,8700037,428,317
cook,8700036,290,299
cook,8700008,379,350
cook,8700034,379,461
cook,8700039,486,399
cook,8700005,498,383
cook,8700056,345,353
cook,7900058,306,203
cook,7900059,336,143
cook,7900054,187,129
cook,7900055,309,409
cook,7900056,521,215
cook,7900057,433,126
cook,7900050,410,269
cook,7900051,315,222
cook,7900052,372,334
cook,7900053,286,357
kane,SC0024,438,898
kane,SC0025,382,308
kane,SC0015,259,288
kane,CA0010,253,579
kane,BR0002,170,321
kane,GE0007,316,330
kane,EL0058,623,607
kane,BR0001,159,292
kane,GE0002,293,233
kane,GE0003,217,326
kane,GE0001,302,299
kane,EL0052,393,256
kane,EL0053,581,586
kane,EL0050,159,140
kane,EL0051,246,361
kane,EL0056,385,311
kane,EL0057,374,282
kane,EL0054,360,277
kane,EL0055,393,396
kane,DU0010,351,160
kane,DU0011,311,306
kane,DU0012,158,41
kane,DU0013,159,63
kane,DU0014,348,122
kane,DU0015,243,293
kane,DU0016,378,277
kane,DU0017,258,83
kane,DU0018,421,574
kane,DU0019,155,42
kane,GE0019,213,527
kane,GE0018,342,330
kane,AU0015,414,239
kane,AU0014,331,260
kane,AU0013,575,422
kane,AU0012,139,75
kane,AU0011,425,284
kane,AU0010,164,43
kane,EL0049,378,300
kane,EL0048,365,344
kane,GE0017,421,814
kane,GE0016,233,366
kane,GE0011,264,334
kane,GE0010,130,123
kane,GE0013,256,411
kane,GE0012,266,283
kane,EL0041,284,197
kane,EL0040,222,102
kane,EL0043,335,159
kane,EL0042,227,148
kane,EL0045,169,74
kane,EL0044,304,180
kane,EL0047,485,597
kane,EL0046,156,135
kane,GE0006,235,270
kane,PL0001,420,655
kane,DU0009,253,79
