Precinct,Leslie Coolidge,Geoffrey Petzel,Maureen E. Yates,Total
Cuba 64,15,2,1,18
Cuba 65,19,1,9,29
Cuba 66,45,3,14,62
Cuba 67,15,0,7,22
Cuba 68,43,2,24,69
Cuba 69,48,2,13,63
Cuba 70,26,1,4,31
Cuba 71,15,0,9,24
Cuba 72,19,4,8,31
Cuba 73,21,5,6,32
Cuba 74,19,3,9,31
Cuba 75,18,0,3,21
Cuba 76,42,2,10,54
Cuba 77,28,0,11,39
Ela 100,21,2,16,39
Ela 101,25,3,17,45
Ela 102,23,2,9,34
Ela 103,25,11,13,49
Ela 104,28,1,29,58
Ela 105,32,4,11,47
Ela 78,10,3,8,21
Ela 79,11,3,6,20
Ela 80,18,11,8,37
Ela 81,18,5,11,34
Ela 82,26,11,16,53
Ela 83,26,13,15,54
Ela 84,6,5,5,16
Ela 85,7,2,4,13
Ela 86,19,3,14,36
Ela 87,22,13,21,56
Ela 88,13,1,5,19
Ela 89,20,1,10,31
Ela 90,20,6,9,35
Ela 91,23,5,6,34
Ela 92,13,1,11,25
Ela 93,19,5,9,33
Ela 94,25,4,11,40
Ela 95,28,8,11,47
Ela 96,24,11,11,46
Ela 97,24,5,8,37
Ela 98,12,0,3,15
Ela 99,30,3,13,46
