Precinct,Registered Voters,Ballots Cast,Peter J. Roskam,Total Votes
Barrington 1,867,155,137,137
Barrington 2,841,103,87,87
Barrington 3,"1,066",166,142,142
Barrington 5,"1,027",182,157,157
Barrington 6,"1,097",151,135,135
Barrington 7,348,49,41,41
Barrington 8,"1,373",144,132,132
Barrington 9,672,120,100,100
Hanover 9,944,127,110,110
Hanover 26,"1,375",106,90,90
Hanover 31,750,111,97,97
Hanover 42,926,93,80,80
Hanover 44,"1,231",96,79,79
Lyons 12,607,143,125,125
Lyons 27,831,77,67,67
Palatine 1,658,83,69,69
Palatine 2,"1,077",189,160,160
Palatine 3,804,152,132,132
Palatine 6,"1,006",100,79,79
Palatine 7,954,138,113,113
Palatine 8,"1,014",113,99,99
Palatine 9,892,170,150,150
Palatine 10,"1,060",165,141,141
Palatine 11,826,77,61,61
Palatine 12,863,164,154,154
Palatine 14,844,105,90,90
Palatine 15,902,92,83,83
Palatine 17,845,115,94,94
Palatine 18,631,89,69,69
Palatine 19,922,173,146,146
Palatine 20,859,44,40,40
Palatine 23,641,134,117,117
Palatine 25,724,124,107,107
Palatine 28,619,95,71,71
Palatine 29,"1,262",116,93,93
Palatine 30,708,105,87,87
Palatine 31,601,138,121,121
Palatine 32,872,144,119,119
Palatine 33,661,35,27,27
Palatine 34,"1,155",159,138,138
Palatine 35,805,129,105,105
Palatine 36,855,79,72,72
Palatine 37,"1,091",104,88,88
Palatine 38,806,164,138,138
Palatine 40,"1,309",178,140,140
Palatine 41,"1,181",151,121,121
Palatine 42,"1,063",181,147,147
Palatine 43,717,97,78,78
Palatine 44,"1,182",220,189,189
Palatine 45,726,154,121,121
Palatine 46,"1,008",156,128,128
Palatine 48,729,153,136,136
Palatine 49,692,96,85,85
Palatine 50,"1,313",202,174,174
Palatine 52,899,168,135,135
Palatine 54,"1,091",200,166,166
Palatine 55,701,81,75,75
Palatine 56,995,104,83,83
Palatine 57,"1,146",147,129,129
Palatine 63,964,112,92,92
Palatine 64,934,69,65,65
Palatine 65,763,109,94,94
Palatine 67,790,169,150,150
Palatine 68,788,113,94,94
Palatine 69,889,93,80,80
