Precinct,Registered Voters,Peter J. Roskam
Wayne 1,769,155,
Wayne 2,460,87,
Wayne 3,1267,152,
Wayne 4,1127,113,
Wayne 5,1188,149,
Wayne 6,1164,154,
Wayne 7,1000,122,
Wayne 8,922,144,
Wayne 9,1058,175,
Wayne 10,961,171,
Wayne 11,900,145,
Wayne 12,830,93,
Wayne 13,1299,153,
Wayne 15,1035,98,
Wayne 17,1394,193,
Wayne 19,951,92,
Wayne 20,788,118,
Wayne 21,1148,133,
Wayne 22,697,107,
Wayne 23,820,93,
Wayne 25,931,99,
Wayne 26,587,76,
Wayne 28,927,94,
Wayne 30,1050,120,
Wayne 32,644,105,
Wayne 33,654,56,
Wayne 35,1006,120,
Wayne 36,983,124,
Wayne 37,1099,192,
Wayne 39,771,100,
Wayne 40,1034,118,
Wayne 42,1166,103,
Bloomingdale 9,1174,160,
Bloomingdale 18,897,114,
Bloomingdale 43,588,85,
Bloomingdale 45,413,158,
Bloomingdale 58,1267,181,
Bloomingdale 68,1273,129,
Winfield 1,799,78,
Winfield 2,788,136,
Winfield 4,755,134,
Winfield 5,639,86,
Winfield 6,625,118,
Winfield 7,769,168,
Winfield 8,514,68,
Winfield 9,815,33,
Winfield 12,900,141,
Winfield 13,572,40,
Winfield 14,815,120,
Winfield 15,690,77,
Winfield 17,614,73,
Winfield 18,580,159,
Winfield 19,647,150,
Winfield 20,831,132,
Winfield 21,945,158,
Winfield 22,808,149,
Winfield 23,748,88,
Winfield 30,885,163,
Winfield 37,640,75,
Milton 1,467,86,
Milton 2,700,130,
Milton 3,872,176,
Milton 4,511,115,
Milton 5,624,114,
Milton 6,574,90,
Milton 7,476,89,
Milton 8,842,168,
Milton 9,464,83,
Milton 10,634,111,
Milton 11,567,80,
Milton 12,488,71,
Milton 13,705,145,
Milton 14,631,145,
Milton 15,738,119,
Milton 16,649,124,
Milton 17,908,223,
Milton 18,768,169,
Milton 19,885,173,
Milton 20,679,128,
Milton 21,583,80,
Milton 22,528,76,
Milton 23,756,146,
Milton 24,535,58,
Milton 25,813,182,
Milton 26,1274,135,
Milton 27,592,105,
Milton 28,641,144,
Milton 29,518,74,
Milton 30,895,139,
Milton 31,1045,106,
Milton 32,826,236,
Milton 33,580,81,
Milton 34,618,107,
Milton 35,560,78,
Milton 36,696,93,
Milton 37,702,137,
Milton 38,925,125,
Milton 39,867,181,
Milton 40,722,105,
Milton 41,586,76,
Milton 42,543,68,
Milton 43,726,155,
Milton 44,631,125,
Milton 45,614,126,
Milton 46,696,151,
Milton 47,672,114,
Milton 48,591,108,
Milton 49,546,111,
Milton 50,708,112,
Milton 51,1213,148,
Milton 52,599,114,
Milton 54,812,179,
Milton 55,859,152,
Milton 56,537,101,
Milton 57,918,219,
Milton 58,886,180,
Milton 59,475,110,
Milton 60,911,171,
Milton 61,1000,187,
Milton 62,726,136,
Milton 63,844,115,
Milton 64,759,80,
Milton 65,547,133,
Milton 66,793,146,
Milton 67,634,150,
Milton 68,662,118,
Milton 69,519,117,
Milton 71,536,136,
Milton 73,1037,199,
Milton 74,649,139,
Milton 75,577,113,
Milton 76,709,131,
Milton 77,595,103,
Milton 78,586,57,
Milton 79,830,115,
Milton 80,899,67,
Milton 81,872,125,
Milton 82,607,114,
Milton 83,650,145,
Milton 84,770,148,
Milton 85,498,50,
Milton 86,400,82,
Milton 87,938,185,
Milton 88,834,121,
Milton 89,865,121,
Milton 90,952,233,
Milton 91,351,94,
Milton 92,482,100,
Milton 93,717,112,
Milton 94,577,84,
Milton 95,884,190,
Milton 96,533,99,
Milton 97,824,136,
Milton 98,651,65,
Milton 99,752,148,
Milton 100,1079,153,
Milton 102,1124,199,
Milton 104,623,53,
Milton 105,382,72,
Milton 106,1012,209,
Milton 107,601,132,
Milton 108,769,136,
Milton 109,576,138,
York 3,553,74,
York 9,715,88,
York 18,1046,166,
York 21,320,60,
York 26,835,171,
York 30,545,88,
York 42,530,82,
York 43,444,75,
York 56,909,103,
York 62,1317,135,
York 64,252,46,
York 74,1064,150,
York 75,962,176,
York 77,654,117,
York 86,1052,143,
York 93,751,93,
York 95,439,75,
York 97,846,149,
York 100,679,120,
York 101,497,102,
York 105,780,117,
York 106,574,117,
York 109,931,223,
York 111,1184,97,
York 114,761,128,
York 119,800,88,
York 121,806,152,
York 122,689,66,
York 128,1096,207,
York 130,490,100,
Naperville 5,770,80,
Naperville 7,718,93,
Naperville 10,889,159,
Naperville 15,683,63,
Naperville 16,927,158,
Naperville 19,837,107,
Naperville 22,901,132,
Naperville 26,909,137,
Naperville 31,719,95,
Naperville 61,640,144,
Lisle 1,368,42,
Lisle 3,1121,141,
Lisle 4,755,93,
Lisle 6,515,43,
Lisle 7,380,59,
Lisle 8,737,85,
Lisle 9,644,74,
Lisle 11,795,136,
Lisle 14,969,181,
Lisle 16,957,95,
Lisle 22,705,122,
Lisle 25,732,98,
Lisle 31,692,121,
Lisle 32,674,59,
Lisle 37,715,111,
Lisle 38,732,60,
Lisle 40,632,113,
Lisle 43,1169,214,
Lisle 44,603,87,
Lisle 52,1106,148,
Lisle 55,502,93,
Lisle 56,1119,141,
Lisle 59,817,114,
Lisle 61,1200,103,
Lisle 68,804,149,
Lisle 77,1303,103,
Lisle 78,1739,201,
Lisle 80,516,58,
Lisle 81,649,171,
Lisle 83,772,114,
Lisle 88,583,63,
Lisle 89,850,82,
Lisle 91,755,113,
Lisle 92,470,24,
Lisle 95,602,131,
Downers Grove 2,670,151,
Downers Grove 3,582,111,
Downers Grove 6,620,116,
Downers Grove 7,833,189,
Downers Grove 8,983,186,
Downers Grove 9,619,112,
Downers Grove 10,786,101,
Downers Grove 11,827,141,
Downers Grove 12,616,107,
Downers Grove 14,818,135,
Downers Grove 15,598,100,
Downers Grove 16,561,88,
Downers Grove 17,725,179,
Downers Grove 18,802,152,
Downers Grove 19,563,66,
Downers Grove 20,915,183,
Downers Grove 21,707,125,
Downers Grove 26,736,167,
Downers Grove 27,497,74,
Downers Grove 28,563,112,
Downers Grove 29,837,131,
Downers Grove 30,581,109,
Downers Grove 31,736,109,
Downers Grove 32,602,104,
Downers Grove 33,632,88,
Downers Grove 34,842,171,
Downers Grove 36,832,207,
Downers Grove 37,852,170,
Downers Grove 38,663,127,
Downers Grove 39,711,88,
Downers Grove 44,644,128,
Downers Grove 45,654,160,
Downers Grove 47,393,66,
Downers Grove 48,554,79,
Downers Grove 49,743,145,
Downers Grove 50,761,130,
Downers Grove 51,715,129,
Downers Grove 52,740,128,
Downers Grove 53,817,187,
Downers Grove 54,978,200,
Downers Grove 55,546,95,
Downers Grove 56,462,64,
Downers Grove 57,636,105,
Downers Grove 59,698,123,
Downers Grove 61,794,117,
Downers Grove 63,555,74,
Downers Grove 64,1011,191,
Downers Grove 65,721,141,
Downers Grove 66,618,95,
Downers Grove 67,988,133,
Downers Grove 69,565,51,
Downers Grove 70,968,195,
Downers Grove 71,812,64,
Downers Grove 73,604,88,
Downers Grove 74,901,135,
Downers Grove 75,704,148,
Downers Grove 76,933,66,
Downers Grove 78,587,113,
Downers Grove 79,974,212,
Downers Grove 82,734,122,
Downers Grove 83,868,144,
Downers Grove 84,715,90,
Downers Grove 85,617,131,
Downers Grove 87,948,221,
Downers Grove 92,1117,210,
Downers Grove 94,832,111,
Downers Grove 96,601,79,
Downers Grove 97,674,110,
Downers Grove 98,713,121,
Downers Grove 102,1001,172,
Downers Grove 103,624,66,
Downers Grove 105,875,81,
Downers Grove 106,633,114,
Downers Grove 107,492,104,
Downers Grove 109,800,196,
Downers Grove 112,742,95,
Downers Grove 113,1206,111,
Downers Grove 115,707,112,
Downers Grove 118,848,50,
Downers Grove 119,582,104,
Downers Grove 120,797,150,
Downers Grove 121,557,119,
Downers Grove 127,613,88,
Downers Grove 129,649,80,
Downers Grove 130,603,59,
Downers Grove 131,392,44,
Downers Grove 132,511,86,
Wayne 1,769,9,
Wayne 2,460,9,
Wayne 3,1267,14,
Wayne 4,1127,21,
Wayne 5,1188,9,
Wayne 6,1164,14,
Wayne 7,1000,31,
Wayne 8,922,8,
Wayne 9,1058,16,
Wayne 10,961,9,
Wayne 11,900,9,
Wayne 12,830,11,
Wayne 13,1299,13,
Wayne 15,1035,21,
Wayne 17,1394,20,
Wayne 19,951,17,
Wayne 20,788,9,
Wayne 21,1148,36,
Wayne 22,697,9,
Wayne 23,820,17,
Wayne 25,931,28,
Wayne 26,587,7,
Wayne 28,927,20,
Wayne 30,1050,11,
Wayne 32,644,11,
Wayne 33,654,6,
Wayne 35,1006,7,
Wayne 36,983,14,
Wayne 37,1099,9,
Wayne 39,771,8,
Wayne 40,1034,19,
Wayne 42,1166,28,
Bloomingdale 9,1174,19,
Bloomingdale 18,897,36,
Bloomingdale 43,588,16,
Bloomingdale 45,413,11,
Bloomingdale 58,1267,25,
Bloomingdale 68,1273,34,
Winfield 1,799,15,
Winfield 2,788,14,
Winfield 4,755,24,
Winfield 5,639,6,
Winfield 6,625,9,
Winfield 7,769,9,
Winfield 8,514,8,
Winfield 9,815,20,
Winfield 12,900,22,
Winfield 13,572,8,
Winfield 14,815,24,
Winfield 15,690,10,
Winfield 17,614,15,
Winfield 18,580,21,
Winfield 19,647,10,
Winfield 20,831,13,
Winfield 21,945,53,
Winfield 22,808,25,
Winfield 23,748,17,
Winfield 30,885,15,
Winfield 37,640,7,
Milton 1,467,20,
Milton 2,700,25,
Milton 3,872,10,
Milton 4,511,9,
Milton 5,624,28,
Milton 6,574,18,
Milton 7,476,11,
Milton 8,842,20,
Milton 9,464,11,
Milton 10,634,26,
Milton 11,567,19,
Milton 12,488,19,
Milton 13,705,14,
Milton 14,631,21,
Milton 15,738,17,
Milton 16,649,7,
Milton 17,908,21,
Milton 18,768,10,
Milton 19,885,9,
Milton 20,679,18,
Milton 21,583,28,
Milton 22,528,13,
Milton 23,756,10,
Milton 24,535,7,
Milton 25,813,5,
Milton 26,1274,37,
Milton 27,592,22,
Milton 28,641,9,
Milton 29,518,14,
Milton 30,895,29,
Milton 31,1045,20,
Milton 32,826,70,
Milton 33,580,17,
Milton 34,618,27,
Milton 35,560,10,
Milton 36,696,18,
Milton 37,702,7,
Milton 38,925,24,
Milton 39,867,14,
Milton 40,722,16,
Milton 41,586,21,
Milton 42,543,15,
Milton 43,726,19,
Milton 44,631,23,
Milton 45,614,23,
Milton 46,696,21,
Milton 47,672,27,
Milton 48,591,19,
Milton 49,546,7,
Milton 50,708,29,
Milton 51,1213,7,
Milton 52,599,21,
Milton 54,812,7,
Milton 55,859,6,
Milton 56,537,16,
Milton 57,918,17,
Milton 58,886,20,
Milton 59,475,8,
Milton 60,911,20,
Milton 61,1000,8,
Milton 62,726,38,
Milton 63,844,9,
Milton 64,759,23,
Milton 65,547,8,
Milton 66,793,41,
Milton 67,634,19,
Milton 68,662,10,
Milton 69,519,30,
Milton 71,536,13,
Milton 73,1037,28,
Milton 74,649,5,
Milton 75,577,7,
Milton 76,709,23,
Milton 77,595,8,
Milton 78,586,6,
Milton 79,830,18,
Milton 80,899,19,
Milton 81,872,9,
Milton 82,607,12,
Milton 83,650,27,
Milton 84,770,11,
Milton 85,498,12,
Milton 86,400,9,
Milton 87,938,20,
Milton 88,834,35,
Milton 89,865,23,
Milton 90,952,23,
Milton 91,351,11,
Milton 92,482,5,
Milton 93,717,9,
Milton 94,577,14,
Milton 95,884,14,
Milton 96,533,22,
Milton 97,824,34,
Milton 98,651,7,
Milton 99,752,15,
Milton 100,1079,17,
Milton 102,1124,12,
Milton 104,623,9,
Milton 105,382,18,
Milton 106,1012,7,
Milton 107,601,8,
Milton 108,769,28,
Milton 109,576,5,
York 3,553,2,
York 9,715,16,
York 18,1046,35,
York 21,320,11,
York 26,835,39,
York 30,545,5,
York 42,530,20,
York 43,444,18,
York 56,909,24,
York 62,1317,24,
York 64,252,3,
York 74,1064,26,
York 75,962,32,
York 77,654,15,
York 86,1052,26,
York 93,751,16,
York 95,439,22,
York 97,846,17,
York 100,679,21,
York 101,497,15,
York 105,780,6,
York 106,574,7,
York 109,931,15,
York 111,1184,30,
York 114,761,34,
York 119,800,6,
York 121,806,44,
York 122,689,5,
York 128,1096,39,
York 130,490,4,
Naperville 5,770,19,
Naperville 7,718,9,
Naperville 10,889,19,
Naperville 15,683,37,
Naperville 16,927,9,
Naperville 19,837,12,
Naperville 22,901,15,
Naperville 26,909,8,
Naperville 31,719,31,
Naperville 61,640,8,
Lisle 1,368,8,
Lisle 3,1121,15,
Lisle 4,755,17,
Lisle 6,515,10,
Lisle 7,380,6,
Lisle 8,737,21,
Lisle 9,644,9,
Lisle 11,795,18,
Lisle 14,969,11,
Lisle 16,957,13,
Lisle 22,705,10,
Lisle 25,732,16,
Lisle 31,692,12,
Lisle 32,674,11,
Lisle 37,715,15,
Lisle 38,732,8,
Lisle 40,632,7,
Lisle 43,1169,11,
Lisle 44,603,10,
Lisle 52,1106,12,
Lisle 55,502,10,
Lisle 56,1119,22,
Lisle 59,817,10,
Lisle 61,1200,20,
Lisle 68,804,16,
Lisle 77,1303,26,
Lisle 78,1739,27,
Lisle 80,516,10,
Lisle 81,649,4,
Lisle 83,772,22,
Lisle 88,583,17,
Lisle 89,850,18,
Lisle 91,755,14,
Lisle 92,470,3,
Lisle 95,602,7,
Downers Grove 2,670,10,
Downers Grove 3,582,24,
Downers Grove 6,620,7,
Downers Grove 7,833,6,
Downers Grove 8,983,37,
Downers Grove 9,619,19,
Downers Grove 10,786,22,
Downers Grove 11,827,22,
Downers Grove 12,616,17,
Downers Grove 14,818,29,
Downers Grove 15,598,19,
Downers Grove 16,561,8,
Downers Grove 17,725,16,
Downers Grove 18,802,25,
Downers Grove 19,563,11,
Downers Grove 20,915,18,
Downers Grove 21,707,16,
Downers Grove 26,736,14,
Downers Grove 27,497,9,
Downers Grove 28,563,9,
Downers Grove 29,837,5,
Downers Grove 30,581,16,
Downers Grove 31,736,16,
Downers Grove 32,602,17,
Downers Grove 33,632,25,
Downers Grove 34,842,16,
Downers Grove 36,832,18,
Downers Grove 37,852,6,
Downers Grove 38,663,17,
Downers Grove 39,711,21,
Downers Grove 44,644,4,
Downers Grove 45,654,13,
Downers Grove 47,393,1,
Downers Grove 48,554,11,
Downers Grove 49,743,18,
Downers Grove 50,761,24,
Downers Grove 51,715,20,
Downers Grove 52,740,8,
Downers Grove 53,817,21,
Downers Grove 54,978,29,
Downers Grove 55,546,5,
Downers Grove 56,462,9,
Downers Grove 57,636,6,
Downers Grove 59,698,8,
Downers Grove 61,794,6,
Downers Grove 63,555,15,
Downers Grove 64,1011,20,
Downers Grove 65,721,16,
