Precinct,Vote by Mail Ballots Cast,Early/Grace Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turout,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,
DU0001,7,38,103,148,1044,14.18,38,20,37,4,7,11,21,
DU0002,1,31,96,128,688,18.60,28,17,24,5,7,9,22,
DU0004,0,31,76,107,924,11.58,23,15,21,1,7,9,21,
DU0016,2,26,90,118,1228,9.61,41,13,18,5,7,6,16,
DU0018,0,81,107,188,1604,11.72,56,20,35,5,7,12,38,
DU0020,4,34,108,146,1118,13.06,33,20,34,11,6,9,25,
DU0022,0,11,72,83,794,10.45,19,10,19,0,5,7,14,
DU0023,3,29,58,90,678,13.27,26,5,15,4,3,10,23,
DU0024,2,9,103,114,916,12.45,33,21,24,5,3,6,13,
DU0025,4,19,57,80,695,11.51,36,9,12,1,1,5,10,
DU0026,2,21,74,97,693,14.00,32,5,23,2,3,10,15,
DU0027,3,12,35,50,1015,4.93,17,10,9,2,4,0,6,
DU0028,9,66,108,183,1896,9.65,55,21,36,11,15,4,28,
DU0029,0,19,74,93,847,10.98,27,11,20,5,2,6,16,
DU0030,2,37,67,106,1262,8.40,42,12,17,3,4,4,14,
DU0031,1,32,43,76,737,10.31,21,6,18,4,5,5,12,
DU0032,4,55,90,149,1920,7.76,46,28,23,5,9,11,14,
DU0033,3,29,125,157,1696,9.26,37,33,35,10,11,5,11,
DU0034,4,55,88,147,1407,10.45,54,16,29,5,7,9,17,
DU0035,4,22,119,145,1936,7.49,53,23,23,7,8,10,13,
EL0007,1,39,77,117,854,13.70,35,13,18,4,9,10,20,
EL0008,2,40,82,124,900,13.78,32,34,20,4,9,6,13,
EL0010,1,37,71,109,781,13.96,28,21,27,4,6,8,12,
EL0015,5,30,84,119,787,15.12,35,11,19,5,7,7,20,
EL0016,3,25,93,121,985,12.28,47,15,20,2,6,5,20,
EL0021,0,9,83,92,782,11.76,26,6,21,7,5,3,9,
EL0024,6,72,99,177,1924,9.20,49,22,32,7,9,17,27,
EL0036,3,32,86,121,1248,9.70,38,24,25,4,6,4,11,
EL0038,0,16,68,84,914,9.19,25,8,17,3,3,8,12,
EL0039,2,23,77,102,924,11.04,27,18,24,6,6,3,5,
EL0047,5,77,92,174,2114,8.23,55,27,22,9,9,11,32,
EL0048,11,76,91,178,1213,14.67,51,27,20,8,7,5,34,
EL0050,4,16,56,76,506,15.02,19,13,21,5,4,5,8,
EL0051,1,24,96,121,1014,11.93,37,16,26,7,9,6,13,
EL0053,2,55,136,193,2218,8.70,51,20,38,9,12,16,33,
EL0054,4,52,91,147,1017,14.45,51,26,22,4,6,10,18,
EL0055,3,48,86,137,1402,9.77,34,20,30,3,8,14,13,
EL0056,2,45,102,149,1280,11.64,45,20,28,7,12,7,17,
EL0057,0,0,6,6,53,11.32,4,0,0,1,0,0,1,
EL0058,2,90,135,227,2830,8.02,75,33,41,5,14,6,35,
EL0059,12,286,124,422,2492,16.93,113,123,42,14,14,5,87
RU0001,5,17,146,168,2254,7.45,38,28,38,5,10,11,27
RU0005,3,53,133,189,2017,9.37,55,33,44,10,11,11,17
RU0006,2,16,53,71,903,7.86,24,7,10,5,2,7,10
SC0001,13,16,77,106,792,13.38,34,4,23,1,8,4,22
SC0002,3,51,88,142,965,14.72,38,12,27,8,11,5,22
SC0003,1,34,93,128,1141,11.22,35,14,27,5,9,1,26
SC0007,5,24,56,85,1133,7.50,19,14,19,6,2,2,15
SC0008,7,77,102,186,1203,15.46,54,12,35,3,14,6,48
SC0011,2,29,105,136,1068,12.73,27,21,38,5,7,8,16
SC0012,2,48,51,101,1133,8.91,22,18,21,3,8,5,21
SC0016,1,39,79,119,1297,9.18,42,11,37,6,3,0,12
SC0017,4,21,106,131,961,13.63,32,24,36,5,7,7,11
SC0022,2,31,98,131,1065,12.30,28,10,31,4,5,7,32
SC0024,0,28,163,191,2135,8.95,45,34,44,9,3,6,28
SC0026,6,46,72,124,1291,9.60,30,16,26,3,12,5,27
SC0027,7,53,79,139,1309,10.62,43,15,19,4,12,1,32
SC0028,3,36,80,119,1033,11.52,31,11,23,6,8,6,23
SC0029,2,49,103,154,1447,10.64,36,23,42,4,16,4,19
SC0030,2,37,74,113,1125,10.04,35,11,15,11,5,3,28
SC0031,6,48,72,126,1577,7.99,28,19,32,6,8,3,18
SC0032,0,29,40,69,873,7.90,21,7,7,4,5,2,19
SC0033,3,33,74,110,970,11.34,22,7,36,5,5,5,20
