Precinct,Vote by Mail Ballots Cast,Early/Grace Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Peter J. Roskam,Totals
DU0001,0,21,80,101,1044,9.67,93,93,
DU0002,1,30,87,118,688,17.15,99,99,
DU0004,2,30,78,110,924,11.90,95,95,
DU0016,0,11,62,73,1228,5.94,61,61,
DU0018,4,60,86,150,1604,9.35,131,131,
DU0020,5,32,99,136,1118,12.16,120,120,
DU0022,3,17,116,136,794,17.13,112,112,
DU0023,2,9,28,39,678,5.75,36,36,
DU0024,2,4,84,90,916,9.83,78,78,
DU0025,1,14,75,90,695,12.95,77,77,
DU0026,1,22,70,93,693,13.42,78,78,
DU0027,5,24,36,65,1015,6.40,60,60,
DU0028,2,37,133,172,1896,9.07,162,162,
DU0029,3,17,79,99,847,11.69,84,84,
DU0030,0,49,111,160,1262,12.68,138,138,
DU0031,2,17,40,59,737,8.01,48,48,
DU0032,3,17,61,81,1920,4.22,79,79,
DU0033,2,22,90,114,1696,6.72,103,103,
DU0034,2,21,59,82,1407,5.83,67,67,
DU0035,1,12,73,86,1936,4.44,81,81,
EL0007,6,35,91,132,854,15.46,118,118,
EL0008,2,21,65,88,900,9.78,77,77,
EL0010,3,19,52,74,781,9.48,69,69,
EL0015,0,14,60,74,787,9.40,70,70,
EL0016,3,22,100,125,985,12.69,115,115,
EL0021,0,8,52,60,782,7.67,46,46,
EL0024,4,53,171,228,1924,11.85,200,200,
EL0036,7,18,85,110,1248,8.81,103,103,
EL0038,0,30,75,105,914,11.49,94,94,
EL0039,0,16,77,93,924,10.06,82,82,
EL0047,2,84,95,181,2114,8.56,158,158,
EL0048,8,29,81,118,1213,9.73,98,98,
EL0050,3,9,19,31,506,6.13,28,28,
EL0051,0,19,91,110,1014,10.85,95,95,
EL0053,1,32,126,159,2218,7.17,142,142,
EL0054,0,19,56,75,1017,7.37,72,72,
EL0055,0,38,133,171,1402,12.20,145,145,
EL0056,1,20,64,85,1280,6.64,78,78,
EL0057,0,0,3,3,53,5.66,3,3,
EL0058,0,65,113,178,2830,6.29,144,144,
EL0059,9,167,108,284,2492,11.40,249,249,
RU0001,10,17,158,185,2254,8.21,160,160,
RU0005,1,5,101,107,2017,5.30,92,92,
RU0006,2,18,77,97,903,10.74,88,88,
SC0001,9,45,118,172,792,21.72,146,146,
SC0002,3,41,98,142,965,14.72,122,122,
SC0003,2,24,102,128,1141,11.22,108,108,
SC0007,19,55,152,226,1133,19.95,188,188,
SC0008,11,61,114,186,1203,15.46,157,157,
SC0011,0,13,107,120,1068,11.24,103,103,
SC0012,0,33,63,96,1133,8.47,90,90,
SC0016,0,44,131,175,1297,13.49,154,154,
SC0017,0,19,90,109,961,11.34,97,97,
SC0022,8,46,135,189,1065,17.75,163,163,
SC0024,2,29,202,233,2135,10.91,206,206,
SC0026,3,51,168,222,1291,17.20,198,198,
SC0027,10,44,162,216,1309,16.50,188,188,
SC0028,5,37,146,188,1033,18.20,156,156,
SC0029,1,27,123,151,1447,10.44,133,133,
SC0030,4,44,141,189,1125,16.80,162,162,
SC0031,1,54,177,232,1577,14.71,205,205,
SC0032,2,39,95,136,873,15.58,127,127,
SC0033,0,29,100,129,970,13.30,111,111,
