Precinct,Registered Voters,Ballots Cast,Turnout,MITT ROMNEY,BARACK OBAMA,GARY JOHNSON JAMES P. GRAY,JILL STEIN HOWIE HAWKINS,Michael W. Hawkins (MW),Paul Chehade,Steve McAllister,Barbara A. Prokopich,Cecil James Roth,Dennis Knill,Stephen Durham/Christina Lopez,Beverly Simmons-Miller,Jill Reed/Tom Cary,Joann Brewogel,Mary Ann T. Segal,"Ross C. ""Rocky"" Anderson","Nelson Lee Keyton, Jr.",Tom Hoefling,Jonathan D. Ellis,Richard Duncan,Virgil Goode/Jim Clymer,Darrell Hykes
AU0001,851,611,71.80%,284,306,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0002,465,283,60.86%,132,142,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0003,526,292,55.51%,137,145,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0004,786,447,56.87%,163,272,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0005,691,352,50.94%,106,240,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0006,722,305,42.24%,61,237,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0007,852,472,55.40%,210,243,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0008,393,270,68.70%,151,114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0009,699,504,72.10%,271,222,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0010,493,212,43.00%,43,164,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AU0011,1066,725,68.01%,284,425,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0012,410,225,54.88%,75,139,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0013,1590,1023,64.34%,422,575,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0014,891,605,67.90%,260,331,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU0015,972,676,69.55%,239,414,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA0001,773,527,68.18%,220,283,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA0002,763,544,71.30%,237,286,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA0003,1031,751,72.84%,362,371,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA0004,748,513,68.58%,216,276,10,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BA0005,934,616,65.95%,261,331,14,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
