Precinct,Registered Voters,Ballots Cast,Peter J. Roskam,Total Votes
Barrington 1,804,192,131,131
Barrington 2,785,148,103,103
Barrington 3,"1,010",249,190,190
Barrington 5,988,301,198,198
Barrington 6,"1,062",223,156,156
Barrington 7,339,82,55,55
Barrington 8,"1,288",259,179,179
Barrington 9,682,156,116,116
Hanover 9,932,147,108,108
Hanover 26,"1,286",113,81,81
Hanover 31,719,139,91,91
Hanover 42,873,98,80,80
Hanover 44,"1,195",209,82,82
Lyons 12,617,171,110,110
Lyons 27,781,226,27,27
Palatine 1,667,112,71,71
Palatine 2,"1,063",242,162,162
Palatine 3,801,194,157,157
Palatine 6,959,144,104,104
Palatine 7,983,186,120,120
Palatine 8,943,158,99,99
Palatine 9,871,219,132,132
Palatine 10,"1,003",292,187,187
Palatine 11,789,83,53,53
Palatine 12,811,180,140,140
Palatine 14,807,111,65,65
Palatine 15,846,137,89,89
Palatine 17,806,141,91,91
Palatine 18,598,107,76,76
Palatine 19,893,207,132,132
Palatine 20,687,58,36,36
Palatine 23,637,184,129,129
Palatine 25,691,137,93,93
Palatine 28,614,118,85,85
Palatine 29,"1,179",175,123,123
Palatine 30,665,117,72,72
Palatine 31,590,142,93,93
Palatine 32,859,176,118,118
Palatine 33,620,51,29,29
Palatine 34,"1,112",227,138,138
Palatine 35,773,144,101,101
Palatine 36,807,129,81,81
Palatine 37,"1,030",129,94,94
Palatine 38,784,199,139,139
Palatine 40,"1,228",230,155,155
Palatine 41,"1,116",207,133,133
Palatine 42,995,189,132,132
Palatine 43,733,125,80,80
Palatine 44,"1,125",248,165,165
Palatine 45,621,162,117,117
Palatine 46,937,192,141,141
Palatine 48,700,196,136,136
Palatine 49,682,136,93,93
Palatine 50,"1,255",225,167,167
Palatine 52,898,220,158,158
Palatine 54,"1,053",244,171,171
Palatine 55,662,118,79,79
Palatine 56,903,151,95,95
Palatine 57,"1,085",194,129,129
Palatine 63,910,145,89,89
Palatine 64,855,105,71,71
Palatine 65,728,138,83,83
Palatine 67,761,233,151,151
Palatine 68,744,152,108,108
Palatine 69,855,119,78,78
