County,Precinct,Michael Mason,Michael Mason Percent,Peter J. Roskam,Peter J. Roskam Percent,Total
Cook,7000001,138,28.87,340,71.13,478
Cook,7000002,159,36.98,271,63.02,430
Cook,7000003,109,18.76,472,81.24,581
Cook,7000005,90,15.52,490,84.48,580
Cook,7000006,192,32.16,405,67.84,597
Cook,7000007,39,21.67,141,78.33,180
Cook,7000008,117,17.97,534,82.03,651
Cook,7000009,122,30.89,273,69.11,395
Cook,7000012,130,35.14,240,64.86,370
Cook,7600009,157,34.97,292,65.03,449
Cook,7600026,165,37.25,278,62.75,443
Cook,7600031,99,27.50,261,72.50,360
Cook,7600042,152,40.21,226,59.79,378
Cook,7600044,97,32.01,206,67.99,303
Cook,7900012,67,19.76,272,80.24,339
Cook,7900027,35,14.64,204,85.36,239
Cook,8700001,131,40.18,195,59.82,326
Cook,8700002,185,31.41,404,68.59,589
Cook,8700003,83,19.12,351,80.88,434
Cook,8700006,178,37.47,297,62.53,475
Cook,8700007,194,39.11,302,60.89,496
Cook,8700008,192,39.02,300,60.98,492
Cook,8700009,128,25.96,365,74.04,493
Cook,8700010,124,20.23,489,79.77,613
Cook,8700011,116,35.26,213,64.74,329
Cook,8700012,105,23.54,341,76.46,446
Cook,8700014,169,41.63,237,58.37,406
Cook,8700015,160,39.02,250,60.98,410
Cook,8700017,191,42.07,263,57.93,454
Cook,8700018,131,40.31,194,59.69,325
Cook,8700019,153,29.42,367,70.58,520
Cook,8700020,169,59.09,117,40.91,286
Cook,8700023,80,20.89,303,79.11,383
Cook,8700025,143,36.11,253,63.89,396
Cook,8700028,124,37.69,205,62.31,329
Cook,8700029,186,36.26,327,63.74,513
Cook,8700030,161,44.72,199,55.28,360
Cook,8700031,112,29.55,267,70.45,379
Cook,8700032,151,31.07,335,68.93,486
Cook,8700033,107,47.98,116,52.02,223
Cook,8700034,202,33.11,408,66.89,610
Cook,8700035,163,37.13,276,62.87,439
Cook,8700036,126,34.24,242,65.76,368
Cook,8700037,195,39.71,296,60.29,491
Cook,8700038,118,24.95,355,75.05,473
Cook,8700040,232,33.97,451,66.03,683
Cook,8700041,180,29.85,423,70.15,603
Cook,8700042,222,39.36,342,60.64,564
Cook,8700043,162,39.61,247,60.39,409
Cook,8700044,126,18.56,553,81.44,679
Cook,8700045,108,25.17,321,74.83,429
Cook,8700046,211,38.72,334,61.28,545
Cook,8700048,115,26.50,319,73.50,434
Cook,8700049,89,25.00,267,75.00,356
Cook,8700050,220,32.07,466,67.93,686
Cook,8700052,138,27.01,373,72.99,511
Cook,8700054,215,34.18,414,65.82,629
Cook,8700055,95,27.70,248,72.30,343
Cook,8700056,142,32.05,301,67.95,443
Cook,8700057,251,41.69,351,58.31,602
Cook,8700063,172,39.91,259,60.09,431
Cook,8700064,159,41.41,225,58.59,384
Cook,8700065,120,32.52,249,67.48,369
Cook,8700067,80,16.29,411,83.71,491
Cook,8700068,125,30.56,284,69.44,409
Cook,8700069,143,38.44,229,61.56,372
DuPage,Bloomingdale 009,181,33.58,358,66.42,539
DuPage,Bloomingdale 018,161,37.44,269,62.56,430
DuPage,Bloomingdale 043,86,32.45,179,67.55,265
DuPage,Bloomingdale 045,39,12.58,271,87.42,310
DuPage,Bloomingdale 058,224,36.96,382,63.04,606
DuPage,Bloomingdale 068,186,36.33,326,63.67,512
DuPage,Downers Grove 002,148,37.37,248,62.63,396
DuPage,Downers Grove 003,121,38.29,195,61.71,316
DuPage,Downers Grove 006,94,27.09,253,72.91,347
DuPage,Downers Grove 007,111,22.89,374,77.11,485
DuPage,Downers Grove 008,213,38.59,339,61.41,552
DuPage,Downers Grove 009,148,43.27,194,56.73,342
DuPage,Downers Grove 010,185,44.79,228,55.21,413
DuPage,Downers Grove 011,138,31.08,306,68.92,444
DuPage,Downers Grove 012,150,42.02,207,57.98,357
DuPage,Downers Grove 014,156,36.71,269,63.29,425
DuPage,Downers Grove 015,119,39.27,184,60.73,303
DuPage,Downers Grove 016,64,20.38,250,79.62,314
DuPage,Downers Grove 017,170,37.95,278,62.05,448
DuPage,Downers Grove 018,170,40.87,246,59.13,416
DuPage,Downers Grove 019,102,43.22,134,56.78,236
DuPage,Downers Grove 020,198,39.60,302,60.40,500
DuPage,Downers Grove 021,149,35.65,269,64.35,418
DuPage,Downers Grove 026,173,39.68,263,60.32,436
