County,Precinct,PETER J. ROSKAM,PETER J. ROSKAM PERCENT,GORDON (JAY) KINZLER,GORDON (JAY) KINSLER PERCENT,Total
Cook,7000001,201,77.31%,59,22.69%,260
Cook,7000002,133,72.28%,51,27.72%,184
Cook,7000003,232,73.42%,84,26.58%,316
Cook,7000005,244,72.84%,91,27.16%,335
Cook,7000006,226,75.59%,73,24.41%,299
Cook,7000007,70,73.68%,25,26.32%,95
Cook,7000008,297,75.77%,95,24.23%,392
Cook,7000009,148,74.37%,51,25.63%,199
Cook,7000010,119,69.19%,53,30.81%,172
Cook,7600009,167,73.89%,59,26.11%,226
Cook,7600026,124,61.08%,79,38.92%,203
Cook,7600031,156,72.22%,60,27.78%,216
Cook,7600042,121,69.54%,53,30.46%,174
Cook,7600044,100,70.42%,42,29.58%,142
Cook,7900012,153,82.26%,33,17.74%,186
Cook,7900027,104,74.29%,36,25.71%,140
Cook,8700001,92,69.70%,40,30.30%,132
Cook,8700002,199,70.32%,84,29.68%,283
Cook,8700003,177,72.84%,66,27.16%,243
Cook,8700006,149,71.63%,59,28.37%,208
Cook,8700007,159,71.62%,63,28.38%,222
Cook,8700008,148,71.84%,58,28.16%,206
Cook,8700009,195,73.86%,69,26.14%,264
Cook,8700010,253,72.29%,97,27.71%,350
Cook,8700011,116,75.82%,37,24.18%,153
Cook,8700012,166,67.21%,81,32.79%,247
Cook,8700014,102,67.11%,50,32.89%,152
Cook,8700015,127,70.17%,54,29.83%,181
Cook,8700017,146,74.49%,50,25.51%,196
Cook,8700018,100,73.53%,36,26.47%,136
Cook,8700019,189,73.83%,67,26.17%,256
Cook,8700020,62,61.39%,39,38.61%,101
Cook,8700023,149,74.87%,50,25.13%,199
Cook,8700025,142,76.76%,43,23.24%,185
Cook,8700028,101,70.63%,42,29.37%,143
Cook,8700029,160,73.39%,58,26.61%,218
Cook,8700030,108,73.47%,39,26.53%,147
Cook,8700031,138,74.59%,47,25.41%,185
Cook,8700032,180,73.17%,66,26.83%,246
Cook,8700033,51,63.75%,29,36.25%,80
Cook,8700034,222,73.51%,80,26.49%,302
Cook,8700035,145,73.98%,51,26.02%,196
Cook,8700036,133,77.78%,38,22.22%,171
Cook,8700037,124,64.25%,69,35.75%,193
Cook,8700038,212,80.61%,51,19.39%,263
Cook,8700040,221,72.22%,85,27.78%,306
Cook,8700041,204,68.92%,92,31.08%,296
Cook,8700042,161,64.92%,87,35.08%,248
Cook,8700043,130,74.71%,44,25.29%,174
Cook,8700044,282,78.12%,79,21.88%,361
Cook,8700045,185,73.12%,68,26.88%,253
Cook,8700046,171,70.95%,70,29.05%,241
Cook,8700048,203,76.89%,61,23.11%,264
Cook,8700049,136,75.98%,43,24.02%,179
Cook,8700050,266,76.22%,83,23.78%,349
Cook,8700051,2,100.00%,0,0.00%,2
Cook,8700052,182,71.37%,73,28.63%,255
Cook,8700054,201,70.77%,83,29.23%,284
Cook,8700055,114,71.70%,45,28.30%,159
Cook,8700056,137,67.49%,66,32.51%,203
Cook,8700057,184,71.32%,74,28.68%,258
Cook,8700063,123,66.13%,63,33.87%,186
Cook,8700064,106,62.35%,64,37.65%,170
Cook,8700065,123,70.29%,52,29.71%,175
Cook,8700067,218,79.56%,56,20.44%,274
Cook,8700068,164,71.62%,65,28.38%,229
Cook,8700069,137,73.66%,49,26.34%,186
DuPage,Bloomingdale 009,73,72.28%,28,27.72%,101
DuPage,Bloomingdale 018,107,72.79%,40,27.21%,147
DuPage,Bloomingdale 043,85,61.15%,54,38.85%,139
DuPage,Bloomingdale 045,261,85.57%,44,14.43%,305
DuPage,Bloomingdale 058,137,69.54%,60,30.46%,197
DuPage,Bloomingdale 068,74,66.67%,37,33.33%,111
DuPage,Bloomingdale 077,100,66.67%,50,33.33%,150
DuPage,Bloomingdale 080,111,77.08%,33,22.92%,144
DuPage,Bloomingdale 089,101,71.63%,40,28.37%,141
DuPage,Downers Grove 002,140,70.00%,60,30.00%,200
DuPage,Downers Grove 003,130,67.01%,64,32.99%,194
DuPage,Downers Grove 006,140,67.96%,66,32.04%,206
DuPage,Downers Grove 007,232,78.38%,64,21.62%,296
DuPage,Downers Grove 008,123,58.29%,88,41.71%,211
DuPage,Downers Grove 009,85,62.50%,51,37.50%,136
DuPage,Downers Grove 010,82,60.29%,54,39.71%,136
DuPage,Downers Grove 011,155,67.98%,73,32.02%,228
DuPage,Downers Grove 012,101,61.96%,62,38.04%,163
DuPage,Downers Grove 014,115,60.53%,75,39.47%,190
DuPage,Downers Grove 015,74,61.67%,46,38.33%,120
DuPage,Downers Grove 016,147,76.17%,46,23.83%,193
DuPage,Downers Grove 017,125,67.93%,59,32.07%,184
DuPage,Downers Grove 018,114,63.69%,65,36.31%,179
DuPage,Downers Grove 019,54,59.34%,37,40.66%,91
DuPage,Downers Grove 020,119,54.59%,99,45.41%,218
DuPage,Downers Grove 021,149,68.35%,69,31.65%,218
DuPage,Downers Grove 026,121,63.35%,70,36.65%,191
