County,Precinct,Leslie Coolidge,Peter J. Roskam
cook,8700040,381,538
cook,8700068,212,355
cook,8700034,315,497
cook,8700044,235,642
cook,8700054,342,461
cook,8700020,332,156
cook,8700028,175,259
cook,8700008,325,371
cook,8700009,238,429
cook,8700042,351,410
cook,8700025,226,301
cook,7600031,176,342
cook,8700029,393,442
cook,8700002,311,488
cook,8700003,148,429
cook,8700001,199,237
cook,8700006,304,374
cook,8700007,295,365
cook,8700048,178,362
cook,8700049,176,352
cook,8700041,351,520
cook,8700069,277,315
cook,8700064,291,286
cook,8700065,251,317
cook,7900027,47,244
cook,8700067,139,469
cook,8700045,197,341
cook,8700063,291,323
cook,7000008,267,695
cook,7000009,192,325
cook,7000001,248,398
cook,7000002,277,298
cook,7000003,200,575
cook,7000005,191,571
cook,7000006,315,483
cook,7000007,74,172
cook,7600042,267,331
cook,7600044,172,261
cook,8700033,223,150
cook,8700032,263,382
cook,7600026,393,401
cook,8700030,232,223
cook,8700019,245,452
cook,8700018,225,215
cook,8700035,250,342
cook,7600009,271,375
cook,8700015,273,321
cook,8700014,299,286
cook,8700017,310,317
cook,8700038,197,416
cook,8700011,258,274
cook,8700010,175,611
cook,8700012,195,410
cook,8700046,327,381
cook,7900012,109,318
cook,8700043,231,289
cook,8700050,382,556
cook,8700052,215,446
cook,8700055,178,312
cook,8700031,166,307
cook,8700057,398,431
cook,8700056,310,361
cook,8700023,120,350
cook,8700037,370,346
cook,8700036,253,310
kane,SC0016,236,589
kane,EL0036,336,305
kane,GE0001,103,115
kane,DU0028,397,692
kane,EL0016,270,377
kane,SC0030,224,513
kane,EL0058,558,634
kane,EL0015,258,233
kane,EL0010,191,265
kane,EL0053,517,621
kane,EL0038,198,289
kane,EL0039,157,229
kane,EL0050,138,152
kane,EL0056,347,335
kane,EL0057,15,10
kane,EL0054,306,313
kane,EL0055,352,425
kane,DU0034,332,332
kane,DU0035,533,402
kane,DU0032,464,453
kane,DU0033,426,440
kane,DU0016,339,300
kane,DU0031,185,265
kane,DU0018,357,596
kane,SC0017,219,228
kane,SC0029,344,470
kane,SC0033,190,424
kane,SC0001,154,354
kane,RU0005,473,555
kane,RU0007,195,258
kane,RU0006,187,315
kane,RU0001,373,572
kane,EL0047,421,624
kane,SC0012,246,401
kane,SC0011,267,320
kane,SC0032,112,470
kane,SC0007,192,526
kane,EL0051,216,376
kane,EL0048,324,367
kane,EL0007,196,351
kane,SC0008,311,558
kane,SC0027,253,600
kane,SC0024,372,912
kane,DU0030,292,430
kane,SC0028,239,471
kane,EL0024,437,730
kane,EL0008,293,220
kane,EL0021,190,175
kane,SC0003,315,482
kane,DU0025,155,304
kane,DU0024,264,279
kane,DU0027,236,224
kane,DU0026,193,232
kane,DU0020,263,484
kane,DU0023,175,215
kane,DU0022,167,353
kane,DU0004,224,387
kane,DU0029,193,335
kane,DU0002,195,198
kane,DU0001,339,354
kane,SC0031,226,668
kane,EL0059,670,838
kane,SC0022,243,503
kane,SC0026,247,616
kane,SC0002,216,457
lake,Ela 86,281,489
lake,Ela 87,393,397
lake,Ela 84,193,270
lake,Ela 85,189,328
lake,Ela 82,303,498
lake,Ela 83,366,418
lake,Ela 80,276,463
lake,Ela 81,288,537
lake,Ela 104,244,569
lake,Ela 88,150,482
lake,Ela 89,230,474
lake,Ela 105,274,570
lake,Ela 102,272,666
lake,Ela 103,325,409
lake,Ela 79,265,462
lake,Ela 78,177,407
lake,Ela 100,250,652
lake,Ela 101,317,543
lake,Cuba 64,139,325
lake,Cuba 65,213,518
lake,Cuba 66,270,419
lake,Cuba 67,182,331
lake,Cuba 68,242,413
lake,Cuba 69,313,515
lake,Ela 95,333,421
lake,Ela 94,305,371
lake,Ela 97,306,353
lake,Ela 96,306,461
lake,Ela 91,256,352
lake,Ela 90,270,407
lake,Ela 93,298,344
lake,Ela 92,300,324
lake,Ela 99,304,715
lake,Ela 98,238,388
lake,Cuba 73,271,466
lake,Cuba 72,220,370
lake,Cuba 71,207,453
lake,Cuba 70,151,412
lake,Cuba 77,239,610
lake,Cuba 76,334,376
lake,Cuba 75,160,404
lake,Cuba 74,222,512
dupage,Naperville 019,234,324
dupage,Lisle 091,251,296
dupage,Milton 095,185,502
dupage,Lisle 095,141,321
dupage,Lisle 092,129,129
dupage,Milton 089,284,319
