Precinct,Registered Voters,Leslie Coolidge,Peter J. Roskam
Wayne 001,750,148,418,
Wayne 002,449,98,215,
Wayne 003,1222,294,538,
Wayne 004,1096,334,373,
Wayne 005,1145,335,436,
Wayne 006,1145,319,459,
Wayne 007,980,297,342,
Wayne 008,910,210,449,
Wayne 009,1050,239,493,
Wayne 010,940,205,467,
Wayne 011,880,214,426,
Wayne 012,828,258,275,
Wayne 013,1233,374,488,
Wayne 015,986,358,276,
Wayne 017,1378,387,580,
Wayne 019,900,276,259,
Wayne 020,771,251,278,
Wayne 021,1112,330,425,
Wayne 022,678,153,337,
Wayne 023,794,216,341,
Wayne 025,892,250,315,
Wayne 026,572,155,234,
Wayne 028,917,268,307,
Wayne 030,1031,315,383,
Wayne 032,632,152,289,
Wayne 033,622,197,267,
Wayne 035,948,262,421,
Wayne 036,941,267,382,
Wayne 037,1067,247,522,
Wayne 039,742,213,312,
Wayne 040,999,309,439,
Wayne 042,1140,363,372,
Bloomingdale 009,1011,294,382,
Bloomingdale 018,897,272,343,
Bloomingdale 043,584,166,212,
Bloomingdale 045,509,71,323,
Bloomingdale 058,1248,370,473,
Bloomingdale 068,1238,367,437,
Winfield 001,780,240,217,
Winfield 002,775,229,333,
Winfield 004,744,214,373,
Winfield 005,642,197,230,
Winfield 006,615,140,298,
Winfield 007,775,162,427,
Winfield 008,513,141,197,
Winfield 009,770,283,110,
Winfield 012,867,274,313,
Winfield 013,551,194,131,
Winfield 014,807,248,373,
Winfield 015,655,200,239,
Winfield 017,590,182,214,
Winfield 018,573,145,289,
Winfield 019,640,148,360,
Winfield 020,802,200,357,
Winfield 021,867,242,403,
Winfield 022,793,193,386,
Winfield 023,743,203,263,
Winfield 030,883,225,451,
Winfield 037,612,189,197,
Milton 001,455,149,212,
Milton 002,681,224,317,
Milton 003,848,205,463,
Milton 004,506,121,281,
Milton 005,598,190,274,
Milton 006,564,196,242,
Milton 007,459,123,229,
Milton 008,816,203,432,
Milton 009,461,121,228,
Milton 010,614,202,281,
Milton 011,545,177,239,
Milton 012,471,155,225,
Milton 013,686,222,311,
Milton 014,605,166,325,
Milton 015,733,235,352,
Milton 016,625,175,313,
Milton 017,891,233,456,
Milton 018,872,201,466,
Milton 019,870,210,449,
Milton 020,624,183,302,
Milton 021,580,212,222,
Milton 022,507,132,212,
Milton 023,745,183,352,
Milton 024,510,153,186,
Milton 025,812,158,485,
Milton 026,1190,427,392,
Milton 027,582,200,259,
Milton 028,633,116,349,
Milton 029,512,155,200,
Milton 030,857,218,354,
Milton 031,990,262,356,
Milton 032,801,206,402,
Milton 033,573,170,255,
Milton 034,584,184,253,
Milton 035,540,159,248,
Milton 036,659,226,260,
Milton 037,574,115,320,
Milton 038,893,313,300,
Milton 039,846,198,484,
Milton 040,678,195,284,
Milton 041,578,209,209,
Milton 042,535,186,200,
Milton 043,712,192,364,
Milton 044,620,204,246,
Milton 045,600,191,292,
Milton 046,681,207,313,
Milton 047,662,237,251,
Milton 048,579,187,239,
Milton 049,542,132,287,
Milton 050,677,244,263,
Milton 051,1189,163,428,
Milton 052,587,179,271,
Milton 054,811,194,432,
Milton 055,853,217,402,
Milton 056,539,184,214,
Milton 057,938,204,534,
Milton 058,850,257,405,
Milton 059,456,127,233,
Milton 060,899,267,373,
Milton 061,975,196,535,
Milton 062,718,246,299,
Milton 063,823,248,366,
Milton 064,748,274,285,
Milton 065,538,135,292,
Milton 066,831,256,304,
Milton 067,621,189,302,
Milton 068,650,219,286,
Milton 069,518,184,233,
Milton 071,521,128,320,
Milton 073,1037,285,480,
Milton 074,632,146,337,
Milton 075,571,152,327,
Milton 076,698,240,273,
Milton 077,594,120,304,
Milton 078,572,211,192,
Milton 079,820,208,399,
Milton 080,825,253,239,
Milton 081,817,251,318,
Milton 082,580,171,293,
Milton 083,632,182,298,
Milton 084,759,204,380,
Milton 085,480,159,176,
Milton 086,406,129,189,
Milton 087,916,198,500,
Milton 088,827,265,323,
Milton 089,833,284,319,
Milton 090,916,209,488,
Milton 091,363,87,201,
Milton 092,470,136,239,
Milton 093,703,219,254,
Milton 094,556,161,225,
Milton 095,879,185,502,
Milton 096,513,170,229,
Milton 097,808,250,333,
Milton 098,650,155,289,
Milton 099,757,228,350,
Milton 100,1055,244,534,
Milton 102,1074,227,609,
Milton 104,598,186,217,
Milton 105,369,117,183,
Milton 106,976,185,555,
Milton 107,595,144,336,
Milton 108,736,217,338,
Milton 109,568,112,338,
York 003,544,116,261,
York 009,680,213,220,
York 018,1020,313,401,
York 021,341,110,151,
York 026,847,298,337,
York 030,546,94,288,
York 042,520,178,206,
York 043,451,132,180,
York 056,864,276,321,
York 062,1260,413,423,
York 064,244,73,106,
York 074,1032,384,375,
York 075,946,342,387,
York 077,649,204,274,
York 086,964,343,340,
York 093,753,253,283,
York 095,433,160,172,
York 097,832,225,399,
York 100,665,220,281,
York 101,480,144,212,
York 105,762,117,362,
York 106,568,80,341,
York 109,924,237,484,
York 111,1133,354,375,
York 114,760,246,320,
York 119,795,159,322,
York 121,820,276,334,
York 122,690,133,292,
York 128,1047,324,444,
York 130,494,128,239,
Naperville 005,737,240,303,
Naperville 007,687,233,250,
Naperville 010,901,237,441,
Naperville 015,666,238,195,
