Precinct,Registered Voters,Leslie Coolidge,Geoffrey Petzel,Maureen E. Yates,
Wayne 1,704,15,5,6,
Wayne 2,425,3,3,1,
Wayne 3,1182,16,9,14,
Wayne 4,1041,22,9,22,
Wayne 5,1080,23,7,20,
Wayne 6,1076,35,10,27,
Wayne 7,919,19,15,26,
Wayne 8,869,20,7,11,
Wayne 9,1012,17,3,13,
Wayne 10,888,8,6,13,
Wayne 11,851,15,7,17,
Wayne 12,801,11,7,15,
Wayne 13,1154,27,4,24,
Wayne 15,944,20,8,20,
Wayne 17,1343,30,7,23,
Wayne 19,861,14,5,17,
Wayne 20,739,21,5,12,
Wayne 21,1038,29,13,17,
Wayne 22,635,15,3,11,
Wayne 23,752,26,4,8,
Wayne 25,848,30,8,17,
Wayne 26,547,11,4,3,
Wayne 28,875,21,7,17,
Wayne 30,965,20,10,10,
Wayne 32,591,6,4,10,
Wayne 33,604,7,4,13,
Wayne 35,913,6,3,10,
Wayne 36,884,12,8,15,
Wayne 37,1026,19,8,21,
Wayne 39,689,17,7,13,
Wayne 40,935,20,6,11,
Wayne 42,1080,26,12,12,
Bloomingdale 9,954,31,6,18,
Bloomingdale 18,859,22,8,12,
Bloomingdale 43,571,10,2,16,
Bloomingdale 45,489,11,2,6,
Bloomingdale 58,1180,31,15,14,
Bloomingdale 68,1148,24,26,15,
Winfield 1,735,29,5,16,
Winfield 2,751,23,1,19,
Winfield 4,719,41,10,25,
Winfield 5,609,16,8,7,
Winfield 6,591,14,3,12,
Winfield 7,751,23,1,12,
Winfield 8,486,7,7,15,
Winfield 9,740,19,6,11,
Winfield 12,828,25,5,19,
Winfield 13,512,20,6,13,
Winfield 14,766,38,7,24,
Winfield 15,595,15,5,8,
Winfield 17,578,17,1,15,
Winfield 18,538,33,5,17,
Winfield 19,618,15,5,12,
Winfield 20,763,10,3,16,
Winfield 21,807,40,6,40,
Winfield 22,752,29,8,16,
Winfield 23,727,12,7,16,
Winfield 30,857,21,9,18,
Winfield 37,593,19,7,14,
Milton 1,431,23,4,4,
Milton 2,637,14,3,13,
Milton 3,797,19,4,9,
Milton 4,479,11,2,6,
Milton 5,558,24,9,8,
Milton 6,524,20,4,6,
Milton 7,416,9,3,4,
Milton 8,771,29,3,11,
Milton 9,433,10,2,8,
Milton 10,590,21,2,9,
Milton 11,529,26,2,6,
Milton 12,446,16,3,3,
Milton 13,647,21,5,6,
Milton 14,568,26,2,5,
Milton 15,690,19,1,4,
Milton 16,595,11,3,12,
Milton 17,851,16,2,3,
Milton 18,834,25,2,22,
Milton 19,810,20,1,3,
Milton 20,594,19,0,8,
Milton 21,563,21,4,8,
Milton 22,480,15,1,5,
Milton 23,700,6,2,8,
Milton 24,481,19,1,9,
Milton 25,784,14,1,6,
Milton 26,1066,28,9,25,
Milton 27,560,20,4,13,
Milton 28,609,14,0,5,
Milton 29,485,17,8,7,
Milton 30,814,19,4,12,
Milton 31,946,12,4,7,
Milton 32,774,37,9,28,
Milton 33,543,12,4,3,
Milton 34,561,24,7,15,
Milton 35,497,13,3,4,
