Precinct,Registered Voters,Times Counted,Total Votes,Times Over Voted,Number of Under Votes,Peter J. Roskam Number,Peter J. Roskam Percent
ALGONQUIN 1,550,82,61,0,21,61,100.00%
ALGONQUIN 2,803,164,126,0,38,126,100.00%
ALGONQUIN 3,684,121,96,0,25,96,100.00%
ALGONQUIN 4,929,172,124,0,48,124,100.00%
ALGONQUIN 5,914,180,144,0,36,144,100.00%
ALGONQUIN 6,710,136,113,0,23,113,100.00%
ALGONQUIN 7,452,136,97,0,39,97,100.00%
ALGONQUIN 8,869,128,100,0,28,100,100.00%
ALGONQUIN 9,736,163,131,0,32,131,100.00%
ALGONQUIN 10,788,149,112,0,37,112,100.00%
ALGONQUIN 11,1069,153,112,0,41,112,100.00%
ALGONQUIN 12,850,163,129,0,34,129,100.00%
ALGONQUIN 13,763,111,86,0,25,86,100.00%
ALGONQUIN 14,799,146,114,0,32,114,100.00%
ALGONQUIN 15,726,87,70,0,17,70,100.00%
ALGONQUIN 16,791,226,176,0,50,176,100.00%
ALGONQUIN 17,1187,258,213,0,45,213,100.00%
ALGONQUIN 18,563,102,81,0,21,81,100.00%
ALGONQUIN 19,648,111,75,0,36,75,100.00%
ALGONQUIN 20,416,74,57,0,17,57,100.00%
ALGONQUIN 21,858,105,87,0,18,87,100.00%
ALGONQUIN 22,555,101,69,0,32,69,100.00%
ALGONQUIN 23,848,208,168,0,40,168,100.00%
ALGONQUIN 24,847,119,91,0,28,91,100.00%
ALGONQUIN 25,536,93,78,0,15,78,100.00%
ALGONQUIN 26,637,106,88,0,18,88,100.00%
ALGONQUIN 27,812,125,106,0,19,106,100.00%
ALGONQUIN 28,914,153,124,0,29,124,100.00%
ALGONQUIN 29,527,90,74,0,16,74,100.00%
ALGONQUIN 30,970,209,165,0,44,165,100.00%
ALGONQUIN 31,1034,176,149,0,27,149,100.00%
ALGONQUIN 32,733,120,94,0,26,94,100.00%
ALGONQUIN 33,1042,199,147,0,52,147,100.00%
ALGONQUIN 34,785,99,74,0,25,74,100.00%
ALGONQUIN 35,1113,138,115,0,23,115,100.00%
ALGONQUIN 36,655,178,138,0,40,138,100.00%
ALGONQUIN 37,305,36,33,0,3,33,100.00%
ALGONQUIN 38,831,155,117,0,38,117,100.00%
ALGONQUIN 39,810,84,71,0,13,71,100.00%
ALGONQUIN 40,668,84,73,0,11,73,100.00%
ALGONQUIN 41,1166,191,136,0,55,136,100.00%
ALGONQUIN 42,1054,133,114,0,19,114,100.00%
ALGONQUIN 43,1058,175,150,0,25,150,100.00%
ALGONQUIN 44,732,102,88,0,14,88,100.00%
ALGONQUIN 45,865,230,189,0,41,189,100.00%
ALGONQUIN 46,1057,238,191,0,47,191,100.00%
ALGONQUIN 47,1151,197,166,0,31,166,100.00%
ALGONQUIN 48,1130,231,181,0,50,181,100.00%
ALGONQUIN 49,747,136,112,0,24,112,100.00%
ALGONQUIN 50,825,158,128,0,30,128,100.00%
ALGONQUIN 51,1079,204,160,0,44,160,100.00%
ALGONQUIN 52,974,109,92,0,17,92,100.00%
ALGONQUIN 53,651,58,46,0,12,46,100.00%
ALGONQUIN 54,887,140,112,0,28,112,100.00%
ALGONQUIN 55,1069,192,163,0,29,163,100.00%
ALGONQUIN 56,629,98,84,0,14,84,100.00%
ALGONQUIN 57,1168,128,105,0,23,105,100.00%
ALGONQUIN 58,863,170,147,0,23,147,100.00%
ALGONQUIN 59,1239,96,82,0,14,82,100.00%
ALGONQUIN 60,415,64,39,0,25,39,100.00%
ALGONQUIN 61,637,99,80,0,19,80,100.00%
ALGONQUIN 62,996,188,158,0,30,158,100.00%
ALGONQUIN 63,1144,147,118,0,29,118,100.00%
ALGONQUIN 64,597,90,77,0,13,77,100.00%
ALGONQUIN 65,1130,257,213,0,44,213,100.00%
ALGONQUIN 66,684,104,78,0,26,78,100.00%
ALGONQUIN 67,848,177,144,0,33,144,100.00%
ALGONQUIN 68,1172,192,157,0,35,157,100.00%
