Precinct,Michael Mason,Total
Cuba 64,5,5
Cuba 65,7,7
Cuba 66,10,10
Cuba 67,8,8
Cuba 68,15,15
Cuba 69,26,26
Cuba 70,8,8
Cuba 71,12,12
Cuba 72,12,12
Cuba 73,16,16
Cuba 74,9,9
Cuba 75,5,5
Cuba 76,18,18
Cuba 77,17,17
Ela 100,5,5
Ela 101,53,53
Ela 102,10,10
Ela 103,9,9
Ela 104,12,12
Ela 105,11,11
Ela 78,9,9
Ela 79,12,12
Ela 80,16,16
Ela 81,51,51
Ela 82,15,15
Ela 83,19,19
Ela 84,6,6
Ela 85,7,7
Ela 86,13,13
Ela 87,12,12
Ela 88,5,5
Ela 89,12,12
Ela 90,11,11
Ela 91,12,12
Ela 92,13,13
Ela 93,11,11
Ela 94,11,11
Ela 95,13,13
Ela 96,11,11
Ela 97,6,6
Ela 98,4,4
Ela 99,17,17
