Precinct,Registered Voters,Times Counted,Total Votes,Times Over Voted,Number of Under Votes,Michael Mason Number,Michael Mason Percent
ALGONQUIN 1,539,14,7,0,7,7,100.00
ALGONQUIN 2,797,14,13,0,1,13,100.00
ALGONQUIN 3,689,11,8,0,3,8,100.00
ALGONQUIN 4,951,16,13,0,3,13,100.00
ALGONQUIN 5,992,9,9,0,0,9,100.00
ALGONQUIN 6,713,10,10,0,0,10,100.00
ALGONQUIN 7,482,8,8,0,0,8,100.00
ALGONQUIN 8,880,10,7,0,3,7,100.00
ALGONQUIN 9,743,11,9,0,2,9,100.00
ALGONQUIN 10,810,13,13,0,0,13,100.00
ALGONQUIN 11,1100,19,18,0,1,18,100.00
ALGONQUIN 12,862,14,11,0,3,11,100.00
ALGONQUIN 13,799,8,7,0,1,7,100.00
ALGONQUIN 14,829,12,11,0,1,11,100.00
ALGONQUIN 15,736,7,7,0,0,7,100.00
ALGONQUIN 16,808,10,9,0,1,9,100.00
ALGONQUIN 17,1181,7,4,0,3,4,100.00
ALGONQUIN 18,562,10,5,0,5,5,100.00
ALGONQUIN 19,632,9,8,0,1,8,100.00
ALGONQUIN 20,432,2,1,0,1,1,100.00
ALGONQUIN 21,867,10,10,0,0,10,100.00
ALGONQUIN 22,568,8,5,0,3,5,100.00
ALGONQUIN 23,873,12,11,0,1,11,100.00
ALGONQUIN 24,857,11,9,0,2,9,100.00
ALGONQUIN 25,522,13,11,0,2,11,100.00
ALGONQUIN 26,661,6,6,0,0,6,100.00
ALGONQUIN 27,791,9,8,0,1,8,100.00
ALGONQUIN 28,943,12,11,0,1,11,100.00
ALGONQUIN 29,511,12,12,0,0,12,100.00
ALGONQUIN 30,946,21,19,0,2,19,100.00
ALGONQUIN 31,1108,13,10,0,3,10,100.00
ALGONQUIN 32,739,16,14,0,2,14,100.00
ALGONQUIN 33,1042,20,17,0,3,17,100.00
ALGONQUIN 34,789,11,8,0,3,8,100.00
ALGONQUIN 35,1120,20,18,0,2,18,100.00
ALGONQUIN 36,687,7,7,0,0,7,100.00
ALGONQUIN 37,314,3,2,0,1,2,100.00
ALGONQUIN 38,831,17,10,0,7,10,100.00
ALGONQUIN 39,863,15,13,0,2,13,100.00
ALGONQUIN 40,670,13,10,0,3,10,100.00
ALGONQUIN 41,1204,26,16,0,10,16,100.00
ALGONQUIN 42,1103,22,19,0,3,19,100.00
ALGONQUIN 43,1064,17,14,0,3,14,100.00
ALGONQUIN 44,753,15,13,0,2,13,100.00
ALGONQUIN 45,892,6,5,0,1,5,100.00
ALGONQUIN 46,1071,19,16,0,3,16,100.00
ALGONQUIN 47,1181,17,16,0,1,16,100.00
ALGONQUIN 48,1154,14,13,0,1,13,100.00
ALGONQUIN 49,764,6,4,0,2,4,100.00
ALGONQUIN 50,857,6,6,0,0,6,100.00
ALGONQUIN 51,1100,25,20,0,5,20,100.00
ALGONQUIN 52,1007,12,10,0,2,10,100.00
ALGONQUIN 53,656,6,6,0,0,6,100.00
ALGONQUIN 54,933,16,13,0,3,13,100.00
ALGONQUIN 55,1110,14,11,0,3,11,100.00
ALGONQUIN 56,655,11,10,0,1,10,100.00
ALGONQUIN 57,1227,7,7,0,0,7,100.00
ALGONQUIN 58,951,10,8,0,2,8,100.00
ALGONQUIN 59,1223,13,12,0,1,12,100.00
ALGONQUIN 60,436,6,5,0,1,5,100.00
ALGONQUIN 61,641,5,3,0,2,3,100.00
ALGONQUIN 62,988,15,13,0,2,13,100.00
ALGONQUIN 63,1172,24,21,0,3,21,100.00
ALGONQUIN 64,621,7,3,0,4,3,100.00
ALGONQUIN 65,1202,4,2,0,2,2,100.00
ALGONQUIN 66,705,10,10,0,0,10,100.00
ALGONQUIN 67,897,8,7,0,1,7,100.00
ALGONQUIN 68,1289,14,11,0,3,11,100.00
