Precinct,Registered Voters,Ballots Cast,Peter J. Roskam,Total Votes
Barrington 1,905,158,139,139
Barrington 2,932,105,90,90
Barrington 3,"1,151",162,147,147
Barrington 5,"1,075",190,160,160
Barrington 6,"1,183",164,136,136
Barrington 7,360,44,38,38
Barrington 8,"1,602",172,151,151
Barrington 9,713,119,111,111
Barrington 10,"1,423",77,67,67
Hanover 9,"1,017",127,108,108
Hanover 26,"1,604",144,122,122
Hanover 31,812,99,81,81
Hanover 42,"1,089",106,92,92
Hanover 44,"1,321",97,80,80
Lyons 12,609,102,85,85
Lyons 27,867,62,54,54
Palatine 1,773,78,68,68
Palatine 2,"1,166",163,147,147
Palatine 3,794,129,107,107
Palatine 6,"1,133",108,91,91
Palatine 7,"1,012",112,86,86
Palatine 8,"1,105",106,95,95
Palatine 9,895,127,111,111
Palatine 10,"1,153",162,137,137
Palatine 11,936,65,58,58
Palatine 12,883,135,123,123
Palatine 14,934,103,90,90
Palatine 15,"1,099",84,78,78
Palatine 17,934,98,83,83
Palatine 18,702,69,63,63
Palatine 19,980,143,126,126
Palatine 20,"1,021",53,48,48
Palatine 23,657,119,100,100
Palatine 25,737,105,88,88
Palatine 28,694,75,56,56
Palatine 29,"1,310",125,106,106
Palatine 30,772,83,74,74
Palatine 31,651,111,102,102
Palatine 32,903,125,99,99
Palatine 33,750,49,39,39
Palatine 34,"1,192",153,135,135
Palatine 35,827,103,93,93
Palatine 36,920,81,64,64
Palatine 37,"1,148",124,110,110
Palatine 38,877,144,123,123
Palatine 40,"1,393",170,142,142
Palatine 41,"1,286",136,116,116
Palatine 42,"1,169",151,130,130
Palatine 43,817,89,77,77
Palatine 44,"1,206",223,190,190
Palatine 45,761,124,107,107
Palatine 46,"1,086",131,114,114
Palatine 48,715,149,128,128
Palatine 49,698,89,83,83
Palatine 50,"1,376",181,160,160
Palatine 51,636,2,2,2
Palatine 52,948,154,135,135
Palatine 54,"1,131",172,143,143
Palatine 55,700,84,75,75
Palatine 56,"1,147",109,98,98
Palatine 57,"1,314",142,122,122
Palatine 63,"1,011",99,82,82
Palatine 64,"1,095",83,76,76
Palatine 65,803,94,86,86
Palatine 67,815,168,147,147
Palatine 68,847,107,95,95
Palatine 69,"1,035",93,82,82
