Precinct,2016GPP,2016GCP,2016GPV,2018PCT,2018PCP,Office,Weighted Score
8700020,65.40284360189574,65.07,414,11.655239960822723,71.25748502994011,Barrington,4460.26181259754
Downers Grove 113,67.20257234726688,67.00,209,7.333333333333333,73.33333333333333,Downers Grove,4367.051446945337
Downers Grove 118,67.54221388367729,63.06,360,10.06711409395973,66.17647058823529,Downers Grove,4305.640803532211
Lisle 114,63.525835866261396,57.67,209,8.923884514435695,82.92682926829268,Downers Grove,4300.377187205517
DU0035,58.68055555555556,57.79,676,7.0764462809917354,62.84403669724771,West Chicago,4269.368291337057
Lisle 112,62.270450751252085,55.93,373,15.890850722311397,74.43609022556392,Downers Grove,4241.621670258632
Lisle 111,61.294964028776974,57.84,426,11.225658648339062,69.01408450704226,Downers Grove,4200.206629364724
EL0058,51.48148148148148,46.50,973,7.385159010600708,59.20679886685553,Elgin,4124.150765977341
Downers Grove 105,63.98026315789473,54.47,389,17.400644468313644,65.58704453441295,Downers Grove,4087.1467983144676
EL0059,50.27233115468409,44.94,923,15.971107544141253,61.514683153013905,Elgin,4073.511393698101
DU0032,55.767562879444924,52.06,643,7.083333333333333,63.25581395348837,Elgin,4071.750869992
Milton 120,63.27160493827161,51.76,205,12.896405919661733,76.25,West Chicago,4043.528504685094
Downers Grove 130,62.174940898345156,60.00,263,11.600000000000001,64.92537313432835,Downers Grove,4016.60628065347
EL0008,60.548885077186966,60.87,353,13.111111111111112,60.51282051282051,West Chicago,4004.7452229112605
EL0057,53.83647798742138,57.69,428,11.320754716981133,66.66666666666666,Elgin,4003.1836477987417
York 111,61.72638436482085,53.09,379,12.97071129707113,65.60846560846561,Downers Grove,4000.4677107628004
8700033,57.38758029978587,57.27,268,11.733333333333333,69.29133858267717,Barrington,3958.711710982594
RU0005,50.56775170325511,46.37,668,8.973723351512147,66.30036630036629,Elgin,3941.7360834239403
8700064,58.20029027576198,53.63,401,12.420091324200913,64.15094339622641,Barrington,3933.0447647639685
York 118,65.5844155844156,55.08,202,14.90125673249551,64.84375,Downers Grove,3927.064568420807
