Precinct,Registered Voters,Ballots Cast,Leslie Coolidge,Peter J. Roskam,Total Votes
Barrington 1,845,675,248,398,646
Barrington 2,813,608,277,298,575
Barrington 3,"1,057",820,200,575,775
Barrington 5,994,790,191,571,762
Barrington 6,"1,075",842,315,483,798
Barrington 7,338,259,74,172,246
Barrington 8,"1,358","1,012",267,695,962
Barrington 9,697,539,192,325,517
Hanover 9,927,678,271,375,646
Hanover 26,"1,333",847,393,401,794
Hanover 31,749,542,176,342,518
Hanover 42,903,639,267,331,598
Hanover 44,"1,214",850,172,261,433
Lyons 12,624,458,109,318,427
Lyons 27,813,622,47,244,291
Palatine 1,661,476,199,237,436
Palatine 2,"1,074",829,311,488,799
Palatine 3,796,596,148,429,577
Palatine 6,961,713,304,374,678
Palatine 7,950,688,295,365,660
Palatine 8,974,742,325,371,696
Palatine 9,886,706,238,429,667
Palatine 10,"1,055",824,175,611,786
Palatine 11,760,558,258,274,532
Palatine 12,839,628,195,410,605
Palatine 14,821,624,299,286,585
Palatine 15,866,628,273,321,594
Palatine 17,827,669,310,317,627
Palatine 18,619,459,225,215,440
Palatine 19,898,721,245,452,697
Palatine 20,773,515,332,156,488
Palatine 23,642,495,120,350,470
Palatine 25,729,550,226,301,527
Palatine 28,601,452,175,259,434
Palatine 29,"1,212",877,393,442,835
Palatine 30,682,485,232,223,455
Palatine 31,596,491,166,307,473
Palatine 32,892,665,263,382,645
Palatine 33,613,406,223,150,373
Palatine 34,"1,105",848,315,497,812
Palatine 35,784,622,250,342,592
Palatine 36,834,597,253,310,563
Palatine 37,"1,063",756,370,346,716
Palatine 38,803,641,197,416,613
Palatine 40,"1,264",949,381,538,919
Palatine 41,"1,150",908,351,520,871
Palatine 42,"1,035",785,351,410,761
Palatine 43,737,542,231,289,520
Palatine 44,"1,162",904,235,642,877
Palatine 45,713,561,197,341,538
Palatine 46,973,738,327,381,708
Palatine 48,717,559,178,362,540
Palatine 49,684,544,176,352,528
Palatine 50,"1,305",996,382,556,938
Palatine 52,902,707,215,446,661
Palatine 54,"1,088",842,342,461,803
Palatine 55,684,511,178,312,490
Palatine 56,945,708,310,361,671
Palatine 57,"1,133",866,398,431,829
Palatine 63,916,651,291,323,614
Palatine 64,879,621,291,286,577
Palatine 65,757,592,251,317,568
Palatine 67,785,629,139,469,608
Palatine 68,779,595,212,355,567
Palatine 69,873,609,277,315,592
