Precinct,Leslie Cooldige,Peter J. Roskam,Total
Cuba 64,139,325,464
Cuba 65,213,518,731
Cuba 66,270,419,689
Cuba 67,182,331,513
Cuba 68,242,413,655
Cuba 69,313,515,828
Cuba 70,151,412,563
Cuba 71,207,453,660
Cuba 72,220,370,590
Cuba 73,271,466,737
Cuba 74,222,512,734
Cuba 75,160,404,564
Cuba 76,334,376,710
Cuba 77,239,610,849
Ela 78,177,407,584
Ela 79,265,462,727
Ela 80,276,463,739
Ela 81,288,537,825
Ela 82,303,498,801
Ela 83,366,418,784
Ela 84,193,270,463
Ela 85,189,328,517
Ela 86,281,489,770
Ela 87,393,397,790
Ela 88,150,482,632
Ela 89,230,474,704
Ela 90,270,407,677
Ela 91,256,352,608
Ela 92,300,324,624
Ela 93,298,344,642
Ela 94,305,371,676
Ela 95,333,421,754
Ela 96,306,461,767
Ela 97,306,353,659
Ela 98,238,388,626
Ela 99,304,715,"1,019"
Ela 100,250,652,902
Ela 101,317,543,860
Ela 102,272,666,938
Ela 103,325,409,734
Ela 104,244,569,813
Ela 105,274,570,844
