County,Precinct,Leslie Coolidge,Geoffrey Petzel,Maureen E. Yates,Peter J. Roskam
cook,8700040,41,6,10,155
cook,8700068,21,3,14,108
cook,8700034,35,8,15,138
cook,8700044,13,4,7,165
cook,8700054,49,12,13,171
cook,8700020,20,4,6,36
cook,8700028,22,6,9,85
cook,8700008,28,10,14,99
cook,8700009,27,2,14,132
cook,8700042,45,11,19,132
cook,8700025,26,5,12,93
cook,7600031,27,6,8,91
cook,8700029,47,8,11,123
cook,8700002,23,8,12,162
cook,8700003,9,2,1,157
cook,8700001,15,3,9,71
cook,8700006,20,3,16,104
cook,8700007,21,6,17,120
cook,8700048,25,1,10,136
cook,8700049,20,4,6,93
cook,8700041,46,7,16,133
cook,8700069,25,4,16,78
cook,8700064,12,7,14,71
cook,8700065,16,7,7,83
cook,7900027,1,1,3,27
cook,8700067,17,1,5,151
cook,8700045,26,3,9,117
cook,8700063,26,8,11,89
cook,7000008,18,2,7,179
cook,7000009,30,4,11,116
cook,7000001,30,3,15,131
cook,7000002,39,6,15,103
cook,7000003,17,6,17,190
cook,7000005,25,3,8,198
cook,7000006,62,3,14,156
cook,7000007,6,0,2,55
cook,7600042,17,7,17,80
cook,7600044,25,4,20,82
cook,8700033,9,4,3,29
cook,8700032,18,2,10,118
cook,7600026,31,11,15,81
cook,8700030,18,4,14,72
cook,8700019,31,5,11,132
cook,8700018,34,2,12,76
cook,8700035,34,2,16,101
cook,7600009,25,6,15,108
cook,8700015,24,4,15,89
cook,8700014,26,6,17,65
cook,8700017,33,3,20,91
cook,8700038,27,2,11,139
cook,8700011,20,6,13,53
cook,8700010,19,2,18,187
cook,8700012,22,2,13,140
cook,8700046,34,6,24,141
cook,7900012,21,4,8,110
cook,8700043,39,3,5,80
cook,8700050,44,10,16,167
cook,8700052,16,6,3,158
cook,8700055,15,12,9,79
cook,8700031,32,7,7,93
cook,8700057,37,7,15,129
cook,8700056,20,5,9,95
cook,8700023,16,6,7,129
cook,8700037,24,7,5,94
cook,8700036,18,2,9,81
kane,SC0016,9,2,9,169
kane,EL0036,18,6,11,113
kane,DU0028,21,7,15,242
kane,EL0016,14,7,14,153
kane,SC0030,12,5,7,196
kane,EL0058,7,10,8,162
kane,EL0015,17,4,12,110
kane,EL0010,25,1,10,113
kane,EL0053,23,3,17,210
kane,EL0038,7,1,9,103
kane,EL0039,4,5,11,93
kane,EL0050,11,4,8,60
kane,EL0051,9,8,10,128
kane,EL0056,13,6,12,84
kane,EL0057,0,0,2,3
kane,EL0054,33,4,9,134
kane,EL0055,17,5,14,133
kane,DU0034,22,3,18,88
kane,DU0035,11,2,9,108
