Precinct,Peter J. Roskam,Total
Cuba 64,83,83
Cuba 65,197,197
Cuba 66,151,151
Cuba 67,120,120
Cuba 68,175,175
Cuba 69,203,203
Cuba 70,117,117
Cuba 71,152,152
Cuba 72,132,132
Cuba 73,145,145
Cuba 74,184,184
Cuba 75,158,158
Cuba 76,126,126
Cuba 77,189,189
Ela 100,173,173
Ela 101,173,173
Ela 102,208,208
Ela 103,110,110
Ela 104,165,165
Ela 105,142,142
Ela 78,92,92
Ela 79,129,129
Ela 80,125,125
Ela 81,130,130
Ela 82,134,134
Ela 83,98,98
Ela 84,81,81
Ela 85,90,90
Ela 86,139,139
Ela 87,135,135
Ela 88,167,167
Ela 89,127,127
Ela 90,104,104
Ela 91,92,92
Ela 92,76,76
Ela 93,114,114
Ela 94,92,92
Ela 95,106,106
Ela 96,172,172
Ela 97,114,114
Ela 98,112,112
Ela 99,229,229
