Precinct,Registered Voters,Times Counted,Total Votes,Times Over Voted,Number of Under Votes,Leslie Coolidge Number,Leslie Coolidge Percent,Geoffrey Petzel Number,Geoffrey Petzel Percent,Maureen E. Yates Number, Maureen E. Yates Percent
ALGONQUIN 1,550,20,18,0,2,7,38.89,6,33.33,5,27.78,0,0.00
ALGONQUIN 2,803,36,33,0,3,14,42.42,6,18.18,13,39.39,0,0.00
ALGONQUIN 3,684,19,16,0,3,5,31.25,3,18.75,8,50.00,0,0.00
ALGONQUIN 4,929,66,56,0,10,28,50.00,4,7.14,24,42.86,0,0.00
ALGONQUIN 5,914,20,20,0,0,9,45.00,3,15.00,8,40.00,0,0.00
ALGONQUIN 6,710,29,23,0,6,13,56.52,4,17.39,6,26.09,0,0.00
ALGONQUIN 7,452,17,15,0,2,8,53.33,2,13.33,5,33.33,0,0.00
ALGONQUIN 8,869,24,20,0,4,10,50.00,2,10.00,8,40.00,0,0.00
ALGONQUIN 9,736,35,30,0,5,16,53.33,3,10.00,10,33.33,1,3.33
ALGONQUIN 10,788,32,32,0,0,19,59.38,4,12.50,9,28.13,0,0.00
ALGONQUIN 11,1069,27,26,0,1,10,38.46,2,7.69,14,53.85,0,0.00
ALGONQUIN 12,850,26,24,0,2,11,45.83,3,12.50,10,41.67,0,0.00
ALGONQUIN 13,763,18,16,0,2,7,43.75,2,12.50,7,43.75,0,0.00
ALGONQUIN 14,799,24,20,0,4,3,15.00,7,35.00,10,50.00,0,0.00
ALGONQUIN 15,726,23,21,0,2,8,38.10,4,19.05,9,42.86,0,0.00
ALGONQUIN 16,791,34,33,0,1,28,84.85,3,9.09,2,6.06,0,0.00
ALGONQUIN 17,1187,32,30,0,2,14,46.67,9,30.00,6,20.00,1,3.33
ALGONQUIN 18,563,16,15,0,1,10,66.67,2,13.33,3,20.00,0,0.00
ALGONQUIN 19,648,21,19,0,2,8,42.11,6,31.58,5,26.32,0,0.00
ALGONQUIN 20,416,12,9,0,3,2,22.22,4,44.44,3,33.33,0,0.00
ALGONQUIN 21,858,22,22,0,0,11,50.00,5,22.73,6,27.27,0,0.00
ALGONQUIN 22,555,29,27,0,2,14,51.85,4,14.81,9,33.33,0,0.00
ALGONQUIN 23,848,24,23,0,1,14,60.87,2,8.70,7,30.43,0,0.00
ALGONQUIN 24,847,22,20,0,2,11,55.00,4,20.00,5,25.00,0,0.00
ALGONQUIN 25,536,26,26,0,0,12,46.15,6,23.08,8,30.77,0,0.00
ALGONQUIN 26,637,22,19,0,3,10,52.63,3,15.79,6,31.58,0,0.00
