County,Precinct,Michael Mason,Peter J. Roskam
cook,8700040,15,140
cook,8700068,20,94
cook,8700034,19,138
cook,8700044,6,189
cook,8700054,40,166
cook,8700020,19,40
cook,8700028,23,71
cook,8700008,26,99
cook,8700009,30,150
cook,8700042,43,147
cook,8700025,20,107
cook,7600031,14,97
cook,8700029,37,93
cook,8700002,21,160
cook,8700003,6,132
cook,8700001,21,69
cook,8700006,24,79
cook,8700007,18,113
cook,8700048,16,136
cook,8700049,8,85
cook,8700041,36,121
cook,8700069,20,80
cook,8700064,11,65
cook,8700065,10,94
cook,7900027,10,67
cook,8700067,14,150
cook,8700045,14,121
cook,8700063,20,92
cook,7000008,20,132
cook,7000009,13,100
cook,7000001,12,137
cook,7000002,32,87
cook,7000003,17,142
cook,7000005,8,157
cook,7000006,14,135
cook,7000007,4,41
cook,7600042,17,80
cook,7600044,18,79
cook,8700033,8,27
cook,8700032,14,119
cook,7600026,20,90
cook,8700030,26,87
cook,8700019,27,146
cook,8700018,20,69
cook,8700035,15,105
cook,7600009,21,110
cook,8700015,30,83
cook,8700014,20,90
cook,8700017,33,94
cook,8700038,15,138
cook,8700011,14,61
cook,8700010,21,141
cook,8700012,26,154
cook,8700046,37,128
cook,7900012,20,125
cook,8700043,19,78
cook,8700050,33,174
cook,8700052,8,135
cook,8700055,9,75
cook,8700031,16,121
cook,8700057,36,129
cook,8700056,22,83
cook,8700023,11,117
cook,8700037,20,88
cook,8700036,18,72
kane,SC0016,10,154
kane,EL0036,3,84
kane,DU0028,22,198
kane,EL0016,19,131
kane,SC0030,9,172
kane,EL0058,20,122
kane,EL0015,12,84
kane,EL0010,5,84
kane,EL0053,14,169
kane,EL0038,15,89
kane,EL0039,12,82
kane,EL0050,13,42
kane,EL0051,5,105
kane,EL0056,18,82
kane,EL0057,1,2
kane,EL0054,23,93
kane,EL0055,18,102
kane,DU0034,21,70
kane,DU0035,17,65
kane,DU0032,9,69
kane,DU0033,23,87
kane,DU0016,11,81
kane,DU0031,12,48
kane,DU0018,20,150
kane,SC0017,29,80
kane,SC0029,26,125
kane,SC0033,23,110
kane,SC0001,12,134
kane,RU0005,10,117
kane,RU0006,5,75
kane,RU0001,5,152
kane,EL0047,9,181
kane,SC0012,12,86
kane,SC0011,18,78
kane,SC0032,8,118
kane,SC0007,10,183
kane,SC0022,14,167
kane,EL0048,26,151
kane,EL0007,7,156
kane,SC0008,24,177
kane,SC0027,18,213
kane,SC0024,17,166
kane,DU0030,10,95
kane,SC0028,19,148
kane,EL0024,17,224
kane,EL0008,20,101
kane,EL0021,14,50
kane,SC0003,11,121
kane,DU0025,2,95
kane,DU0024,17,71
kane,DU0027,3,48
kane,DU0026,18,86
kane,DU0020,7,156
kane,DU0023,8,65
kane,DU0022,9,95
kane,DU0004,22,89
kane,DU0029,11,90
kane,DU0002,12,54
kane,DU0001,30,122
kane,SC0031,7,198
kane,EL0059,68,337
kane,SC0026,8,214
kane,SC0002,23,190
lake,Ela 86,13,150
lake,Ela 87,12,123
lake,Ela 84,6,66
lake,Ela 85,7,77
lake,Ela 82,15,131
lake,Ela 83,19,113
lake,Ela 80,16,135
lake,Ela 81,51,210
lake,Ela 97,6,99
lake,Ela 88,5,114
lake,Ela 89,12,159
lake,Ela 96,11,139
lake,Ela 91,12,86
lake,Ela 90,11,91
lake,Ela 79,12,116
lake,Ela 78,9,76
lake,Ela 93,11,95
lake,Ela 92,13,83
lake,Cuba 64,5,58
lake,Cuba 65,7,141
lake,Cuba 66,10,110
lake,Cuba 67,8,95
lake,Cuba 68,15,175
lake,Cuba 69,26,198
lake,Ela 95,13,97
lake,Ela 94,11,102
lake,Ela 104,12,135
lake,Ela 105,11,154
lake,Ela 102,10,202
lake,Ela 103,9,110
lake,Ela 100,5,134
lake,Ela 101,53,277
lake,Ela 99,17,158
lake,Ela 98,4,100
lake,Cuba 73,16,137
lake,Cuba 72,12,105
lake,Cuba 71,12,109
lake,Cuba 70,8,84
lake,Cuba 77,17,174
lake,Cuba 76,18,111
lake,Cuba 75,5,106
lake,Cuba 74,9,150
dupage,Downers Grove 97,19,19
dupage,Downers Grove 98,10,10
dupage,Milton 39,13,14
dupage,Milton 38,21,24
dupage,Milton 37,7,7
dupage,Milton 36,16,18
dupage,Milton 35,11,10
dupage,Milton 34,25,27
dupage,Milton 33,16,17
dupage,Milton 32,74,70
dupage,Milton 31,20,20
dupage,Milton 30,30,29
dupage,Wayne 1,9,9
dupage,Wayne 3,12,14
dupage,Wayne 2,7,9
dupage,Wayne 5,9,9
dupage,Wayne 4,22,21
dupage,Wayne 7,31,31
dupage,Wayne 6,14,14
dupage,Wayne 9,17,16
dupage,Wayne 8,9,8
dupage,Downers Grove 131,12,10
dupage,Downers Grove 61,4,6
dupage,Downers Grove 63,15,15
dupage,Downers Grove 3,24,24
dupage,Downers Grove 65,15,16
dupage,Downers Grove 64,18,20
dupage,Downers Grove 67,32,34
dupage,Downers Grove 66,10,11
dupage,Downers Grove 69,20,21
dupage,Downers Grove 47,1,1
dupage,Milton 82,10,12
dupage,Milton 83,28,27
dupage,Milton 80,17,19
dupage,Milton 81,10,9
dupage,Wayne 19,16,17
dupage,Milton 87,18,20
dupage,Milton 84,10,11
dupage,Milton 85,10,12
