Precinct,Registered Voters,Michael Mason
Wayne 1,769,9,
Wayne 2,460,7,
Wayne 3,1267,12,
Wayne 4,1127,22,
Wayne 5,1188,9,
Wayne 6,1164,14,
Wayne 7,1000,31,
Wayne 8,922,9,
Wayne 9,1058,17,
Wayne 10,961,8,
Wayne 11,900,9,
Wayne 12,830,11,
Wayne 13,1299,13,
Wayne 15,1035,20,
Wayne 17,1394,18,
Wayne 19,951,16,
Wayne 20,788,9,
Wayne 21,1148,35,
Wayne 22,697,6,
Wayne 23,820,18,
Wayne 25,931,28,
Wayne 26,587,7,
Wayne 28,927,17,
Wayne 30,1050,11,
Wayne 32,644,9,
Wayne 33,654,6,
Wayne 35,1006,7,
Wayne 36,983,12,
Wayne 37,1099,9,
Wayne 39,771,8,
Wayne 40,1034,19,
Wayne 42,1166,27,
Bloomingdale 9,1174,18,
Bloomingdale 18,897,34,
Bloomingdale 43,588,15,
Bloomingdale 45,413,11,
Bloomingdale 58,1267,25,
Bloomingdale 68,1273,32,
Winfield 1,799,13,
Winfield 2,788,14,
Winfield 4,755,24,
Winfield 5,639,6,
Winfield 6,625,8,
Winfield 7,769,9,
Winfield 8,514,8,
Winfield 9,815,20,
Winfield 12,900,21,
Winfield 13,572,6,
Winfield 14,815,24,
Winfield 15,690,10,
Winfield 17,614,14,
Winfield 18,580,21,
Winfield 19,647,9,
Winfield 20,831,11,
Winfield 21,945,51,
Winfield 22,808,23,
Winfield 23,748,16,
Winfield 30,885,15,
Winfield 37,640,6,
Milton 1,467,19,
Milton 2,700,28,
Milton 3,872,10,
Milton 4,511,9,
Milton 5,624,27,
Milton 6,574,20,
Milton 7,476,9,
Milton 8,842,18,
Milton 9,464,9,
Milton 10,634,28,
Milton 11,567,19,
Milton 12,488,20,
Milton 13,705,15,
Milton 14,631,20,
Milton 15,738,16,
Milton 16,649,7,
Milton 17,908,18,
Milton 18,768,10,
Milton 19,885,10,
Milton 20,679,17,
Milton 21,583,27,
Milton 22,528,12,
Milton 23,756,9,
Milton 24,535,8,
Milton 25,813,5,
Milton 26,1274,34,
Milton 27,592,19,
Milton 28,641,8,
Milton 29,518,13,
Milton 30,895,30,
Milton 31,1045,20,
Milton 32,826,74,
Milton 33,580,16,
Milton 34,618,25,
Milton 35,560,11,
Milton 36,696,16,
Milton 37,702,7,
Milton 38,925,21,
Milton 39,867,13,
Milton 40,722,17,
Milton 41,586,21,
Milton 42,543,14,
Milton 43,726,19,
Milton 44,631,23,
Milton 45,614,23,
Milton 46,696,22,
Milton 47,672,29,
Milton 48,591,18,
Milton 49,546,7,
Milton 50,708,26,
Milton 51,1213,7,
Milton 52,599,21,
Milton 54,812,7,
Milton 55,859,5,
Milton 56,537,16,
Milton 57,918,18,
Milton 58,886,22,
Milton 59,475,9,
Milton 60,911,19,
Milton 61,1000,7,
Milton 62,726,38,
Milton 63,844,9,
Milton 64,759,21,
Milton 65,547,7,
Milton 66,793,41,
Milton 67,634,21,
Milton 68,662,10,
Milton 69,519,30,
Milton 71,536,13,
Milton 73,1037,27,
Milton 74,649,5,
Milton 75,577,6,
Milton 76,709,22,
Milton 77,595,7,
Milton 78,586,6,
Milton 79,830,14,
Milton 80,899,17,
Milton 81,872,10,
Milton 82,607,10,
Milton 83,650,28,
Milton 84,770,10,
Milton 85,498,10,
Milton 86,400,9,
Milton 87,938,18,
Milton 88,834,34,
Milton 89,865,24,
Milton 90,952,24,
Milton 91,351,11,
Milton 92,482,5,
Milton 93,717,9,
Milton 94,577,14,
Milton 95,884,14,
Milton 96,533,22,
Milton 97,824,34,
Milton 98,651,8,
Milton 99,752,15,
Milton 100,1079,17,
Milton 102,1124,12,
Milton 104,623,8,
Milton 105,382,19,
Milton 106,1012,8,
Milton 107,601,10,
Milton 108,769,29,
Milton 109,576,5,
York 3,553,2,
York 9,715,15,
York 18,1046,31,
York 21,320,11,
York 26,835,37,
York 30,545,6,
York 42,530,22,
York 43,444,18,
York 56,909,24,
York 62,1317,23,
York 64,252,3,
York 74,1064,27,
York 75,962,28,
York 77,654,16,
York 86,1052,25,
York 93,751,15,
York 95,439,23,
York 97,846,18,
York 100,679,21,
York 101,497,18,
York 105,780,7,
York 106,574,6,
York 109,931,14,
York 111,1184,32,
York 114,761,36,
York 119,800,6,
York 121,806,46,
York 122,689,5,
York 128,1096,42,
York 130,490,4,
Naperville 5,770,18,
Naperville 7,718,9,
Naperville 10,889,19,
Naperville 15,683,35,
Naperville 16,927,10,
Naperville 19,837,13,
Naperville 22,901,13,
Naperville 26,909,9,
Naperville 31,719,31,
Naperville 61,640,8,
Lisle 1,368,7,
Lisle 3,1121,14,
Lisle 4,755,17,
Lisle 6,515,11,
Lisle 7,380,6,
Lisle 8,737,21,
Lisle 9,644,9,
Lisle 11,795,18,
Lisle 14,969,11,
Lisle 16,957,13,
Lisle 22,705,11,
Lisle 25,732,16,
Lisle 31,692,11,
Lisle 32,674,11,
Lisle 37,715,15,
Lisle 38,732,9,
Lisle 40,632,7,
Lisle 43,1169,10,
Lisle 44,603,10,
Lisle 52,1106,11,
Lisle 55,502,9,
Lisle 56,1119,21,
Lisle 59,817,10,
Lisle 61,1200,18,
Lisle 68,804,13,
Lisle 77,1303,25,
Lisle 78,1739,29,
Lisle 80,516,10,
Lisle 81,649,4,
Lisle 83,772,22,
Lisle 88,583,16,
Lisle 89,850,18,
Lisle 91,755,15,
Lisle 92,470,3,
Lisle 95,602,8,
Downers Grove 2,670,8,
Downers Grove 3,582,24,
Downers Grove 6,620,8,
Downers Grove 7,833,5,
Downers Grove 8,983,33,
Downers Grove 9,619,20,
Downers Grove 10,786,20,
Downers Grove 11,827,20,
Downers Grove 12,616,17,
Downers Grove 14,818,27,
Downers Grove 15,598,17,
Downers Grove 16,561,9,
Downers Grove 17,725,14,
Downers Grove 18,802,27,
Downers Grove 19,563,11,
Downers Grove 20,915,19,
Downers Grove 21,707,17,
Downers Grove 26,736,13,
Downers Grove 27,497,10,
Downers Grove 28,563,8,
Downers Grove 29,837,6,
Downers Grove 30,581,16,
Downers Grove 31,736,16,
Downers Grove 32,602,16,
Downers Grove 33,632,24,
Downers Grove 34,842,16,
Downers Grove 36,832,19,
Downers Grove 37,852,6,
Downers Grove 38,663,15,
Downers Grove 39,711,18,
Downers Grove 44,644,4,
Downers Grove 45,654,10,
Downers Grove 47,393,1,
Downers Grove 48,554,9,
Downers Grove 49,743,19,
Downers Grove 50,761,23,
Downers Grove 51,715,20,
Downers Grove 52,740,8,
Downers Grove 53,817,20,
Downers Grove 54,978,28,
Downers Grove 55,546,5,
Downers Grove 56,462,11,
Downers Grove 57,636,6,
Downers Grove 59,698,8,
Downers Grove 61,794,4,
Downers Grove 63,555,15,
Downers Grove 64,1011,18,
Downers Grove 65,721,15,
Downers Grove 66,618,10,
Downers Grove 67,988,32,
Downers Grove 69,565,20,
Downers Grove 70,968,24,
Downers Grove 71,812,16,
Downers Grove 73,604,9,
Downers Grove 74,901,26,
Downers Grove 75,704,17,
Downers Grove 76,933,17,
Downers Grove 78,587,6,
Downers Grove 79,974,15,
Downers Grove 82,734,9,
Downers Grove 83,868,6,
Downers Grove 84,715,12,
Downers Grove 85,617,6,
Downers Grove 87,948,24,
Downers Grove 92,1117,26,
Downers Grove 94,832,24,
Downers Grove 96,601,22,
Downers Grove 97,674,19,
Downers Grove 98,713,10,
Downers Grove 102,1001,8,
Downers Grove 103,624,14,
Downers Grove 105,875,11,
Downers Grove 106,633,9,
Downers Grove 107,492,8,
Downers Grove 109,800,17,
Downers Grove 112,742,11,
Downers Grove 113,1206,16,
Downers Grove 115,707,16,
Downers Grove 118,848,11,
Downers Grove 119,582,4,
Downers Grove 120,797,21,
Downers Grove 121,557,15,
Downers Grove 127,613,9,
Downers Grove 129,649,16,
Downers Grove 130,603,15,
Downers Grove 131,392,12,
Downers Grove 132,511,6,
