Precinct,Registered Voters,Ballots Cast,Turnout,Peter J. Roskam
DU0001,980,144,14.69,122
DU0002,638,72,11.29,54
DU0004,900,106,11.78,89
DU0016,1058,114,10.78,81
DU0018,1427,187,13.10,150
DU0020,1012,186,18.38,156
DU0022,720,111,15.42,95
DU0023,596,77,12.92,65
DU0024,835,85,10.18,71
DU0025,674,122,18.10,95
DU0026,649,109,16.80,86
DU0027,841,54,6.42,48
DU0028,1692,232,13.71,198
DU0029,751,102,13.58,90
DU0030,1080,108,10.00,95
DU0031,689,66,9.58,48
DU0032,1641,79,4.81,69
DU0033,1401,96,6.85,87
DU0034,1082,85,7.86,70
DU0035,1570,69,4.39,65
EL0007,774,197,25.45,156
EL0008,836,128,15.31,101
EL0010,686,105,11.27,84
EL0015,765,103,13.46,84
EL0016,920,166,18.04,131
EL0021,661,59,8.93,50
EL0024,1766,254,14.38,224
EL0036,1055,108,10.24,84
EL0038,860,103,11.98,89
EL0039,688,90,13.08,82
EL0047,1827,208,11.38,181
EL0048,1103,174,15.78,151
EL0050,485,55,11.34,42
EL0051,916,136,14.85,105
EL0053,1872,189,10.10,169
EL0054,967,107,11.07,93
EL0055,1301,122,9.38,102
EL0056,1098,98,8.93,82
EL0057,43,3,0.26,2
EL0058,1977,144,7.28,122
EL0059,2132,383,17.96,337
RU0001,1670,195,11.68,152
RU0005,1745,130,7.45,117
RU0006,822,91,11.07,75
SC0001,743,151,19.92,134
SC0002,857,214,24.97,190
SC0003,1099,152,13.73,121
SC0007,1045,213,20.38,183
SC0008,1113,213,19.14,177
SC0011,998,95,9.52,78
SC0012,976,97,9.94,86
SC0016,1155,168,14.55,154
SC0017,801,99,12.36,80
SC0022,986,196,19.88,167
SC0024,1859,191,10.27,166
SC0026,1240,253,20.40,214
SC0027,1226,253,20.64,213
SC0028,956,175,18.31,148
SC0029,1262,144,11.41,125
SC0030,1031,198,19.20,172
SC0031,1273,230,18.07,198
SC0032,794,132,16.62,118
SC0033,862,135,15.66,110
