County,Precinct,Amanda Howland,Amanda Howland Percent,Peter J. Roskam,Peter J. Roskam Percent,Total
Cook,7000001,234,33.96,455,66.04,689
Cook,7000002,301,45.54,360,54.46,661
Cook,7000003,219,26.64,603,73.36,822
Cook,7000005,181,23.42,592,76.58,773
Cook,7000006,339,38.74,536,61.26,875
Cook,7000007,71,28.06,182,71.94,253
Cook,7000008,350,31.53,760,68.47,"1,110"
Cook,7000009,189,35.13,349,64.87,538
Cook,7000010,254,43.87,325,56.13,579
Cook,7600009,285,41.61,400,58.39,685
Cook,7600026,471,49.84,474,50.16,945
Cook,7600031,184,33.82,360,66.18,544
Cook,7600042,321,46.05,376,53.95,697
Cook,7600044,191,41.98,264,58.02,455
Cook,7900012,114,25.00,342,75.00,456
Cook,7900027,65,22.11,229,77.89,294
Cook,8700001,235,46.08,275,53.92,510
Cook,8700002,358,41.48,505,58.52,863
Cook,8700003,156,26.31,437,73.69,593
Cook,8700006,355,46.65,406,53.35,761
Cook,8700007,331,46.04,388,53.96,719
Cook,8700008,354,46.89,401,53.11,755
Cook,8700009,230,35.44,419,64.56,649
Cook,8700010,221,26.53,612,73.47,833
Cook,8700011,302,48.79,317,51.21,619
Cook,8700012,185,29.37,445,70.63,630
Cook,8700014,279,45.15,339,54.85,618
Cook,8700015,351,46.37,406,53.63,757
Cook,8700017,313,47.14,351,52.86,664
Cook,8700018,213,43.92,272,56.08,485
Cook,8700019,269,37.21,454,62.79,723
Cook,8700020,393,65.07,211,34.93,604
Cook,8700023,126,25.00,378,75.00,504
Cook,8700025,223,40.47,328,59.53,551
Cook,8700028,215,44.42,269,55.58,484
Cook,8700029,379,43.17,499,56.83,878
Cook,8700030,271,50.94,261,49.06,532
Cook,8700031,170,34.14,328,65.86,498
Cook,8700032,253,37.04,430,62.96,683
Cook,8700033,256,57.27,191,42.73,447
Cook,8700034,327,36.87,560,63.13,887
Cook,8700035,259,42.81,346,57.19,605
Cook,8700036,283,44.99,346,55.01,629
Cook,8700037,369,47.43,409,52.57,778
Cook,8700038,212,33.07,429,66.93,641
Cook,8700040,430,42.28,587,57.72,"1,017"
Cook,8700041,388,41.68,543,58.32,931
Cook,8700042,371,44.75,458,55.25,829
Cook,8700043,225,38.14,365,61.86,590
Cook,8700044,235,26.37,656,73.63,891
Cook,8700045,171,30.27,394,69.73,565
Cook,8700046,368,45.60,439,54.40,807
Cook,8700048,208,34.90,388,65.10,596
Cook,8700049,174,33.53,345,66.47,519
Cook,8700050,404,40.16,602,59.84,"1,006"
Cook,8700051,0,0.00,2,100.00,2
Cook,8700052,224,32.75,460,67.25,684
Cook,8700054,384,44.76,474,55.24,858
Cook,8700055,205,39.88,309,60.12,514
Cook,8700056,338,43.78,434,56.22,772
Cook,8700057,447,47.81,488,52.19,935
Cook,8700063,334,47.99,362,52.01,696
Cook,8700064,362,53.63,313,46.37,675
Cook,8700065,254,44.10,322,55.90,576
Cook,8700067,154,24.72,469,75.28,623
Cook,8700068,234,37.56,389,62.44,623
Cook,8700069,314,47.72,344,52.28,658
DuPage,Bloomingdale 009,248,51.88,230,48.12,478
DuPage,Bloomingdale 018,187,43.19,246,56.81,433
DuPage,Bloomingdale 043,203,42.92,270,57.08,473
DuPage,Bloomingdale 045,91,19.04,387,80.96,478
DuPage,Bloomingdale 058,232,40.63,339,59.37,571
DuPage,Bloomingdale 068,273,56.40,211,43.60,484
DuPage,Bloomingdale 077,188,44.34,236,55.66,424
DuPage,Bloomingdale 080,151,36.74,260,63.26,411
DuPage,Bloomingdale 089,150,37.22,253,62.78,403
DuPage,Downers Grove 002,225,43.19,296,56.81,521
DuPage,Downers Grove 003,259,43.38,338,56.62,597
DuPage,Downers Grove 006,144,29.88,338,70.12,482
DuPage,Downers Grove 007,179,28.87,441,71.13,620
DuPage,Downers Grove 008,297,46.77,338,53.23,635
DuPage,Downers Grove 009,222,46.44,256,53.56,478
DuPage,Downers Grove 010,297,51.12,284,48.88,581
