County,Precinct,ROBERT MARSHALL,ROBERT MARSHALL PERCENT,AMANDA HOWLAND,AMANDA HOWLAND PERCENT,Total
Cook,7000001,30,23.81%,96,76.19%,126
Cook,7000002,45,27.44%,119,72.56%,164
Cook,7000003,38,42.22%,52,57.78%,90
Cook,7000005,22,26.83%,60,73.17%,82
Cook,7000006,56,31.46%,122,68.54%,178
Cook,7000007,12,28.57%,30,71.43%,42
Cook,7000008,57,38.00%,93,62.00%,150
Cook,7000009,26,24.53%,80,75.47%,106
Cook,7000010,55,37.41%,92,62.59%,147
Cook,7600009,63,32.31%,132,67.69%,195
Cook,7600026,111,48.90%,116,51.10%,227
Cook,7600031,31,31.00%,69,69.00%,100
Cook,7600042,55,43.31%,72,56.69%,127
Cook,7600044,44,36.97%,75,63.03%,119
Cook,7900012,44,53.66%,38,46.34%,82
Cook,7900027,18,37.50%,30,62.50%,48
Cook,8700001,49,33.11%,99,66.89%,148
Cook,8700002,67,34.54%,127,65.46%,194
Cook,8700003,29,31.52%,63,68.48%,92
Cook,8700006,66,33.67%,130,66.33%,196
Cook,8700007,69,37.70%,114,62.30%,183
Cook,8700008,64,31.84%,137,68.16%,201
Cook,8700009,43,31.62%,93,68.38%,136
Cook,8700010,38,31.15%,84,68.85%,122
Cook,8700011,55,35.26%,101,64.74%,156
Cook,8700012,31,26.72%,85,73.28%,116
Cook,8700014,52,30.95%,116,69.05%,168
Cook,8700015,67,34.36%,128,65.64%,195
Cook,8700017,61,32.80%,125,67.20%,186
Cook,8700018,61,45.19%,74,54.81%,135
Cook,8700019,57,36.31%,100,63.69%,157
Cook,8700020,81,40.30%,120,59.70%,201
Cook,8700023,18,24.66%,55,75.34%,73
Cook,8700025,47,35.07%,87,64.93%,134
Cook,8700028,47,31.97%,100,68.03%,147
Cook,8700029,80,39.22%,124,60.78%,204
Cook,8700030,51,36.96%,87,63.04%,138
Cook,8700031,30,26.09%,85,73.91%,115
Cook,8700032,53,36.81%,91,63.19%,144
Cook,8700033,39,29.32%,94,70.68%,133
Cook,8700034,72,35.64%,130,64.36%,202
Cook,8700035,52,31.52%,113,68.48%,165
Cook,8700036,48,31.79%,103,68.21%,151
Cook,8700037,79,39.30%,122,60.70%,201
Cook,8700038,36,31.86%,77,68.14%,113
Cook,8700040,70,34.65%,132,65.35%,202
Cook,8700041,53,25.85%,152,74.15%,205
Cook,8700042,77,34.38%,147,65.63%,224
Cook,8700043,54,40.91%,78,59.09%,132
Cook,8700044,32,30.48%,73,69.52%,105
Cook,8700045,51,41.80%,71,58.20%,122
Cook,8700046,77,40.53%,113,59.47%,190
Cook,8700048,38,34.23%,73,65.77%,111
Cook,8700049,23,27.38%,61,72.62%,84
Cook,8700050,75,31.65%,162,68.35%,237
Cook,8700051,0,0.00%,0,0.00%,0
Cook,8700052,40,35.40%,73,64.60%,113
Cook,8700054,74,33.33%,148,66.67%,222
Cook,8700055,31,31.00%,69,69.00%,100
Cook,8700056,68,38.86%,107,61.14%,175
Cook,8700057,84,34.01%,163,65.99%,247
Cook,8700063,67,37.85%,110,62.15%,177
Cook,8700064,66,33.67%,130,66.33%,196
Cook,8700065,49,36.03%,87,63.97%,136
Cook,8700067,33,34.02%,64,65.98%,97
Cook,8700068,49,37.40%,82,62.60%,131
Cook,8700069,55,34.38%,105,65.63%,160
DuPage,Bloomingdale 009,39,31.71%,84,68.29%,123
DuPage,Bloomingdale 018,35,31.82%,75,68.18%,110
DuPage,Bloomingdale 043,45,38.14%,73,61.86%,118
DuPage,Bloomingdale 045,26,43.33%,34,56.67%,60
DuPage,Bloomingdale 058,55,33.95%,107,66.05%,162
DuPage,Bloomingdale 068,42,34.71%,79,65.29%,121
DuPage,Bloomingdale 077,43,38.05%,70,61.95%,113
DuPage,Bloomingdale 080,29,35.37%,53,64.63%,82
DuPage,Bloomingdale 089,25,25.00%,75,75.00%,100
DuPage,Downers Grove 002,32,24.06%,101,75.94%,133
DuPage,Downers Grove 003,47,30.13%,109,69.87%,156
DuPage,Downers Grove 006,30,38.96%,47,61.04%,77
DuPage,Downers Grove 007,29,31.52%,63,68.48%,92
DuPage,Downers Grove 008,41,27.52%,108,72.48%,149
DuPage,Downers Grove 009,34,24.46%,105,75.54%,139
DuPage,Downers Grove 010,74,37.76%,122,62.24%,196
DuPage,Downers Grove 011,45,36.89%,77,63.11%,122
DuPage,Downers Grove 012,32,23.70%,103,76.30%,135
DuPage,Downers Grove 014,50,33.11%,101,66.89%,151
DuPage,Downers Grove 015,40,35.40%,73,64.60%,113
DuPage,Downers Grove 016,20,29.41%,48,70.59%,68
DuPage,Downers Grove 017,36,26.87%,98,73.13%,134
DuPage,Downers Grove 018,55,30.05%,128,69.95%,183
DuPage,Downers Grove 019,38,38.00%,62,62.00%,100
DuPage,Downers Grove 020,53,27.04%,143,72.96%,196
DuPage,Downers Grove 021,39,28.06%,100,71.94%,139
DuPage,Downers Grove 026,36,28.35%,91,71.65%,127
DuPage,Downers Grove 027,28,36.36%,49,63.64%,77
DuPage,Downers Grove 028,19,28.36%,48,71.64%,67
DuPage,Downers Grove 029,27,28.42%,68,71.58%,95
DuPage,Downers Grove 030,42,32.81%,86,67.19%,128
DuPage,Downers Grove 031,47,32.64%,97,67.36%,144
DuPage,Downers Grove 032,28,30.43%,64,69.57%,92
DuPage,Downers Grove 033,52,40.94%,75,59.06%,127
DuPage,Downers Grove 034,60,30.61%,136,69.39%,196
DuPage,Downers Grove 036,36,27.91%,93,72.09%,129
DuPage,Downers Grove 037,46,36.22%,81,63.78%,127
DuPage,Downers Grove 038,26,29.55%,62,70.45%,88
DuPage,Downers Grove 039,38,32.20%,80,67.80%,118
DuPage,Downers Grove 044,29,39.73%,44,60.27%,73
DuPage,Downers Grove 045,25,22.73%,85,77.27%,110
DuPage,Downers Grove 047,25,38.46%,40,61.54%,65
DuPage,Downers Grove 048,25,26.88%,68,73.12%,93
DuPage,Downers Grove 049,47,29.19%,114,70.81%,161
DuPage,Downers Grove 050,45,29.61%,107,70.39%,152
DuPage,Downers Grove 051,57,43.18%,75,56.82%,132
DuPage,Downers Grove 052,41,33.61%,81,66.39%,122
DuPage,Downers Grove 053,49,30.63%,111,69.38%,160
DuPage,Downers Grove 054,41,26.45%,114,73.55%,155
DuPage,Downers Grove 055,25,36.23%,44,63.77%,69
DuPage,Downers Grove 056,34,36.56%,59,63.44%,93
DuPage,Downers Grove 057,48,36.92%,82,63.08%,130
DuPage,Downers Grove 059,35,35.35%,64,64.65%,99
DuPage,Downers Grove 061,56,41.48%,79,58.52%,135
DuPage,Downers Grove 063,34,35.05%,63,64.95%,97
DuPage,Downers Grove 064,50,27.93%,129,72.07%,179
DuPage,Downers Grove 065,27,23.08%,90,76.92%,117
DuPage,Downers Grove 066,33,33.67%,65,66.33%,98
DuPage,Downers Grove 067,49,32.45%,102,67.55%,151
DuPage,Downers Grove 069,32,32.00%,68,68.00%,100
