County,Precinct,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,Peter J. Roskam
cook,8700040,59,20,73,10,5,10,43,142
cook,8700068,28,12,27,1,5,5,32,95
cook,8700034,61,15,46,9,7,7,33,135
cook,8700044,29,21,29,5,3,5,32,190
cook,8700054,80,32,50,9,5,10,59,143
cook,8700020,38,18,30,8,6,5,14,48
cook,8700028,27,21,27,4,7,1,29,56
cook,8700008,51,28,47,6,7,7,34,95
cook,8700009,45,14,42,4,2,3,34,111
cook,8700042,62,28,51,2,7,5,42,130
cook,8700025,36,14,44,5,4,12,28,88
cook,7600031,33,19,16,6,4,4,19,81
cook,8700029,58,25,52,9,6,12,41,106
cook,8700002,51,17,53,12,5,15,49,147
cook,8700003,24,6,16,5,2,9,27,107
cook,8700001,35,15,28,3,5,4,19,68
cook,8700006,44,24,55,12,7,10,30,91
cook,8700007,42,18,56,5,5,9,36,86
cook,8700048,37,20,33,2,5,4,37,128
cook,8700049,39,5,22,4,1,4,22,83
cook,8700041,46,18,57,9,6,8,47,116
cook,8700069,36,18,40,7,4,5,23,82
cook,8700064,37,19,42,3,6,7,22,76
cook,8700065,34,19,27,8,2,7,25,86
cook,7900027,14,5,16,2,0,1,10,54
cook,8700067,24,13,17,3,4,3,13,147
cook,8700045,27,8,24,7,1,8,41,107
cook,8700063,36,16,41,5,5,9,31,82
cook,7000008,45,15,28,9,5,5,28,151
cook,7000009,44,8,33,3,4,5,30,111
cook,7000001,44,16,25,3,2,6,26,139
cook,7000002,70,27,34,5,2,12,27,90
cook,7000003,30,4,20,2,1,9,29,147
cook,7000005,54,6,13,2,2,2,16,160
cook,7000006,57,14,44,5,5,4,42,136
cook,7000007,19,3,6,8,1,1,5,38
cook,7600042,49,17,29,3,3,6,20,92
cook,7600044,35,23,21,6,1,5,26,80
cook,8700033,24,20,21,1,2,3,17,39
cook,8700032,21,16,35,8,4,4,32,99
cook,7600026,52,29,40,12,7,7,18,122
cook,8700030,42,14,36,5,7,9,24,74
cook,8700019,45,19,34,7,6,12,32,126
cook,8700018,34,25,37,6,3,5,23,63
cook,8700035,35,23,50,5,5,4,40,93
cook,7600009,81,21,28,14,4,6,29,108
cook,8700015,45,24,42,12,2,8,31,78
cook,8700014,38,18,51,8,4,6,29,90
cook,8700017,51,25,68,6,5,8,31,83
cook,8700038,21,3,40,4,10,3,41,123
cook,8700011,40,23,33,1,4,2,19,58
cook,8700010,54,12,21,4,4,12,37,137
cook,8700012,36,15,22,4,1,3,30,123
cook,8700046,42,34,42,4,3,9,46,114
cook,7900012,19,5,29,10,1,2,24,85
cook,8700043,64,16,27,10,7,10,30,77
cook,8700050,69,28,54,20,5,10,50,160
cook,8700052,28,14,25,8,5,8,38,135
cook,8700055,31,8,29,3,3,5,19,75
cook,8700031,33,24,31,2,4,8,30,102
cook,8700057,60,40,68,16,3,8,39,122
cook,8700056,51,24,30,4,5,6,36,98
cook,8700051,0,0,1,0,0,0,0,2
cook,8700023,19,4,19,3,1,3,35,100
cook,8700037,53,31,45,6,4,4,31,110
cook,7000010,45,12,19,5,4,4,26,67
cook,8700036,40,12,21,5,3,8,39,64
kane,SC0016,42,11,37,6,3,0,12,154
kane,EL0036,38,24,25,4,6,4,11,103
kane,DU0028,55,21,36,11,15,4,28,162
kane,EL0016,47,15,20,2,6,5,20,115
kane,SC0030,35,11,15,11,5,3,28,162
kane,EL0058,75,33,41,5,14,6,35,144
kane,EL0015,35,11,19,5,7,7,20,70
kane,EL0010,28,21,27,4,6,8,12,69
kane,EL0053,51,20,38,9,12,16,33,142
kane,EL0038,25,8,17,3,3,8,12,94
kane,EL0039,27,18,24,6,6,3,5,82
kane,EL0050,19,13,21,5,4,5,8,28
kane,EL0051,37,16,26,7,9,6,13,95
kane,EL0056,45,20,28,7,12,7,17,78
kane,EL0057,4,0,0,1,0,0,1,3
kane,EL0054,51,26,22,4,6,10,18,72
kane,EL0055,34,20,30,3,8,14,13,145
kane,DU0034,54,16,29,5,7,9,17,67
kane,DU0035,53,23,23,7,8,10,13,81
kane,DU0032,46,28,23,5,9,11,14,79
