Precinct,Registered Voters,Ballots Cast,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,Total Votes
Barrington 1,905,133,44,16,25,3,2,6,26,122
Barrington 2,932,189,70,27,34,5,2,12,27,177
Barrington 3,"1,151",110,30,4,20,2,1,9,29,95
Barrington 5,"1,075",99,54,6,13,2,2,2,16,95
Barrington 6,"1,183",183,57,14,44,5,5,4,42,171
Barrington 7,360,44,19,3,6,8,1,1,5,43
Barrington 8,"1,602",151,45,15,28,9,5,5,28,135
Barrington 9,713,129,44,8,33,3,4,5,30,127
Barrington 10,"1,423",122,45,12,19,5,4,4,26,115
Hanover 9,"1,017",202,81,21,28,14,4,6,29,183
Hanover 26,"1,604",181,52,29,40,12,7,7,18,165
Hanover 31,812,119,33,19,16,6,4,4,19,101
Hanover 42,"1,089",143,49,17,29,3,3,6,20,127
Hanover 44,"1,321",131,35,23,21,6,1,5,26,117
Lyons 12,609,101,19,5,29,10,1,2,24,90
Lyons 27,867,52,14,5,16,2,0,1,10,48
Palatine 1,773,121,35,15,28,3,5,4,19,109
Palatine 2,"1,166",227,51,17,53,12,5,15,49,202
Palatine 3,794,100,24,6,16,5,2,9,27,89
Palatine 6,"1,133",202,44,24,55,12,7,10,30,182
Palatine 7,"1,012",200,42,18,56,5,5,9,36,171
Palatine 8,"1,105",199,51,28,47,6,7,7,34,180
Palatine 9,895,159,45,14,42,4,2,3,34,144
Palatine 10,"1,153",155,54,12,21,4,4,12,37,144
Palatine 11,936,139,40,23,33,1,4,2,19,122
Palatine 12,883,123,36,15,22,4,1,3,30,111
Palatine 14,934,171,38,18,51,8,4,6,29,154
Palatine 15,"1,099",176,45,24,42,12,2,8,31,164
Palatine 17,934,207,51,25,68,6,5,8,31,194
Palatine 18,702,147,34,25,37,6,3,5,23,133
Palatine 19,980,183,45,19,34,7,6,12,32,155
Palatine 20,"1,021",132,38,18,30,8,6,5,14,119
Palatine 23,657,96,19,4,19,3,1,3,35,84
Palatine 25,737,153,36,14,44,5,4,12,28,143
Palatine 28,694,129,27,21,27,4,7,1,29,116
Palatine 29,"1,310",214,58,25,52,9,6,12,41,203
Palatine 30,772,149,42,14,36,5,7,9,24,137
Palatine 31,651,145,33,24,31,2,4,8,30,132
Palatine 32,903,139,21,16,35,8,4,4,32,120
Palatine 33,750,99,24,20,21,1,2,3,17,88
Palatine 34,"1,192",193,61,15,46,9,7,7,33,178
Palatine 35,827,176,35,23,50,5,5,4,40,162
Palatine 36,920,146,40,12,21,5,3,8,39,128
Palatine 37,"1,148",196,53,31,45,6,4,4,31,174
Palatine 38,877,127,21,3,40,4,10,3,41,122
Palatine 40,"1,393",239,59,20,73,10,5,10,43,220
Palatine 41,"1,286",206,46,18,57,9,6,8,47,191
Palatine 42,"1,169",211,62,28,51,2,7,5,42,197
Palatine 43,817,174,64,16,27,10,7,10,30,164
Palatine 44,"1,206",147,29,21,29,5,3,5,32,124
Palatine 45,761,127,27,8,24,7,1,8,41,116
Palatine 46,"1,086",191,42,34,42,4,3,9,46,180
Palatine 48,715,155,37,20,33,2,5,4,37,138
Palatine 49,698,111,39,5,22,4,1,4,22,97
Palatine 50,"1,376",258,69,28,54,20,5,10,50,236
Palatine 51,636,1,0,0,1,0,0,0,0,1
Palatine 52,948,146,28,14,25,8,5,8,38,126
Palatine 54,"1,131",269,80,32,50,9,5,10,59,245
Palatine 55,700,111,31,8,29,3,3,5,19,98
Palatine 56,"1,147",165,51,24,30,4,5,6,36,156
Palatine 57,"1,314",260,60,40,68,16,3,8,39,234
Palatine 63,"1,011",170,36,16,41,5,5,9,31,143
Palatine 64,"1,095",149,37,19,42,3,6,7,22,136
Palatine 65,803,134,34,19,27,8,2,7,25,122
Palatine 67,815,84,24,13,17,3,4,3,13,77
Palatine 68,847,120,28,12,27,1,5,5,32,110
Palatine 69,"1,035",141,36,18,40,7,4,5,23,133
