Precinct,Registered Voters,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,
Wayne 1,826,29,14,13,6,4,0,9,
Wayne 2,819,26,10,24,4,5,5,4,
Wayne 3,463,11,6,5,2,0,1,7,
Wayne 4,813,18,13,17,7,4,2,17,
Wayne 5,713,24,6,15,10,5,4,13,
Wayne 6,653,26,17,25,7,6,4,12,
Wayne 7,650,20,6,20,4,2,5,10,
Wayne 8,611,12,5,13,2,3,1,5,
Wayne 9,750,14,6,25,5,3,2,19,
Wayne 10,637,17,5,7,4,2,0,6,
Wayne 11,440,31,14,5,4,1,3,6,
Wayne 12,609,22,12,18,3,1,1,16,
Wayne 13,886,49,12,12,7,5,5,6,
Wayne 15,802,21,14,19,4,4,5,9,
Wayne 17,692,21,15,46,4,3,3,12,
Wayne 19,714,29,11,15,5,3,3,12,
Wayne 20,693,38,12,19,9,5,7,12,
Wayne 21,697,31,4,26,4,1,3,9,
Wayne 22,799,17,12,17,5,3,3,12,
Wayne 23,749,32,9,26,6,1,8,17,
Wayne 25,609,41,10,15,6,1,1,14,
Wayne 26,583,14,10,11,4,2,5,11,
Wayne 28,538,9,9,8,2,0,2,4,
Wayne 30,747,34,17,25,7,5,4,19,
Wayne 32,681,16,15,18,7,1,4,11,
Wayne 33,738,20,11,12,5,3,8,14,
Wayne 35,521,13,3,10,3,2,0,8,
Wayne 36,541,7,7,8,5,2,1,5,
Wayne 37,786,17,9,32,3,1,1,13,
Wayne 39,903,22,12,23,12,8,1,13,
Wayne 40,691,33,16,21,5,3,3,9,
Wayne 42,777,12,9,26,5,7,6,13,
Wayne 43,493,14,7,7,3,2,1,14,
Wayne 44,561,18,10,18,4,5,3,7,
Wayne 46,660,20,14,16,3,0,6,5,
Wayne 47,561,10,5,8,4,5,0,5,
Wayne 48,856,35,7,15,2,0,1,10,
Wayne 49,810,19,12,17,3,6,6,8,
Wayne 50,588,32,12,12,5,3,1,12,
Wayne 52,580,14,12,21,4,4,3,11,
Wayne 53,826,25,8,14,6,4,2,16,
Wayne 54,785,26,16,12,2,6,7,14,
Wayne 55,660,29,13,19,1,5,1,22,
Wayne 56,593,14,5,6,0,1,2,10,
Wayne 57,705,22,9,25,7,5,5,6,
Wayne 58,510,16,5,15,4,2,0,7,
Wayne 59,658,25,9,22,6,2,1,16,
Wayne 60,603,12,5,13,2,1,1,9,
Wayne 67,745,21,10,16,4,8,1,6,
Wayne 68,542,34,14,21,3,1,1,8,
Bloomingdale 9,801,23,17,23,5,6,5,9,
Bloomingdale 18,620,35,13,23,3,2,3,11,
Bloomingdale 43,746,26,12,18,4,6,3,13,
Bloomingdale 45,615,14,8,15,6,2,2,20,
Bloomingdale 58,818,28,10,35,5,5,11,15,
Bloomingdale 68,840,12,5,18,2,1,2,12,
Bloomingdale 77,634,22,12,31,1,3,3,14,
Bloomingdale 80,609,14,7,13,2,5,4,8,
Bloomingdale 89,614,12,7,14,1,3,5,17,
Winfield 1,895,39,13,22,2,8,7,10,
Winfield 2,790,20,11,34,4,5,7,16,
Winfield 4,645,33,6,21,2,8,1,21,
Winfield 5,681,18,16,23,6,5,5,8,
Winfield 6,463,11,6,21,3,7,1,8,
Winfield 7,809,18,4,30,2,6,1,32,
Winfield 8,578,11,7,19,1,6,6,13,
Winfield 9,893,29,14,13,8,2,4,11,
Winfield 12,858,25,16,40,4,7,2,19,
Winfield 13,635,8,10,11,5,3,2,3,
Winfield 14,877,36,16,39,8,14,5,19,
Winfield 15,412,14,8,17,2,2,1,9,
Winfield 17,687,22,9,24,4,5,4,18,
Winfield 18,592,26,13,25,2,7,1,20,
Winfield 19,683,19,13,32,3,7,1,13,
Winfield 20,763,15,6,25,4,3,2,14,
Winfield 21,696,26,14,21,5,10,2,15,
Winfield 22,777,27,10,31,3,12,3,16,
Winfield 23,550,14,8,9,5,1,2,3,
Winfield 30,651,24,6,19,3,8,3,14,
Winfield 37,667,12,14,17,2,0,2,7,
Winfield 38,690,22,8,28,3,7,3,15,
Winfield 39,658,32,7,20,3,5,5,18,
Winfield 40,570,15,2,23,5,3,3,9,
Winfield 41,411,7,2,8,0,6,4,9,
Milton 1,641,18,15,42,2,5,1,25,
Milton 2,747,17,6,47,7,8,4,41,
Milton 3,592,11,2,15,1,3,0,21,
Milton 4,554,12,7,22,1,7,0,9,
Milton 5,454,20,3,14,4,2,4,2,
Milton 6,639,12,11,68,5,2,3,33,
Milton 7,633,12,15,34,3,4,3,28,
Milton 8,697,21,17,44,2,7,2,26,
Milton 9,504,19,6,34,5,2,2,30,
Milton 10,675,24,8,62,5,7,2,25,
Milton 11,623,14,10,44,4,12,1,19,
Milton 12,606,21,10,51,2,4,2,24,
Milton 13,555,16,12,37,0,3,1,33,
Milton 14,594,16,4,42,3,1,0,13,
Milton 15,622,21,8,44,2,6,1,28,
Milton 16,715,28,9,49,3,6,3,27,
Milton 17,565,22,10,24,4,4,0,11,
Milton 18,762,27,13,23,3,4,8,26,
Milton 19,708,32,10,36,0,5,6,23,
Milton 20,774,14,8,26,0,8,3,13,
Milton 21,505,14,5,63,4,3,1,15,
Milton 22,662,23,13,27,1,6,7,20,
Milton 23,816,29,4,22,5,2,1,46,
Milton 24,650,30,15,31,5,3,2,20,
Milton 25,779,23,4,38,1,4,1,22,
Milton 26,962,26,18,12,4,3,5,13,
Milton 27,676,26,14,45,3,4,3,36,
Milton 28,634,16,12,11,3,9,0,20,
Milton 29,551,16,15,35,0,2,3,11,
Milton 30,640,19,15,23,3,6,3,13,
Milton 31,535,15,5,11,1,3,4,2,
Milton 32,784,37,28,18,7,11,7,29,
Milton 33,618,22,12,40,2,2,4,29,
Milton 34,718,37,18,34,4,4,6,15,
Milton 35,712,27,17,40,3,3,5,13,
Milton 36,753,29,11,44,7,8,1,40,
Milton 37,768,19,16,25,2,5,2,12,
Milton 38,879,33,13,34,5,13,3,19,
Milton 39,661,21,5,19,2,8,5,20,
Milton 40,857,24,12,36,2,10,1,28,
Milton 41,707,13,16,44,2,4,4,24,
Milton 42,660,27,9,20,4,7,3,18,
Milton 43,791,16,19,55,6,3,1,50,
Milton 44,548,21,5,34,1,8,3,21,
Milton 45,731,19,5,95,1,7,1,24,
Milton 46,509,30,15,24,0,2,5,21,
Milton 47,712,33,18,43,6,4,3,17,
Milton 48,632,23,26,17,6,6,3,15,
Milton 49,665,30,5,30,4,6,3,14,
Milton 50,703,17,20,51,1,9,6,21,
Milton 51,766,2,3,4,2,0,0,1,
Milton 52,702,23,8,59,6,8,4,25,
Milton 54,747,21,9,46,2,5,2,39,
Milton 55,795,22,12,35,5,4,3,23,
Milton 56,807,16,26,57,2,4,5,24,
Milton 57,598,11,16,26,6,5,2,22,
Milton 58,810,21,13,79,6,6,3,29,
Milton 59,742,24,7,49,4,6,3,22,
Milton 60,495,14,16,29,1,4,4,12,
Milton 61,608,13,3,15,3,2,0,9,
Milton 62,559,22,28,28,0,7,4,26,
Milton 63,727,15,10,33,3,7,3,7,
Milton 64,624,13,6,57,3,5,1,26,
Milton 65,630,21,11,24,0,3,3,24,
Milton 66,836,27,15,70,0,5,1,29,
Milton 67,530,24,8,39,1,3,3,16,
Milton 68,688,26,8,44,3,8,3,30,
Milton 69,563,26,5,62,6,7,8,32,
Milton 71,559,22,8,32,2,8,1,31,
Milton 73,624,22,23,20,9,7,7,22,
Milton 74,684,24,12,37,0,7,4,19,
Milton 75,710,20,10,37,3,5,2,27,
Milton 76,747,30,23,44,9,9,3,20,
Milton 77,609,21,5,13,4,0,1,23,
Milton 78,660,16,10,34,2,4,1,15,
Milton 79,827,16,11,25,2,4,1,17,
Milton 80,826,17,17,26,5,10,4,27,
Milton 81,683,21,9,41,6,2,4,13,
Milton 82,541,22,11,23,0,7,0,36,
Milton 83,719,32,13,29,1,9,6,32,
Milton 84,792,18,15,32,4,9,8,18,
Milton 85,657,17,13,31,5,6,2,32,
Milton 86,723,16,18,22,6,2,2,15,
Milton 87,752,22,13,24,0,3,3,21,
Milton 88,529,24,14,24,1,6,2,18,
Milton 89,772,26,9,37,3,4,4,18,
Milton 90,724,27,13,42,4,1,4,13,
Milton 91,658,20,12,22,3,4,3,28,
Milton 92,726,20,7,36,2,4,2,41,
Milton 93,708,25,6,23,5,6,3,37,
Milton 94,669,23,9,29,5,8,2,19,
Milton 95,904,27,11,31,7,6,3,26,
Milton 96,728,24,10,77,5,4,4,27,
Milton 97,627,37,11,34,2,8,5,30,
Milton 98,701,25,8,16,3,7,4,9,
Milton 99,448,27,4,20,3,3,2,17,
Milton 100,819,11,11,23,2,5,1,18,
Milton 102,559,16,6,9,1,1,1,17,
Milton 104,780,18,11,27,3,7,2,9,
Milton 105,413,19,6,30,1,6,5,21,
Milton 106,664,10,8,23,6,5,1,19,
Milton 107,672,11,8,24,2,6,1,23,
Milton 108,652,21,11,26,2,2,6,25,
Milton 109,666,18,4,24,1,5,4,22,
Milton 110,713,25,12,33,6,8,4,12,
