Precinct,Registered Voters,Peter J. Roskam,
Wayne 1,826,156,
Wayne 2,819,105,
Wayne 3,463,66,
Wayne 4,813,66,
Wayne 5,713,74,
Wayne 6,653,79,
Wayne 7,650,106,
Wayne 8,611,63,
Wayne 9,750,109,
Wayne 10,637,101,
Wayne 11,440,92,
Wayne 12,609,63,
Wayne 13,886,69,
Wayne 15,802,51,
Wayne 17,692,74,
Wayne 19,714,37,
Wayne 20,693,76,
Wayne 21,697,75,
Wayne 22,799,127,
Wayne 23,749,81,
Wayne 25,609,78,
Wayne 26,583,64,
Wayne 28,538,53,
Wayne 30,747,91,
Wayne 32,681,83,
Wayne 33,738,73,
Wayne 35,521,59,
Wayne 36,541,53,
Wayne 37,786,162,
Wayne 39,903,104,
Wayne 40,691,79,
Wayne 42,777,58,
Wayne 43,493,55,
Wayne 44,561,62,
Wayne 46,660,61,
Wayne 47,561,36,
Wayne 48,856,149,
Wayne 49,810,89,
Wayne 50,588,79,
Wayne 52,580,69,
Wayne 53,826,57,
Wayne 54,785,51,
Wayne 55,660,105,
Wayne 56,593,90,
Wayne 57,705,81,
Wayne 58,510,55,
Wayne 59,658,66,
Wayne 60,603,44,
Wayne 67,745,57,
Wayne 68,542,53,
Bloomingdale 9,801,72,
Bloomingdale 18,620,59,
Bloomingdale 43,746,70,
Bloomingdale 45,615,218,
Bloomingdale 58,818,83,
Bloomingdale 68,840,42,
Bloomingdale 77,634,62,
Bloomingdale 80,609,69,
Bloomingdale 89,614,77,
Winfield 1,895,80,
Winfield 2,790,112,
Winfield 4,645,108,
Winfield 5,681,81,
Winfield 6,463,72,
Winfield 7,809,126,
Winfield 8,578,69,
Winfield 9,893,29,
Winfield 12,858,121,
Winfield 13,635,35,
Winfield 14,877,120,
Winfield 15,412,42,
Winfield 17,687,95,
Winfield 18,592,111,
Winfield 19,683,124,
Winfield 20,763,80,
Winfield 21,696,93,
Winfield 22,777,93,
Winfield 23,550,46,
Winfield 30,651,84,
Winfield 37,667,68,
Winfield 38,690,114,
Winfield 39,658,110,
Winfield 40,570,44,
Winfield 41,411,44,
Milton 1,641,83,
Milton 2,747,88,
Milton 3,592,94,
Milton 4,554,115,
Milton 5,454,84,
Milton 6,639,64,
Milton 7,633,103,
Milton 8,697,121,
Milton 9,504,90,
Milton 10,675,70,
Milton 11,623,72,
Milton 12,606,47,
Milton 13,555,77,
Milton 14,594,93,
Milton 15,622,87,
Milton 16,715,78,
Milton 17,565,66,
Milton 18,762,130,
Milton 19,708,103,
Milton 20,774,98,
Milton 21,505,48,
Milton 22,662,103,
Milton 23,816,122,
Milton 24,650,55,
Milton 25,779,151,
Milton 26,962,63,
Milton 27,676,66,
Milton 28,634,100,
Milton 29,551,79,
Milton 30,640,82,
Milton 31,535,65,
Milton 32,784,185,
Milton 33,618,73,
Milton 34,718,78,
Milton 35,712,84,
Milton 36,753,92,
Milton 37,768,159,
Milton 38,879,75,
Milton 39,661,111,
Milton 40,857,93,
Milton 41,707,69,
Milton 42,660,80,
Milton 43,791,91,
Milton 44,548,60,
Milton 45,731,86,
Milton 46,509,73,
Milton 47,712,63,
Milton 48,632,80,
Milton 49,665,78,
Milton 50,703,88,
Milton 51,766,35,
Milton 52,702,106,
Milton 54,747,122,
Milton 55,795,102,
Milton 56,807,67,
Milton 57,598,100,
Milton 58,810,73,
Milton 59,742,95,
Milton 60,495,49,
Milton 61,608,94,
Milton 62,559,71,
Milton 63,727,94,
Milton 64,624,59,
Milton 65,630,128,
Milton 66,836,93,
Milton 67,530,74,
Milton 68,688,80,
Milton 69,563,79,
Milton 71,559,117,
Milton 73,624,66,
Milton 74,684,123,
Milton 75,710,143,
Milton 76,747,82,
Milton 77,609,106,
Milton 78,660,45,
Milton 79,827,102,
Milton 80,826,70,
Milton 81,683,96,
Milton 82,541,78,
Milton 83,719,109,
Milton 84,792,153,
Milton 85,657,126,
Milton 86,723,43,
Milton 87,752,125,
Milton 88,529,49,
Milton 89,772,78,
Milton 90,724,129,
Milton 91,658,131,
Milton 92,726,105,
Milton 93,708,58,
Milton 94,669,80,
Milton 95,904,177,
Milton 96,728,75,
Milton 97,627,83,
Milton 98,701,80,
Milton 99,448,73,
Milton 100,819,84,
Milton 102,559,122,
Milton 104,780,58,
Milton 105,413,55,
Milton 106,664,145,
Milton 107,672,134,
Milton 108,652,80,
Milton 109,666,148,
Milton 110,713,75,
Milton 111,619,75,
Milton 112,521,90,
Milton 113,479,52,
Milton 114,620,60,
Milton 115,570,83,
Milton 116,666,119,
Milton 119,361,20,
Milton 120,473,19,
Milton 122,548,96,
Milton 123,681,42,
Milton 124,436,49,
Milton 125,417,49,
Milton 126,524,97,
Milton 127,486,74,
Milton 128,656,96,
Milton 129,413,68,
Milton 130,465,131,
York 3,733,77,
York 9,886,68,
York 18,677,76,
York 19,476,13,
York 21,662,70,
York 26,466,45,
York 30,729,116,
York 36,720,106,
York 42,581,56,
York 43,496,35,
York 46,762,89,
York 56,1052,61,
York 62,960,43,
York 64,691,78,
York 74,863,77,
York 75,795,87,
York 77,696,100,
York 86,873,57,
York 92,460,43,
York 93,479,31,
York 95,487,52,
York 97,699,82,
York 100,743,76,
York 101,575,67,
York 105,445,46,
York 106,553,90,
York 109,561,77,
York 111,956,65,
York 114,820,90,
York 118,557,45,
York 119,664,34,
York 121,973,123,
York 122,715,52,
York 123,662,60,
York 128,697,101,
York 130,603,72,
York 131,299,14,
Naperville 5,868,66,
Naperville 7,792,64,
Naperville 10,803,90,
Naperville 15,784,51,
Naperville 16,545,60,
Naperville 19,672,56,
Naperville 22,661,58,
Naperville 26,480,46,
Naperville 31,811,71,
Naperville 61,762,155,
Naperville 84,564,65,
Naperville 95,607,71,
Naperville 96,344,40,
Lisle 1,626,40,
Lisle 3,653,44,
Lisle 4,837,58,
Lisle 6,476,45,
Lisle 7,635,75,
Lisle 8,825,68,
Lisle 9,783,51,
Lisle 11,655,81,
Lisle 14,469,66,
Lisle 16,645,61,
Lisle 22,741,86,
Lisle 25,615,70,
Lisle 31,739,102,
Lisle 32,780,45,
Lisle 37,720,94,
Lisle 38,799,79,
Lisle 40,701,80,
Lisle 43,615,89,
Lisle 44,624,77,
Lisle 52,713,86,
Lisle 55,530,64,
Lisle 56,558,59,
Lisle 59,867,88,
Lisle 61,426,41,
Lisle 68,370,45,
Lisle 77,680,45,
Lisle 78,570,56,
Lisle 80,636,61,
Lisle 81,678,103,
Lisle 83,577,41,
Lisle 88,546,37,
Lisle 89,793,50,
Lisle 91,796,89,
Lisle 92,510,25,
Lisle 95,645,96,
Lisle 100,573,48,
Lisle 101,753,43,
Lisle 104,667,82,
Lisle 106,424,43,
Lisle 107,608,70,
Lisle 111,873,44,
Lisle 112,623,34,
Lisle 114,762,14,
Lisle 115,714,90,
Lisle 116,609,68,
Lisle 117,433,62,
Lisle 126,474,65,
Downers Grove 2,729,89,
Downers Grove 3,858,105,
Downers Grove 6,677,78,
Downers Grove 7,876,101,
Downers Grove 8,917,113,
Downers Grove 9,683,61,
Downers Grove 10,897,75,
Downers Grove 11,872,80,
Downers Grove 12,657,88,
Downers Grove 14,929,91,
Downers Grove 15,645,68,
Downers Grove 16,616,63,
Downers Grove 17,752,92,
Downers Grove 18,902,70,
Downers Grove 19,638,50,
Downers Grove 20,595,75,
Downers Grove 21,779,88,
Downers Grove 26,785,118,
Downers Grove 27,524,69,
Downers Grove 28,576,93,
Downers Grove 29,886,115,
Downers Grove 30,641,74,
Downers Grove 31,894,87,
Downers Grove 32,677,67,
Downers Grove 33,704,54,
Downers Grove 34,792,95,
Downers Grove 36,923,137,
Downers Grove 37,905,109,
Downers Grove 38,763,75,
Downers Grove 39,807,76,
Downers Grove 44,693,101,
Downers Grove 45,539,104,
Downers Grove 47,447,40,
Downers Grove 48,572,56,
Downers Grove 49,819,87,
Downers Grove 50,875,103,
Downers Grove 51,736,67,
Downers Grove 52,652,112,
Downers Grove 53,715,104,
Downers Grove 54,520,79,
Downers Grove 55,614,66,
Downers Grove 56,516,63,
Downers Grove 57,687,75,
Downers Grove 59,753,9,
Downers Grove 61,903,120,
Downers Grove 63,615,60,
Downers Grove 64,762,129,
Downers Grove 65,803,98,
Downers Grove 66,659,87,
Downers Grove 67,495,46,
Downers Grove 69,639,55,
Downers Grove 70,530,86,
Downers Grove 71,857,56,
Downers Grove 73,585,71,
Downers Grove 74,720,57,
Downers Grove 75,546,74,
Downers Grove 76,850,33,
Downers Grove 78,613,90,
Downers Grove 79,596,90,
Downers Grove 82,952,101,
Downers Grove 83,929,34,
Downers Grove 84,790,74,
Downers Grove 85,662,70,
Downers Grove 87,961,191,
Downers Grove 92,600,82,
Downers Grove 94,887,100,
Downers Grove 96,697,60,
Downers Grove 97,700,81,
Downers Grove 98,726,95,
Downers Grove 102,601,91,
Downers Grove 103,716,83,
Downers Grove 105,931,85,
Downers Grove 106,697,91,
Downers Grove 107,814,113,
Downers Grove 109,592,101,
Downers Grove 112,801,79,
Downers Grove 113,600,16,
Downers Grove 115,731,91,
Downers Grove 118,894,46,
Downers Grove 119,621,62,
Downers Grove 120,480,59,
Downers Grove 121,599,101,
Downers Grove 127,665,59,
Downers Grove 129,776,74,
Downers Grove 130,750,47,
Downers Grove 131,792,72,
Downers Grove 132,537,283,
Downers Grove 140,630,79,
Downers Grove 141,470,46,
Downers Grove 142,550,28,
Downers Grove 145,692,77,
Downers Grove 146,822,75,
Downers Grove 147,466,53,
Downers Grove 148,527,63,
Downers Grove 149,736,107,
Downers Grove 151,521,68,
Downers Grove 154,571,64,
