Precinct,Registered Voters,Kelly Mazeski,Amanda Howland,Sean Casten,Jennifer Zordani,Becky Anderson Wilkins,Ryan Huffman,Carole Cheney,
Cuba 64,797,29,9,12,1,1,0,8,
Cuba 65,998,49,10,16,1,3,4,17,
Cuba 66,958,78,12,25,3,3,2,18,
Cuba 67,745,26,17,24,3,2,2,9,
Cuba 68,896,55,16,22,1,2,5,34,
Cuba 69,1108,58,34,50,9,2,2,35,
Cuba 70,795,26,13,20,1,0,4,12,
Cuba 71,984,23,14,22,0,2,5,23,
Cuba 72,802,38,23,15,1,0,0,17,
Cuba 73,1080,43,14,24,4,2,1,31,
Cuba 74,1082,37,16,26,3,2,3,24,
Cuba 75,832,44,12,14,2,1,3,15,
Cuba 76,1060,59,19,33,1,8,10,35,
Cuba 77,1245,55,17,26,1,1,5,25,
Ela 78,826,22,30,25,4,5,4,15,
Ela 79,1211,41,26,26,10,2,2,26,
Ela 80,1030,41,38,25,1,0,7,24,
Ela 81,1294,33,25,25,10,1,6,22,
Ela 82,1193,46,24,30,5,3,4,15,
Ela 83,1180,45,60,44,7,4,3,26,
Ela 84,988,23,45,18,5,0,5,23,
Ela 85,902,40,25,29,3,2,4,16,
Ela 86,1066,60,36,36,3,4,4,24,
Ela 87,1288,57,38,35,5,5,5,20,
Ela 88,965,19,21,10,4,5,1,6,
Ela 89,1058,33,23,31,6,8,9,24,
Ela 90,974,41,50,42,4,7,5,22,
Ela 91,872,36,26,29,2,1,4,17,
Ela 92,1092,45,32,21,6,4,1,19,
Ela 93,906,43,31,41,5,5,9,24,
Ela 94,1041,60,43,25,9,5,6,29,
Ela 95,1133,43,45,40,11,5,5,25,
Ela 96,1097,55,26,35,7,4,4,22,
Ela 97,964,52,40,33,8,4,5,24,
Ela 98,885,63,31,23,6,4,3,28,
Ela 99,1500,57,37,28,3,2,5,24,
Ela 100,1402,32,34,32,6,5,7,18,
Ela 101,1415,36,27,22,7,8,3,36,
Ela 102,1337,42,24,27,7,5,7,28,
Ela 103,1098,62,42,40,7,3,8,18,
Ela 104,1114,43,18,34,2,1,5,25,
Ela 105,1313,59,28,32,5,4,11,29,
