PrecinctName,HILLARY CLINTON,BERNIE SANDERS,WILLIE L_ WILSON,MARTIN J_ O'MALLEY,LARRY COHEN,ROQUE ROCKY DE LA FUENTE,DAVID FORMHALS,BRIAN O'NEILL w-in,DONALD J_ TRUMP,TED CRUZ,JOHN R_ KASICH,MARCO RUBIO,BEN CARSON,JEB BUSH,RAND PAUL,CHRIS CHRISTIE,MIKE HUCKABEE,CARLY FIORINA,RICK SANTORUM,JOANN BREIVOGEL,Total
West Deerfield 393,210,120,0,0,0,0,0,0,45,28,74,24,1,0,0,0,0,0,0,0,502
West Deerfield 392,270,135,0,1,0,1,0,0,43,51,96,25,4,0,1,0,0,0,1,0,628
West Deerfield 391,240,114,0,0,0,0,0,0,66,28,112,28,1,1,1,0,0,0,0,0,591
West Deerfield 390,122,51,0,1,0,0,0,0,46,22,48,19,0,0,0,0,1,0,0,0,310
West Deerfield 397,250,128,0,0,0,1,0,0,37,19,35,19,0,2,0,0,0,0,0,0,491
West Deerfield 396,287,119,0,1,0,0,0,0,54,41,111,38,2,2,0,0,1,0,0,0,656
West Deerfield 395,234,184,0,0,0,0,0,0,52,58,121,28,0,1,1,2,0,0,0,0,681
West Deerfield 394,204,142,1,0,0,0,0,0,74,42,61,23,1,1,1,1,0,0,0,0,551
West Deerfield 399,384,162,0,2,1,0,0,0,25,30,107,25,1,3,0,0,1,0,0,0,741
West Deerfield 398,306,155,0,0,0,2,0,0,52,36,90,20,0,1,0,1,0,0,0,0,663
Naperville 8,66,82,0,0,0,0,0,0,46,32,68,15,1,1,1,0,1,2,0,0,315
Naperville 9,88,57,0,0,0,0,0,0,66,41,100,20,0,1,0,0,0,1,1,0,375
Vernon 286,166,174,0,0,0,0,0,0,93,52,45,19,0,3,1,0,0,1,0,0,554
Vernon 287,186,93,1,1,0,0,0,0,93,29,92,32,0,0,0,0,0,0,0,0,527
Vernon 280,215,151,0,0,0,0,0,0,46,44,62,19,0,1,0,0,0,0,0,0,538
Vernon 281,189,130,0,0,0,0,0,0,85,47,42,14,1,0,0,2,1,0,0,0,511
