County,PrecinctName,Registration,PartyName,VoteCount,Priority
LAKE,Cuba 69,1108,Republican,166,
LAKE,Cuba 69,1108,Republican,46,
LAKE,Ela 91,872,Republican,97,
LAKE,Ela 91,872,Republican,12,
LAKE,Cuba 73,1080,Republican,119,
LAKE,Cuba 73,1080,Republican,18,
LAKE,Ela 92,1092,Republican,110,
LAKE,Ela 92,1092,Republican,20,
LAKE,Cuba 65,998,Republican,150,
LAKE,Cuba 65,998,Republican,15,
LAKE,Cuba 66,958,Republican,98,
LAKE,Cuba 66,958,Republican,17,
LAKE,Ela 90,974,Republican,133,
LAKE,Ela 90,974,Republican,23,
LAKE,Ela 80,1030,Republican,95,
LAKE,Ela 80,1030,Republican,20,
LAKE,Ela 79,1211,Republican,141,
LAKE,Ela 79,1211,Republican,25,
LAKE,Ela 103,1098,Republican,141,
LAKE,Ela 103,1098,Republican,31,
LAKE,Cuba 67,745,Republican,89,
LAKE,Cuba 67,745,Republican,14,
LAKE,Cuba 68,896,Republican,146,
LAKE,Cuba 68,896,Republican,18,
LAKE,Ela 88,965,Republican,130,
LAKE,Ela 88,965,Republican,21,
LAKE,Ela 101,1415,Republican,134,
LAKE,Ela 101,1415,Republican,20,
LAKE,Cuba 76,1060,Republican,92,
LAKE,Cuba 76,1060,Republican,15,
LAKE,Ela 84,988,Republican,117,
LAKE,Ela 84,988,Republican,18,
LAKE,Ela 104,1114,Republican,118,
LAKE,Ela 104,1114,Republican,19,
LAKE,Ela 95,1133,Republican,125,
LAKE,Ela 95,1133,Republican,27,
LAKE,Ela 89,1058,Republican,129,
LAKE,Ela 89,1058,Republican,20,
LAKE,Ela 87,1288,Republican,121,
LAKE,Ela 87,1288,Republican,18,
LAKE,Ela 96,1097,Republican,156,
LAKE,Ela 96,1097,Republican,23,
LAKE,Ela 97,964,Republican,112,
LAKE,Ela 97,964,Republican,12,
McHENRY,Algonquin 40,745,Republican,53,
McHENRY,Algonquin 40,745,Republican,1,
McHENRY,Algonquin 40,745,Republican,0,
McHENRY,Algonquin 40,745,Republican,0,
McHENRY,Algonquin 32,753,Republican,78,
McHENRY,Algonquin 32,753,Republican,21,
